"Player Details","","","","","","","Matchup","","","","","","Man","","","","","Cover 2","","","","","Cover 3","","","","","Cover 4","","","","","Cover 6","","","",""
"Rank","Name","Team","POS","G","Season","OPP","RTE","RTE/G","FP/RR","EXP FP/RTE","COV GRADE","YPRR","DEF MAN %","DEF FP/DB","FP/RTE","RTE %","YPRR","DEF COVER 2 %","DEF FP/DB","FP/RTE","RTE %","YPRR","DEF COVER 3 %","DEF FP/DB","FP/RTE","RTE %","YPRR","DEF COVER 4 %","DEF FP/DB","FP/RTE","RTE %","YPRR","DEF COVER 6 %","DEF FP/DB","FP/RTE","RTE %","YPRR"
"57","Hunter Henry","NE","TE","11","2025","CIN","280","25.5","0.35","0.35","-0.6","1.48","27.3","0.71","0.36","23.9","0.90","12.1","0.45","0.46","15.4","1.81","36.3","0.40","0.39","40.4","1.92","4.5","0.31","0.16","12.1","0.68","19.7","0.45","0.24","8.2","1.57"
"58","Travis Hunter","JAX","WR","7","2025","ARZ","199","28.4","0.32","0.35","8.0","1.50","19.0","0.98","0.53","16.1","2.13","15.3","0.31","0.33","15.6","1.39","29.5","0.27","0.19","43.2","0.74","28.9","0.29","0.36","15.1","2.30","7.4","0.18","0.47","10.1","2.70"
"59","Rashid Shaheed","NO, SEA","WR","11","2025","TEN","314","28.5","0.35","0.34","-1.6","1.67","20.5","0.65","0.53","21.3","2.34","13.7","0.27","0.27","17.5","1.29","28.3","0.33","0.23","35.4","1.08","21.7","0.46","0.48","20.4","2.41","15.8","0.51","0.18","5.4","1.24"
"60","Jakobi Meyers","JAX, LV","WR","9","2025","ARZ","254","28.2","0.34","0.34","-0.4","1.80","19.0","0.98","0.33","30.7","1.72","15.3","0.31","0.48","15.4","2.77","29.5","0.27","0.30","26.0","1.62","28.9","0.29","0.32","21.7","1.60","7.4","0.18","0.31","6.3","1.25"
"61","JuJu Smith-Schuster","KC","WR","10","2025","IND","187","18.7","0.28","0.33","18.4","1.53","30.2","0.46","0.08","43.9","0.28","17.3","0.37","0.44","5.3","2.40","28.4","0.28","0.49","25.1","2.72","14.7","0.20","0.40","15.0","2.18","9.5","0.33","0.41","10.7","2.55"
"62","Theo Johnson","NYG","TE","11","2025","DET","286","26.0","0.32","0.33","4.4","1.13","39.4","0.61","0.45","27.6","1.59","12.4","0.26","0.33","14.7","1.40","28.4","0.37","0.33","31.8","1.08","17.2","0.49","0.07","13.6","0.21","2.6","0.32","0.24","12.2","0.94"
"63","Jordan Addison","MIN","WR","7","2025","GB","228","32.6","0.31","0.33","6.5","1.71","20.1","0.27","0.20","31.6","1.18","18.2","0.31","0.33","14.5","0.91","34.9","0.42","0.17","28.9","1.08","11.0","0.42","0.28","11.8","1.30","15.8","0.24","0.87","13.2","5.67"
"64","Sam LaPorta","DET","TE","9","2025","NYG","222","24.7","0.44","0.33","-26.1","2.15","42.9","0.65","0.19","21.2","1.02","11.2","0.32","0.67","22.1","3.06","24.8","0.30","0.45","35.6","2.10","16.9","0.40","0.16","11.3","0.76","4.2","0.31","0.75","9.9","4.27"
"65","David Njoku","CLV","TE","9","2025","LV","226","25.1","0.27","0.32","19.9","1.19","13.0","0.65","0.13","35.4","0.56","15.5","0.37","0.28","12.4","1.32","47.3","0.46","0.37","26.5","1.38","16.1","0.26","0.39","13.7","2.29","8.2","0.27","0.31","11.9","1.26"
"66","A.J. Brown","PHI","WR","9","2025","DAL","260","28.9","0.39","0.32","-16.4","1.75","16.8","0.88","0.88","26.5","3.74","24.6","0.42","0.03","20.0","0.13","39.6","0.50","0.33","30.8","1.65","11.8","0.52","0.21","16.2","1.17","7.2","0.26","0.17","6.5","0.53"
"67","Ja'Tavion Sanders","CAR","TE","8","2025","SF","136","17.0","0.29","0.32","11.1","1.20","19.3","0.77","0.12","25.7","0.34","6.1","0.19","0.46","8.1","1.91","39.4","0.45","0.19","33.1","0.78","21.5","0.31","0.41","27.2","1.70","13.7","0.32","0.78","5.9","4.00"
"68","Tre Tucker","LV","WR","10","2025","CLV","313","31.3","0.35","0.32","-7.5","1.57","39.1","0.63","0.32","27.2","1.46","18.4","0.30","0.26","14.4","1.24","29.3","0.19","0.33","29.4","1.47","6.9","0.25","0.51","20.4","2.17","6.3","0.81","0.21","8.6","1.41"
"69","Brian Thomas","JAX","WR","8","2025","ARZ","249","31.1","0.31","0.32","1.8","1.69","19.0","0.98","0.36","17.7","2.45","15.3","0.31","0.43","14.1","2.57","29.5","0.27","0.31","45.4","1.31","28.9","0.29","0.31","14.1","1.94","7.4","0.18","0.07","8.8","0.27"
"70","Cooper Kupp","SEA","WR","9","2025","TEN","195","21.7","0.35","0.32","-8.2","1.88","20.5","0.65","0.61","24.6","2.73","13.7","0.27","0.42","8.7","1.88","28.3","0.33","0.39","35.9","2.77","21.7","0.46","0.06","23.1","0.20","15.8","0.51","0.07","7.7","0.07"
"71","Tyler Higbee","LA","TE","9","2025","TB","143","15.9","0.36","0.32","-10.9","1.33","25.0","0.58","0.47","37.8","1.00","16.8","0.27","0.48","7.7","2.09","34.2","0.52","0.28","29.4","1.40","19.2","0.24","0.00","12.6","","4.7","0.55","0.47","12.6","3.00"
