"Player Details","","","","","","Snaps","","","Rushing","","","Receiving","","","","","","FPTS","","","","",""
"Rank","Name","Team","POS","G","Season","Snaps","TM Snaps","Snap %","ATT","TM ATT","ATT %","RTE","DB","RTE %","TGT","TM TGT","TGT %","XFP","TM XFP","XFP %","XFP/G","FP/G","FP"
"72","Ray Davis","BUF","RB","10","2025","68","620","11.0","24","301","8.0","22","349","6.3","7","286","2.3","26.8","695.0","3.9","2.7","1.6","16.2"
"73","Miles Sanders","DAL","RB","4","2025","58","273","21.2","20","96","20.8","23","180","12.8","8","164","4.7","24.7","373.0","6.6","6.2","6.9","27.7"
"74","LeQuint Allen","JAX","RB","10","2025","145","659","22.0","13","295","4.4","92","388","23.7","8","318","2.4","22.3","776.9","2.9","2.2","1.8","17.9"
"75","Keaton Mitchell","BLT","RB","6","2025","42","356","11.8","21","188","11.2","15","177","8.5","5","146","3.3","20.1","374.7","5.4","3.3","3.3","19.9"
"76","Antonio Gibson","NE","RB","5","2025","51","298","17.1","25","127","19.7","14","188","7.4","3","145","1.9","19.9","338.8","5.9","4.0","3.6","18.2"
"77","Raheem Mostert","LV","RB","7","2025","84","380","22.1","19","155","12.3","42","236","17.8","6","194","2.9","19.3","429.0","4.5","2.8","2.8","19.5"
"78","Devin Neal","NO","RB","5","2025","82","300","27.3","10","105","9.5","45","204","22.1","7","170","3.8","18.7","353.6","5.3","3.7","2.7","13.4"
"79","Austin Ekeler","WAS","RB","2","2025","67","130","51.5","14","51","27.5","37","89","41.6","7","67","9.7","18.5","142.9","13.0","9.3","6.6","13.1"
"80","Braelon Allen","NYJ","RB","4","2025","54","229","23.6","18","111","16.2","16","138","11.6","3","97","2.8","17.4","235.4","7.4","4.3","4.1","16.3"
"81","Trevor Etienne","CAR","RB","11","2025","51","695","7.3","20","317","6.3","13","393","3.3","2","311","0.6","16.6","754.0","2.2","1.5","1.1","12.3"
"82","DJ Giddens","IND","RB","7","2025","46","419","11.0","18","196","9.2","8","234","3.4","2","207","0.9","15.1","517.3","2.9","2.2","0.9","6.6"
"83","Hunter Luepke","DAL","FB","10","2025","121","645","18.8","3","258","1.2","30","404","7.4","8","352","2.2","15.0","833.9","1.8","1.5","2.0","19.9"
"84","Chris Brooks","GB","RB","10","2025","70","606","11.6","3","278","1.1","32","345","9.3","9","286","2.9","14.7","688.6","2.1","1.5","1.3","13.4"
"85","Kaleb Johnson","PIT","RB","7","2025","42","395","10.6","22","165","13.3","8","235","3.4","2","199","0.9","14.3","440.3","3.3","2.0","1.1","7.7"
"86","Ameer Abdullah","IND","RB","6","2025","32","372","8.6","8","153","5.2","19","231","8.2","5","188","2.5","13.9","428.9","3.2","2.3","3.0","18.0"
"87","Najee Harris","LAC","RB","3","2025","41","197","20.8","15","79","19.0","15","126","11.9","3","103","2.8","13.7","240.7","5.7","4.6","3.9","11.6"
"88","Terrell Jennings","NE","RB","4","2025","35","256","13.7","22","131","16.8","4","146","2.7","1","101","0.9","13.0","262.2","5.0","3.3","3.8","15.2"
"89","Jaydon Blue","DAL","RB","4","2025","43","242","17.8","22","110","20.0","7","142","4.9","1","122","0.8","12.7","309.5","4.1","3.2","2.0","8.0"
"90","George Holani","SEA","RB","10","2025","36","593","6.1","22","307","7.2","7","291","2.4","2","252","0.7","12.6","664.2","1.9","1.3","1.6","15.8"
"91","Tank Bigsby","JAX, PHI","RB","9","2025","46","529","8.7","22","252","8.7","13","297","4.4","1","242","0.4","12.3","585.3","2.1","1.4","2.0","17.7"
"92","Will Shipley","PHI","RB","8","2025","53","465","11.4","11","231","4.8","27","260","10.4","4","203","1.9","11.9","491.1","2.4","1.5","1.4","11.3"
"93","Alec Ingold","MIA","FB","11","2025","224","613","36.5","2","260","0.8","64","362","17.7","7","312","2.1","11.6","704.1","1.7","1.1","0.9","9.5"
"94","Jaret Patterson","LAC","RB","3","2025","35","204","17.2","21","104","20.2","4","113","3.5","0","81","0.0","11.6","211.4","5.5","3.9","2.5","7.5"
"95","Zamir White","LV","RB","3","2025","45","189","23.8","10","71","14.1","22","121","18.2","5","100","4.7","11.2","215.8","5.2","3.7","2.5","7.4"
"96","Hassan Haskins","LAC","RB","7","2025","71","456","15.6","12","160","7.5","40","310","12.9","4","259","1.5","11.2","557.5","2.0","1.6","1.2","8.3"
"97","Julius Chestnut","TEN","RB","10","2025","32","573","5.6","8","200","4.0","12","387","3.1","2","297","0.6","10.3","641.6","1.6","1.0","0.4","3.6"
"98","Dare Ogunbowale","HST","RB","10","2025","70","646","10.8","3","259","1.2","33","413","8.0","6","347","1.7","9.7","787.8","1.2","1.0","0.9","9.4"
"99","AJ Dillon","PHI","RB","6","2025","46","351","13.1","12","162","7.4","15","209","7.2","2","161","1.2","9.6","400.7","2.4","1.6","1.5","8.8"
"100","Jaylen Wright","MIA","RB","4","2025","30","229","13.1","15","122","12.3","9","108","8.3","1","96","1.0","8.9","247.0","3.6","2.2","1.5","5.9"
"101","Andrew Beck","NYJ","FB","10","2025","55","592","9.3","0","282","0.0","13","352","3.7","4","246","1.5","8.9","582.9","1.5","0.9","1.1","10.6"
"102","Dylan Laube","LV","RB","10","2025","25","569","4.4","5","226","2.2","14","357","3.9","4","294","1.3","8.4","644.9","1.3","0.8","0.5","5.3"
"103","Tyler Goodson","IND","RB","5","2025","24","308","7.8","5","127","3.9","16","192","8.3","3","153","1.8","8.4","343.6","2.5","1.7","0.8","4.0"
"104","Jaleel McLaughlin","DEN","RB","2","2025","14","118","11.9","7","47","14.9","5","74","6.8","2","60","2.9","8.4","128.6","6.5","4.2","4.2","8.4"
"105","Dameon Pierce","HST","RB","4","2025","23","267","8.6","10","118","8.5","6","160","3.8","1","138","0.7","8.4","326.4","2.6","2.1","0.7","2.6"
"106","Adam Prentice","DEN","FB","11","2025","105","691","15.2","4","291","1.4","17","419","4.1","4","355","1.0","7.4","816.4","0.9","0.7","0.7","7.8"
"107","British Brooks","HST","FB","6","2025","40","416","9.6","4","171","2.3","1","259","0.4","0","223","0.0","7.3","513.1","1.4","1.2","0.3","1.5"
"108","Raheim Sanders","CLV","RB","1","2025","3","71","4.2","3","24","12.5","0","48","0.0","0","41","0.0","7.2","89.3","8.0","7.2","6.3","6.3"
"109","D'Ernest Johnson","ARZ, NE","RB","3","2025","24","191","12.6","5","82","6.1","11","119","9.2","0","94","0.0","4.6","221.8","2.1","1.5","0.2","0.7"
"110","Malik Davis","DAL","RB","4","2025","22","260","8.5","7","114","6.1","6","157","3.8","0","128","0.0","4.6","321.5","1.4","1.2","0.7","2.6"
"111","Scott Matlock","LAC","FB","10","2025","191","641","29.8","0","255","0.0","14","416","3.4","2","323","0.6","4.3","735.9","0.6","0.4","0.8","8.3"
"112","Cam Akers","MIN","RB","2","2025","8","119","6.7","5","54","9.3","2","70","2.9","1","58","1.7","4.1","143.5","2.8","2.0","3.6","7.2"
"113","Brittain Brown","CHI","RB","1","2025","14","76","18.4","5","37","13.5","9","44","20.5","1","33","2.7","4.0","82.7","4.9","4.0","9.7","9.7"
"114","Nate Carter","ATL","RB","3","2025","10","178","5.6","9","79","11.4","0","101","0.0","0","91","0.0","3.9","185.7","2.1","1.3","1.7","5.0"
"115","Elijah Mitchell","KC","RB","1","2025","5","62","8.1","0","14","0.0","4","49","8.2","1","43","2.2","3.7","98.1","3.8","3.7","","0.0"
"116","Tahj Brooks","CIN","RB","8","2025","20","467","4.3","7","159","4.4","8","312","2.6","0","269","0.0","3.7","589.4","0.6","0.5","0.3","2.3"
"117","Jack Westover","NE","FB","11","2025","144","674","21.4","0","316","0.0","36","402","9.0","1","302","0.3","3.0","735.2","0.4","0.3","","0.0"
"118","Trayveon Williams","LAC","RB","2","2025","17","114","14.9","3","47","6.4","9","72","12.5","1","52","1.7","2.6","118.9","2.2","1.3","0.5","0.9"
"119","Josh Williams","TB","RB","2","2025","7","114","6.1","4","53","7.5","0","65","0.0","0","56","0.0","2.4","147.5","1.7","1.2","0.6","1.1"
"120","Jacardia Wright","SEA","RB","1","2025","5","54","9.3","5","33","15.2","0","21","0.0","0","19","0.0","2.1","55.9","3.8","2.1","2.0","2.0"
"121","Craig Reynolds","DET","RB","6","2025","4","361","1.1","3","170","1.8","0","193","0.0","0","171","0.0","2.1","402.1","0.5","0.4","0.1","0.4"
"122","Rasheen Ali","BLT","RB","9","2025","17","500","3.4","1","238","0.4","11","277","4.0","1","221","0.4","2.0","550.6","0.4","0.2","0.3","3.0"
"123","Kendall Milton","CIN","RB","1","2025","3","63","4.8","2","22","9.1","0","41","0.0","0","36","0.0","1.7","68.0","2.5","1.7","0.2","0.2"
"124","C.J. Ham","MIN","FB","4","2025","43","243","17.7","0","86","0.0","18","166","10.8","1","144","0.7","1.4","309.2","0.5","0.3","0.4","1.5"
"125","Roschon Johnson","CHI","RB","6","2025","4","384","1.0","2","188","1.1","1","206","0.5","0","170","0.0","1.1","410.6","0.3","0.2","0.3","1.7"
"126","Amar Johnson","LAC","RB","1","2025","4","45","8.9","2","16","12.5","1","32","3.1","0","21","0.0","1.0","47.2","2.1","1.0","0.8","0.8"
"127","Clyde Edwards-Helaire","KC","RB","1","2025","2","57","3.5","2","20","10.0","0","38","0.0","0","29","0.0","1.0","72.4","1.3","1.0","0.5","0.5"
"128","Jacob Saylors","DET","RB","8","2025","6","492","1.2","2","225","0.9","0","271","0.0","0","232","0.0","0.9","540.3","0.2","0.1","0.1","1.1"
"129","Nyheim Hines","LAC","RB","3","2025","6","208","2.9","2","84","2.4","3","134","2.2","0","112","0.0","0.9","254.5","0.3","0.3","-0.1","-0.2"
"130","DeeJay Dallas","CAR","RB","2","2025","16","129","12.4","1","70","1.4","8","61","13.1","0","46","0.0","0.6","126.1","0.5","0.3","","0.0"
"131","Travis Homer","CHI","RB","4","2025","5","278","1.8","1","139","0.7","4","148","2.7","0","119","0.0","0.6","302.9","0.2","0.1","-0.1","-0.2"
"132","Ulysses Bentley","IND","RB","1","2025","2","70","2.9","1","40","2.5","0","33","0.0","0","29","0.0","0.6","82.2","0.7","0.6","","0.0"
"133","Sione Vaki","DET","RB","3","2025","1","196","0.5","1","91","1.1","0","106","0.0","0","92","0.0","0.5","215.3","0.2","0.2","0.1","0.4"
"134","Patrick Ricard","BLT","FB","4","2025","88","241","36.5","1","132","0.8","11","116","9.5","0","96","0.0","0.4","251.4","0.2","0.1","0.1","0.3"
"135","Brady Russell","SEA","FB","10","2025","46","593","7.8","0","307","0.0","3","291","1.0","0","252","0.0","0.0","664.2","0.0","0.0","","0.0"
"136","Robbie Ouzts","SEA","FB","6","2025","114","354","32.2","0","193","0.0","15","163","9.2","0","144","0.0","0.0","381.9","0.0","0.0","","0.0"
"137","Khalil Herbert","NYJ","RB","1","2025","0","73","0.0","0","22","0.0","0","54","0.0","0","43","0.0","0.0","93.6","0.0","0.0","","0.0"
"138","Velus Jones","NO","RB","4","2025","2","266","0.8","0","113","0.0","0","161","0.0","0","134","0.0","0.0","301.5","0.0","0.0","","0.0"
