"Player Details","","","","","","Overall","","","","Man","","","","Zone","","","","Single-High","","","","Two-High","","",""
"Rank","Name","Team","POS","G","Season","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR"
"90","Josh Downs","IND","WR","9","2025","199","0.24","1.59","0.43","51","0.29","1.43","0.55","141","0.21","1.59","0.34","104","0.21","1.52","0.37","95","0.26","1.66","0.49"
"91","JuJu Smith-Schuster","KC","WR","10","2025","199","0.14","1.46","0.30","82","0.07","0.28","0.08","105","0.20","2.51","0.44","113","0.13","1.31","0.25","86","0.15","1.66","0.38"
"92","Van Jefferson","TEN","WR","10","2025","196","0.16","0.96","0.21","38","0.16","0.95","0.20","151","0.17","0.99","0.18","87","0.18","1.06","0.21","109","0.15","0.89","0.22"
"93","Arian Smith","NYJ","WR","10","2025","195","0.05","0.24","0.06","43","0.07","-0.09","0.04","148","0.05","0.34","0.06","103","0.08","0.46","0.09","92","0.02","","0.01"
"94","Jayden Higgins","HST","WR","10","2025","195","0.18","1.31","0.34","47","0.11","1.32","0.34","136","0.21","1.25","0.25","98","0.18","1.70","0.36","97","0.19","0.92","0.32"
"95","Mark Andrews","BLT","TE","10","2025","193","0.22","1.43","0.52","72","0.25","2.17","0.66","113","0.20","1.04","0.31","108","0.23","1.99","0.56","85","0.21","0.72","0.34"
"96","Jonnu Smith","PIT","TE","10","2025","191","0.19","0.85","0.29","59","0.14","0.36","0.24","121","0.21","1.03","0.25","84","0.15","0.35","0.12","107","0.21","1.25","0.41"
"97","Tyler Lockett","LV, TEN","WR","10","2025","190","0.15","0.77","0.17","48","0.13","0.46","0.09","139","0.16","0.90","0.21","92","0.13","0.71","0.16","98","0.16","0.84","0.19"
"98","Tucker Kraft","GB","TE","8","2025","190","0.22","2.57","0.62","64","0.36","4.25","1.07","120","0.15","1.75","0.34","117","0.27","3.21","0.67","73","0.14","1.56","0.53"
"99","Tez Johnson","TB","WR","9","2025","189","0.16","1.38","0.37","58","0.14","0.79","0.25","127","0.17","1.53","0.31","99","0.13","0.90","0.22","90","0.20","1.91","0.54"
