"Player Details","","","","","","Overall","","","","","","","","","","","","","","","Wide","","","","","Slot","","","","","Inline","","","","","Backfield","","","",""
"Rank","Name","Team","POS","G","Season","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","+1 Rate","+2 Rate","+3 Rate","Neg Rate","TGT","REC","YDS","TD","AY","ADOR","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE"
"75","Sam LaPorta","DET","TE","9","2025","228","0.009","2.14","0.21","3.5","2.6","0.9","0.0","3.5","49","40","489","3","281","5.5","44","0.000","1.76","0.11","2.3","96","0.000","1.94","0.22","6.3","86","0.023","2.58","0.26","1.2","2","0.000","1.00","0.50","0.0"
"76","Darnell Mooney","ATL","WR","8","2025","224","-0.018","0.98","0.18","7.1","5.4","1.8","0.0","11.2","40","16","224","0","588","10.6","131","0.000","1.19","0.23","10.7","93","-0.043","0.69","0.10","2.2","","","","","0.0","","","","","0.0"
"77","CeeDee Lamb","DAL","WR","7","2025","224","0.121","2.46","0.26","18.3","16.1","1.8","0.4","8.9","59","40","557","2","696","8.2","156","0.160","2.34","0.24","20.5","68","0.029","2.75","0.32","13.2","","","","","0.0","","","","","0.0"
"78","Javonte Williams","DAL","RB","10","2025","221","0.000","0.42","0.15","0.0","0.0","0.0","0.0","0.0","33","26","93","1","-39","-2.4","7","0.000","","","0.0","11","0.000","0.73","0.18","0.0","","","","","0.0","203","0.000","0.42","0.15","0.0"
"79","Malik Washington","MIA","WR","11","2025","220","0.005","1.03","0.20","3.6","3.2","0.5","0.0","3.6","45","33","234","2","212","5.5","98","-0.010","0.85","0.17","4.1","111","0.018","1.13","0.22","3.6","1","0.000","","","0.0","10","0.000","1.80","0.30","0.0"
"80","Parker Washington","JAX","WR","10","2025","218","0.028","1.58","0.22","10.1","8.7","1.4","0.0","9.2","49","30","350","2","614","9.4","118","-0.017","1.69","0.25","8.5","100","0.080","1.46","0.19","12.0","","","","","0.0","","","","","0.0"
"81","Garrett Wilson","NYJ","WR","7","2025","217","0.092","1.81","0.25","12.9","10.1","2.8","0.0","6.0","55","36","395","4","536","8.9","133","0.038","1.71","0.23","10.5","84","0.179","1.96","0.29","16.7","","","","","0.0","","","","","0.0"
"82","Keon Coleman","BUF","WR","9","2025","216","-0.028","1.47","0.21","7.4","6.0","1.4","0.0","11.1","48","32","330","3","600","8.1","182","-0.022","1.61","0.23","8.8","34","-0.059","0.76","0.14","0.0","","","","","0.0","","","","","0.0"
"83","Kayshon Boutte","NE","WR","9","2025","213","0.099","1.99","0.14","11.7","7.0","3.8","0.9","7.5","30","23","431","5","531","7.3","186","0.118","2.12","0.14","12.9","27","-0.037","1.07","0.11","3.7","","","","","0.0","","","","","0.0"
"84","Mack Hollins","NE","WR","11","2025","213","0.136","1.78","0.18","15.0","11.7","3.3","0.0","5.6","38","30","387","2","484","9.5","160","0.150","2.11","0.20","16.3","46","0.065","0.77","0.10","10.9","7","0.286","1.14","0.14","14.3","","","","","0.0"
"85","Brock Bowers","LV","TE","7","2025","213","0.056","2.13","0.25","8.9","6.6","2.3","0.0","5.6","53","39","455","3","401","6.7","42","0.024","2.60","0.33","11.9","97","0.113","2.49","0.26","11.3","72","0.000","1.42","0.19","4.2","2","0.000","","","0.0"
"86","Travis Hunter","JAX","WR","7","2025","211","0.014","1.41","0.21","7.1","6.6","0.5","0.0","5.7","44","28","298","1","368","6.8","73","-0.027","1.10","0.21","4.1","134","0.037","1.53","0.20","9.0","","","","","0.0","4","0.000","3.00","0.50","0.0"
"87","Jalen Tolbert","DAL","WR","10","2025","210","-0.029","0.82","0.12","6.7","6.2","0.5","0.0","10.0","25","14","172","1","297","7.5","119","-0.034","1.10","0.14","6.7","91","-0.022","0.44","0.09","6.6","","","","","0.0","","","","","0.0"
"88","Chase Brown","CIN","RB","10","2025","210","0.029","1.08","0.24","2.4","1.9","0.5","0.0","0.0","52","39","229","1","5","-2.6","11","0.091","","0.25","9.1","17","0.000","1.82","0.29","0.0","1","0.000","","","0.0","181","0.028","1.09","0.24","2.2"
"89","Jahan Dotson","PHI","WR","10","2025","210","0.005","0.91","0.08","7.6","7.6","0.0","0.0","7.1","17","10","194","1","265","7.5","114","0.053","1.43","0.09","12.3","96","-0.052","0.29","0.06","2.1","","","","","0.0","","","","","0.0"
"90","Evan Engram","DEN","TE","10","2025","205","0.049","1.25","0.23","7.8","7.3","0.0","0.5","3.9","48","32","260","1","223","5.4","24","0.042","0.79","0.25","8.3","97","0.103","1.21","0.20","11.3","81","-0.025","1.39","0.26","2.5","3","0.333","2.33","0.33","33.3"
"91","Xavier Worthy","KC","WR","8","2025","201","0.060","1.34","0.21","11.4","9.5","1.0","1.0","8.5","45","27","281","1","563","7.7","128","0.070","1.30","0.18","14.1","72","0.042","1.42","0.28","6.9","","","","","0.0","1","0.000","","","0.0"
"92","Rashod Bateman","BLT","WR","9","2025","201","0.065","0.95","0.14","15.4","14.9","0.5","0.0","9.5","29","16","194","2","365","8.8","176","0.074","0.88","0.15","16.5","24","0.000","1.50","0.08","8.3","","","","","0.0","1","0.000","","","0.0"
"93","Cooper Kupp","SEA","WR","9","2025","201","0.025","1.87","0.19","10.0","9.5","0.5","0.0","8.0","40","29","390","1","334","8.4","93","0.022","2.05","0.16","10.8","107","0.028","1.56","0.21","9.3","","","","","0.0","1","0.000","17.00","1.00","0.0"
"94","Josh Downs","IND","WR","9","2025","198","0.101","1.59","0.24","11.1","7.6","3.5","0.0","4.5","47","36","316","3","325","5.3","38","0.026","1.31","0.28","7.9","159","0.119","1.67","0.23","11.9","","","","","0.0","1","0.000","","","0.0"
"95","Isaiah Bond","CLV","WR","9","2025","196","0.041","0.61","0.14","10.2","8.7","1.5","0.0","7.7","28","11","123","0","361","8.2","113","0.062","0.48","0.13","13.3","82","0.012","0.80","0.15","6.1","","","","","0.0","1","0.000","","","0.0"
"96","Arian Smith","NYJ","WR","10","2025","195","0.036","0.24","0.05","7.2","5.6","1.5","0.0","5.1","10","6","47","0","149","9.8","106","-0.009","0.42","0.07","5.7","89","0.090","0.02","0.03","9.0","","","","","0.0","","","","","0.0"
"97","Olamide Zaccheaus","CHI","WR","10","2025","194","-0.015","1.22","0.24","7.2","5.7","1.5","0.0","10.3","48","32","248","1","305","7.9","86","-0.035","0.76","0.20","7.0","108","0.000","1.60","0.27","7.4","","","","","0.0","","","","","0.0"
