"Player Details","","","","","","Overall","","","","","","","","","","","","","","","Wide","","","","","Slot","","","","","Inline","","","","","Backfield","","","",""
"Rank","Name","Team","POS","G","Season","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","+1 Rate","+2 Rate","+3 Rate","Neg Rate","TGT","REC","YDS","TD","AY","ADOR","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE"
"306","Noah Brown","WAS","WR","2","2025","37","0.027","0.97","0.19","16.2","16.2","0.0","0.0","13.5","7","3","36","0","104","11.9","33","0.030","1.09","0.21","18.2","4","0.000","","","0.0","","","","","0.0","","","","","0.0"
"307","Austin Ekeler","WAS","RB","2","2025","37","0.000","1.03","0.19","0.0","0.0","0.0","0.0","0.0","7","5","38","0","10","-0.8","1","0.000","","","0.0","12","0.000","","","0.0","","","","","0.0","24","0.000","1.58","0.29","0.0"
"308","Harrison Bryant","HST","TE","8","2025","37","0.000","0.19","0.16","2.7","2.7","0.0","0.0","2.7","6","2","7","0","41","5.5","1","0.000","","","0.0","4","0.000","","","0.0","32","0.000","0.22","0.19","3.1","","","","","0.0"
"309","John Metchie","NYJ, PHI","WR","9","2025","36","-0.083","1.78","0.22","8.3","8.3","0.0","0.0","16.7","8","8","66","1","38","8.3","16","-0.125","","","12.5","18","-0.056","3.11","0.37","5.6","","","","","0.0","2","0.000","3.50","0.50","0.0"
"310","Kylen Granson","PHI","TE","10","2025","36","0.000","0.28","0.11","5.6","5.6","0.0","0.0","5.6","4","3","10","0","36","6.1","2","-0.500","","0.50","0.0","10","0.000","","","10.0","22","0.045","0.41","0.09","4.5","2","0.000","0.50","0.50","0.0"
"311","Jack Westover","NE","FB","11","2025","36","-0.028","","0.03","0.0","0.0","0.0","0.0","5.6","1","0","0","0","2","1.3","11","0.000","","","0.0","2","0.000","","","0.0","7","0.000","","","0.0","16","-0.063","","0.06","0.0"
"312","David Moore","CAR","WR","4","2025","36","0.083","0.14","0.03","8.3","8.3","0.0","0.0","0.0","1","1","5","0","5","7.8","26","0.115","0.19","0.04","11.5","10","0.000","","","0.0","","","","","0.0","","","","","0.0"
"313","Ben Skowronek","PIT","WR","10","2025","35","0.000","0.97","0.08","5.7","5.7","0.0","0.0","5.7","3","2","35","1","30","7.4","22","0.000","0.59","0.09","9.1","13","0.000","1.57","0.07","0.0","","","","","0.0","","","","","0.0"
"314","Scott Miller","PIT","WR","7","2025","35","-0.057","0.26","0.06","2.9","2.9","0.0","0.0","8.6","2","1","9","0","6","7.6","26","-0.038","0.35","0.04","3.8","9","-0.111","","0.11","0.0","","","","","0.0","","","","","0.0"
"315","KhaDarel Hodge","ATL","WR","9","2025","35","-0.029","0.89","0.29","14.3","14.3","0.0","0.0","17.1","10","3","31","0","150","10.4","28","-0.107","0.86","0.29","10.7","7","0.286","1.00","0.29","28.6","","","","","0.0","","","","","0.0"
"316","James Conner","ARZ","RB","3","2025","34","0.000","1.12","0.26","0.0","0.0","0.0","0.0","0.0","9","8","38","1","-6","-2.6","1","0.000","","","0.0","","","","","0.0","","","","","0.0","33","0.000","1.15","0.27","0.0"
"317","Mitchell Tinsley","CIN","WR","10","2025","34","0.088","1.32","0.16","8.8","5.9","2.9","0.0","2.9","6","3","49","1","89","5.7","26","0.077","1.69","0.17","7.7","7","0.143","","","14.3","1","0.000","","1.00","0.0","","","","","0.0"
"318","Nate Adkins","DEN","TE","6","2025","34","0.000","1.30","0.24","2.9","2.9","0.0","0.0","2.9","9","6","48","1","32","1.5","4","0.000","3.75","0.50","25.0","5","0.000","4.67","0.67","0.0","24","0.000","0.19","0.12","0.0","1","0.000","","","0.0"
"319","Kameron Johnson","TB","WR","10","2025","34","-0.088","1.83","0.17","5.9","5.9","0.0","0.0","14.7","6","4","64","1","75","8.1","18","-0.056","","0.11","5.6","16","-0.125","3.76","0.24","6.3","","","","","0.0","","","","","0.0"
"320","Dare Ogunbowale","HST","RB","10","2025","33","0.000","1.09","0.18","0.0","0.0","0.0","0.0","0.0","6","5","36","0","6","-1.6","1","0.000","1.00","1.00","0.0","1","0.000","","","0.0","","","","","0.0","31","0.000","1.13","0.16","0.0"
"321","Josh Oliver","MIN","TE","8","2025","33","0.061","1.61","0.19","9.1","9.1","0.0","0.0","3.0","7","6","58","2","14","2.6","","","","","0.0","7","0.143","1.29","0.14","14.3","26","0.038","1.69","0.21","7.7","","","","","0.0"
"322","Foster Moreau","NO","TE","6","2025","32","0.000","0.76","0.15","0.0","0.0","0.0","0.0","0.0","5","3","25","0","18","3.7","1","0.000","","","0.0","6","0.000","","","0.0","25","0.000","0.96","0.19","0.0","","","","","0.0"
"323","Ian Thomas","LV","TE","10","2025","32","0.000","1.61","0.18","0.0","0.0","0.0","0.0","0.0","6","6","53","0","22","3.9","3","0.000","3.33","0.33","0.0","4","0.000","1.00","0.25","0.0","24","0.000","1.56","0.16","0.0","1","0.000","","","0.0"
"324","Sean Tucker","TB","RB","10","2025","31","-0.032","0.94","0.25","0.0","0.0","0.0","0.0","6.5","8","7","30","1","-19","-1.7","6","-0.167","","","0.0","1","0.000","","","0.0","","","","","0.0","24","0.000","1.20","0.32","0.0"
"325","Tip Reiman","ARZ","TE","4","2025","31","-0.032","0.56","0.16","0.0","0.0","0.0","0.0","3.2","5","3","18","0","24","3.8","2","0.000","","","0.0","3","0.000","","","0.0","25","-0.040","0.72","0.20","0.0","1","0.000","","","0.0"
"326","KeAndre Lambert-Smith","LAC","WR","6","2025","31","-0.065","0.03","0.13","9.7","9.7","0.0","0.0","12.9","4","1","1","0","92","9.5","29","-0.069","0.03","0.13","10.3","2","0.000","","","0.0","","","","","0.0","","","","","0.0"
"327","Brevyn Spann-Ford","DAL","TE","10","2025","31","-0.065","0.56","0.16","3.2","3.2","0.0","0.0","9.7","5","4","18","0","30","3.5","1","1.000","","","100.0","9","0.000","1.56","0.44","0.0","20","-0.150","0.19","0.05","0.0","1","0.000","","","0.0"
"328","Justin Watson","HST","WR","2","2025","31","0.129","0.97","0.13","12.9","12.9","0.0","0.0","0.0","4","3","30","0","39","9.3","7","0.000","","","0.0","24","0.167","1.25","0.17","16.7","","","","","0.0","","","","","0.0"
"329","Chris Brooks","GB","RB","10","2025","31","0.000","1.69","0.28","0.0","0.0","0.0","0.0","0.0","9","7","54","0","-3","-4.5","1","0.000","","","0.0","1","0.000","","","0.0","3","0.000","3.33","0.33","0.0","26","0.000","1.63","0.30","0.0"
"330","Mason Kinsey","TEN","WR","4","2025","30","0.000","0.44","0.09","3.3","3.3","0.0","0.0","3.3","3","1","14","0","57","11.1","16","-0.063","","","0.0","14","0.071","0.88","0.19","7.1","","","","","0.0","","","","","0.0"
"331","Hunter Luepke","DAL","FB","10","2025","29","0.000","1.87","0.27","0.0","0.0","0.0","0.0","0.0","8","7","56","1","-1","0.7","3","0.000","0.75","0.25","0.0","1","0.000","","","0.0","1","0.000","","","0.0","24","0.000","2.21","0.29","0.0"
"332","Blake Whiteheart","CLV","TE","9","2025","29","-0.034","0.14","0.10","0.0","0.0","0.0","0.0","3.4","3","2","4","0","28","5.2","5","0.000","","","0.0","10","0.000","","","0.0","14","-0.071","0.29","0.21","0.0","","","","","0.0"
"333","Will Shipley","PHI","RB","8","2025","27","0.000","1.04","0.15","0.0","0.0","0.0","0.0","0.0","4","4","28","0","-1","-1.4","","","","","0.0","2","0.000","","","0.0","","","","","0.0","25","0.000","1.12","0.16","0.0"
"334","Payne Durham","TB","TE","10","2025","27","-0.037","","0.07","0.0","0.0","0.0","0.0","3.7","2","0","0","0","-2","1.6","3","0.000","","","0.0","5","-0.200","","0.20","0.0","18","0.000","","0.06","0.0","1","0.000","","","0.0"
"335","Treylon Burks","WAS","WR","2","2025","25","0.000","2.77","0.15","12.0","12.0","0.0","0.0","12.0","4","4","72","0","59","8.4","21","0.048","3.27","0.18","14.3","4","-0.250","","","0.0","","","","","0.0","","","","","0.0"
"336","Malachi Corley","CLV","WR","6","2025","25","-0.080","1.04","0.20","4.0","4.0","0.0","0.0","8.0","5","4","26","0","-10","2.8","11","0.000","1.73","0.18","9.1","13","-0.154","0.54","0.23","0.0","1","0.000","","","0.0","","","","","0.0"
"337","Jack Stoll","NO","TE","9","2025","25","-0.120","1.08","0.23","0.0","0.0","0.0","0.0","12.0","6","3","28","1","37","2.7","1","-1.000","","","0.0","4","0.000","2.60","0.20","0.0","14","-0.143","1.07","0.29","0.0","6","0.000","","0.17","0.0"
"338","Lucas Krull","DEN","TE","3","2025","25","0.000","0.58","0.15","0.0","0.0","0.0","0.0","0.0","4","2","15","0","20","4.7","3","0.000","","","0.0","10","0.000","0.90","0.20","0.0","12","0.000","0.46","0.15","0.0","","","","","0.0"
"339","Quintin Morris","JAX","TE","6","2025","24","-0.042","0.44","0.08","0.0","0.0","0.0","0.0","8.3","2","1","11","0","30","5.3","6","0.000","","","0.0","5","-0.200","","","0.0","13","0.000","0.79","0.14","0.0","","","","","0.0"
"340","Cody White","SEA","WR","4","2025","24","0.083","2.31","0.08","8.3","8.3","0.0","0.0","0.0","2","1","60","1","24","6.4","15","0.067","4.00","0.07","6.7","9","0.111","","0.09","11.1","","","","","0.0","","","","","0.0"
"341","Anthony Gould","IND","WR","8","2025","24","-0.083","0.13","0.04","0.0","0.0","0.0","0.0","8.3","1","1","3","0","3","5.6","3","-0.333","","","0.0","21","-0.048","0.14","0.05","0.0","","","","","0.0","","","","","0.0"
"342","Kendre Miller","NO","RB","7","2025","24","0.000","1.25","0.21","0.0","0.0","0.0","0.0","0.0","5","5","30","0","-6","-3.7","1","0.000","","","0.0","2","0.000","1.00","0.50","0.0","","","","","0.0","21","0.000","1.33","0.19","0.0"
"343","Austin Trammell","JAX","WR","3","2025","24","0.250","1.92","0.21","16.7","8.3","4.2","4.2","4.2","5","3","46","0","78","8.5","12","0.417","","0.08","25.0","12","0.083","3.83","0.33","8.3","","","","","0.0","","","","","0.0"
"344","Miles Sanders","DAL","RB","4","2025","23","0.000","1.30","0.35","0.0","0.0","0.0","0.0","0.0","8","8","30","0","-14","-1.9","","","","","0.0","","","","","0.0","","","","","0.0","23","0.000","1.30","0.35","0.0"
"345","Robert Tonyan","KC","TE","10","2025","23","-0.043","0.04","0.04","0.0","0.0","0.0","0.0","4.3","1","1","1","0","1","4.7","3","0.000","","","0.0","6","-0.167","","","0.0","14","0.000","0.07","0.07","0.0","","","","","0.0"
"346","Albert Okwuegbunam","LV","TE","1","2025","22","0.045","1.57","0.26","9.1","9.1","0.0","0.0","4.5","6","5","36","0","20","4.4","","","","","0.0","11","0.091","1.36","0.36","18.2","11","0.000","1.75","0.17","0.0","","","","","0.0"
"347","Gunner Olszewski","NYG","WR","11","2025","22","0.091","1.09","0.14","18.2","13.6","0.0","4.5","18.2","3","1","24","1","66","6.3","16","0.063","","0.13","18.8","6","0.167","4.00","0.17","16.7","","","","","0.0","","","","","0.0"
"348","Isaiah Hodgins","NYG","WR","1","2025","22","0.045","2.38","0.25","9.1","9.1","0.0","0.0","4.5","6","5","57","0","57","8.6","19","0.053","2.71","0.29","10.5","3","0.000","","","0.0","","","","","0.0","","","","","0.0"
"349","Zamir White","LV","RB","3","2025","22","0.000","0.86","0.23","0.0","0.0","0.0","0.0","0.0","5","3","19","0","-5","-4.0","","","","","0.0","","","","","0.0","","","","","0.0","22","0.000","0.86","0.23","0.0"
"350","Ray Davis","BUF","RB","10","2025","21","-0.048","0.82","0.32","0.0","0.0","0.0","0.0","4.8","7","4","18","1","3","-0.9","","","","","0.0","","","","","0.0","","","","","0.0","21","-0.048","0.82","0.32","0.0"
"351","Ryan Miller","TB","WR","10","2025","20","0.100","1.62","0.19","15.0","10.0","5.0","0.0","10.0","4","2","34","1","70","9.8","15","0.000","1.25","0.19","13.3","5","0.400","2.80","0.20","20.0","","","","","0.0","","","","","0.0"
"352","Darius Cooper","PHI","WR","6","2025","20","0.000","","","5.0","0.0","5.0","0.0","10.0","0","0","0","0","0","8.5","11","0.091","","","9.1","9","-0.111","","","0.0","","","","","0.0","","","","","0.0"
"353","Simi Fehoko","ARZ","WR","7","2025","20","-0.100","","","0.0","0.0","0.0","0.0","10.0","0","0","0","0","0","6.2","16","-0.125","","","0.0","4","0.000","","","0.0","","","","","0.0","","","","","0.0"
"354","Devontez Walker","BLT","WR","5","2025","19","0.053","3.16","0.16","15.8","5.3","10.5","0.0","21.1","3","3","60","2","74","12.0","15","0.133","4.00","0.20","20.0","4","-0.250","","","0.0","","","","","0.0","","","","","0.0"
"355","Cade Stover","HST","TE","2","2025","19","-0.053","1.16","0.21","0.0","0.0","0.0","0.0","5.3","4","4","22","0","8","4.3","2","0.000","","","0.0","1","0.000","","","0.0","16","-0.063","1.38","0.25","0.0","","","","","0.0"
"356","Taysom Hill","NO","TE","6","2025","19","-0.053","0.95","0.21","0.0","0.0","0.0","0.0","5.3","4","3","18","0","11","3.5","4","0.000","","","0.0","6","-0.167","","","0.0","6","0.000","3.00","0.50","0.0","3","0.000","","0.33","0.0"
"357","Russell Gage","SF","WR","1","2025","19","0.053","","","10.5","10.5","0.0","0.0","5.3","0","0","0","0","0","4.7","9","-0.111","","","0.0","10","0.200","","","20.0","","","","","0.0","","","","","0.0"
"358","Ameer Abdullah","IND","RB","6","2025","19","0.000","1.58","0.26","0.0","0.0","0.0","0.0","0.0","5","5","30","0","8","-1.4","","","","","0.0","2","0.000","1.50","0.50","0.0","","","","","0.0","17","0.000","1.59","0.24","0.0"
"359","Eric Saubert","SEA","TE","7","2025","18","0.000","0.63","0.05","0.0","0.0","0.0","0.0","0.0","1","1","12","0","6","2.7","","","","","0.0","1","0.000","","","0.0","17","0.000","0.67","0.06","0.0","","","","","0.0"
"360","C.J. Ham","MIN","FB","4","2025","18","0.056","0.28","0.06","5.6","5.6","0.0","0.0","0.0","1","1","5","0","4","-2.1","","","","","0.0","1","0.000","","","0.0","1","0.000","","","0.0","16","0.063","0.31","0.06","6.3"
"361","Cedrick Wilson","MIA","WR","4","2025","17","-0.118","0.50","0.11","0.0","0.0","0.0","0.0","11.8","2","2","9","0","2","7.6","14","-0.143","0.47","0.07","0.0","1","0.000","","","0.0","1","0.000","2.00","1.00","0.0","1","0.000","","","0.0"
"362","Derius Davis","LAC","WR","8","2025","17","-0.176","0.17","0.11","0.0","0.0","0.0","0.0","17.6","2","1","3","0","26","1.6","6","-0.167","0.50","0.33","0.0","10","-0.200","","","0.0","","","","","0.0","1","0.000","","","0.0"
"363","Bo Melton","GB","WR","2","2025","16","0.063","1.75","0.31","12.5","12.5","0.0","0.0","6.3","5","2","28","0","70","12.4","7","0.143","2.57","0.29","14.3","9","0.000","1.11","0.33","11.1","","","","","0.0","","","","","0.0"
"364","Tyler Goodson","IND","RB","5","2025","16","0.000","0.50","0.19","0.0","0.0","0.0","0.0","0.0","3","2","8","0","-2","-2.6","1","0.000","","","0.0","2","0.000","","","0.0","","","","","0.0","13","0.000","0.62","0.23","0.0"
"365","Adam Prentice","DEN","FB","11","2025","16","0.000","1.82","0.24","0.0","0.0","0.0","0.0","0.0","4","3","31","0","11","1.7","3","0.000","","","0.0","1","0.000","13.00","1.00","0.0","1","0.000","","1.00","0.0","11","0.000","1.50","0.17","0.0"
"366","Jake Bobo","SEA","WR","6","2025","16","-0.063","1.25","0.13","0.0","0.0","0.0","0.0","6.3","2","2","20","0","12","7.4","6","-0.167","","","0.0","10","0.000","2.00","0.20","0.0","","","","","0.0","","","","","0.0"
"367","Mason Tipton","NO","WR","8","2025","16","0.125","","0.12","12.5","12.5","0.0","0.0","0.0","2","0","0","0","39","7.3","14","0.143","","0.13","14.3","2","0.000","","","0.0","","","","","0.0","","","","","0.0"
"368","Braelon Allen","NYJ","RB","4","2025","16","0.063","1.06","0.19","6.3","6.3","0.0","0.0","0.0","3","2","17","0","8","-1.0","","","","","0.0","1","0.000","","","0.0","","","","","0.0","15","0.067","1.13","0.20","6.7"
"369","Keaton Mitchell","BLT","RB","6","2025","15","0.000","2.33","0.33","0.0","0.0","0.0","0.0","6.7","5","4","35","0","-15","-2.4","1","0.000","","","0.0","2","0.000","","","0.0","2","0.000","","","0.0","10","0.000","3.50","0.50","0.0"
"370","Najee Harris","LAC","RB","3","2025","15","0.000","1.67","0.20","0.0","0.0","0.0","0.0","0.0","3","3","25","0","10","0.7","1","0.000","","","0.0","","","","","0.0","","","","","0.0","14","0.000","1.79","0.21","0.0"
"371","AJ Dillon","PHI","RB","6","2025","15","0.000","1.20","0.13","0.0","0.0","0.0","0.0","0.0","2","2","18","0","7","-2.5","","","","","0.0","1","0.000","","","0.0","","","","","0.0","14","0.000","1.29","0.14","0.0"
"372","Robbie Ouzts","SEA","FB","6","2025","15","0.000","","","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","3.0","4","0.000","","","0.0","2","0.000","","","0.0","6","0.000","","","0.0","3","0.000","","","0.0"
"373","Dylan Laube","LV","RB","10","2025","14","0.000","1.29","0.29","0.0","0.0","0.0","0.0","0.0","4","3","18","0","-3","-0.6","1","0.000","","","0.0","","","","","0.0","","","","","0.0","13","0.000","1.38","0.31","0.0"
"374","Scott Matlock","LAC","FB","10","2025","14","0.071","0.21","0.14","7.1","7.1","0.0","0.0","0.0","2","2","3","1","-2","-4.7","3","0.000","","","0.0","2","0.000","","","0.0","7","0.000","0.14","0.14","0.0","2","0.500","1.00","0.50","50.0"
"375","Jayden Reed","GB","WR","2","2025","14","-0.071","3.21","0.36","0.0","0.0","0.0","0.0","7.1","5","3","45","1","69","3.4","2","0.000","","","0.0","11","-0.091","3.91","0.36","0.0","","","","","0.0","1","0.000","2.00","1.00","0.0"
"376","Jared Wayne","HST","WR","1","2025","14","0.071","1.43","0.14","14.3","14.3","0.0","0.0","7.1","2","2","20","0","16","8.4","11","0.000","1.82","0.18","9.1","3","0.333","","","33.3","","","","","0.0","","","","","0.0"
"377","Tahj Washington","MIA","WR","4","2025","14","-0.143","0.79","0.14","0.0","0.0","0.0","0.0","14.3","2","1","11","0","49","6.9","7","-0.143","1.57","0.14","0.0","7","-0.143","","0.14","0.0","","","","","0.0","","","","","0.0"
"378","Trevor Etienne","CAR","RB","11","2025","13","0.000","0.69","0.15","0.0","0.0","0.0","0.0","0.0","2","2","9","0","1","-0.3","2","0.000","","","0.0","8","0.000","1.13","0.25","0.0","","","","","0.0","3","0.000","","","0.0"
"379","Gabe Davis","BUF","WR","1","2025","13","0.077","2.86","0.29","15.4","15.4","0.0","0.0","7.7","4","3","40","0","29","10.5","11","0.091","2.42","0.25","18.2","2","0.000","5.50","0.50","0.0","","","","","0.0","","","","","0.0"
"380","Tank Bigsby","JAX, PHI","RB","9","2025","13","0.000","-0.08","0.08","0.0","0.0","0.0","0.0","0.0","1","1","-1","0","-7","-5.2","","","","","0.0","","","","","0.0","","","","","0.0","13","0.000","-0.08","0.08","0.0"
"381","Antonio Gibson","NE","RB","5","2025","13","0.000","0.43","0.21","0.0","0.0","0.0","0.0","0.0","3","2","6","0","-4","-0.8","2","0.000","","","0.0","","","","","0.0","","","","","0.0","11","0.000","0.50","0.25","0.0"
"382","Reggie Gilliam","BUF","FB","10","2025","12","0.000","","","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","-0.8","5","0.000","","","0.0","3","0.000","","","0.0","3","0.000","","","0.0","1","0.000","","","0.0"
"383","Andrew Beck","NYJ","FB","10","2025","12","0.000","1.23","0.31","0.0","0.0","0.0","0.0","0.0","4","3","16","1","10","1.3","","","","","0.0","3","0.000","2.00","0.33","0.0","4","0.000","2.25","0.50","0.0","5","0.000","0.17","0.17","0.0"
"384","Josiah Deguara","ARZ","TE","5","2025","12","0.000","","","8.3","8.3","0.0","0.0","8.3","0","0","0","0","0","4.3","1","0.000","","","0.0","2","0.000","","","0.0","9","0.000","","","11.1","","","","","0.0"
"385","Andre Baccellia","ARZ","WR","1","2025","12","0.000","0.42","0.08","8.3","8.3","0.0","0.0","8.3","1","1","5","0","6","10.2","11","0.000","0.45","0.09","9.1","1","0.000","","","0.0","","","","","0.0","","","","","0.0"
"386","Tay Martin","WAS","WR","3","2025","12","0.000","1.92","0.17","8.3","8.3","0.0","0.0","8.3","2","2","23","0","18","7.1","11","0.000","2.09","0.18","9.1","1","0.000","","","0.0","","","","","0.0","","","","","0.0"
"387","Julius Chestnut","TEN","RB","10","2025","11","0.000","","0.17","0.0","0.0","0.0","0.0","0.0","2","0","0","0","18","-0.9","2","0.000","","","0.0","","","","","0.0","","","","","0.0","9","0.000","","0.20","0.0"
"388","Thomas Fidone","NYG","TE","2","2025","11","-0.091","","","0.0","0.0","0.0","0.0","9.1","0","0","0","0","0","6.0","1","-1.000","","","0.0","7","0.000","","","0.0","3","0.000","","","0.0","","","","","0.0"
"389","Ben Yurosek","MIN","TE","8","2025","11","0.000","0.42","0.17","0.0","0.0","0.0","0.0","0.0","2","1","5","0","6","3.0","","","","","0.0","1","0.000","","","0.0","10","0.000","0.45","0.18","0.0","","","","","0.0"
"390","Patrick Ricard","BLT","FB","4","2025","11","0.000","","","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","-0.4","","","","","0.0","1","0.000","","","0.0","2","0.000","","","0.0","8","0.000","","","0.0"
"391","D'Ernest Johnson","NE, ARZ","RB","3","2025","11","-0.091","","","0.0","0.0","0.0","0.0","9.1","0","0","0","0","0","0.1","3","-0.333","","","0.0","2","0.000","","","0.0","","","","","0.0","6","0.000","","","0.0"
"392","Colson Yankoff","WAS","TE","9","2025","11","0.000","0.36","0.09","0.0","0.0","0.0","0.0","0.0","1","1","4","0","0","3.5","1","0.000","","","0.0","5","0.000","","","0.0","4","0.000","","","0.0","1","0.000","4.00","1.00","0.0"
"393","Rasheen Ali","BLT","RB","9","2025","11","0.000","1.36","0.09","0.0","0.0","0.0","0.0","0.0","1","1","15","0","1","-2.0","","","","","0.0","","","","","0.0","","","","","0.0","11","0.000","1.36","0.09","0.0"
"394","Devin Duvernay","CHI","WR","10","2025","10","-0.100","0.20","0.30","10.0","10.0","0.0","0.0","20.0","3","1","2","0","53","9.4","3","-0.333","","0.33","0.0","6","0.000","0.33","0.33","16.7","1","0.000","","","0.0","","","","","0.0"
"395","James Mitchell","CAR","TE","3","2025","10","0.000","2.80","0.30","0.0","0.0","0.0","0.0","0.0","3","3","28","0","6","2.7","","","","","0.0","6","0.000","3.17","0.33","0.0","4","0.000","2.25","0.25","0.0","","","","","0.0"
"396","Jordan Watkins","SF","WR","3","2025","10","-0.100","2.17","0.25","10.0","10.0","0.0","0.0","20.0","3","2","26","0","43","10.3","7","0.000","2.71","0.14","14.3","3","-0.333","1.40","0.40","0.0","","","","","0.0","","","","","0.0"
"397","Chris Manhertz","NYG","TE","11","2025","9","-0.111","0.78","0.11","0.0","0.0","0.0","0.0","11.1","1","1","7","0","1","2.7","","","","","0.0","","","","","0.0","9","-0.111","0.78","0.11","0.0","","","","","0.0"
"398","Josh Whyle","GB","TE","2","2025","9","0.000","0.20","0.10","0.0","0.0","0.0","0.0","0.0","1","1","2","1","5","1.2","","","","","0.0","1","0.000","1.00","0.50","0.0","7","0.000","","","0.0","1","0.000","","","0.0"
"399","Alex Bachman","LV","WR","8","2025","9","-0.222","1.00","0.22","0.0","0.0","0.0","0.0","22.2","2","1","9","0","11","5.7","4","-0.500","","0.25","0.0","5","0.000","1.80","0.20","0.0","","","","","0.0","","","","","0.0"
"400","David Martin-Robinson","TEN","TE","8","2025","9","0.111","0.11","0.11","11.1","11.1","0.0","0.0","0.0","1","1","1","1","8","3.7","2","0.000","","","0.0","1","0.000","","","0.0","6","0.167","0.17","0.17","16.7","","","","","0.0"
"401","Jaylen Wright","MIA","RB","4","2025","9","0.000","","0.11","0.0","0.0","0.0","0.0","0.0","1","1","0","0","-3","-0.1","1","0.000","","","0.0","4","0.000","","0.25","0.0","","","","","0.0","4","0.000","","","0.0"
"402","Jason Brownlee","KC","WR","5","2025","9","0.000","","0.10","0.0","0.0","0.0","0.0","0.0","1","0","0","0","14","8.7","9","0.000","","0.10","0.0","","","","","0.0","","","","","0.0","","","","","0.0"
"403","Zaire Mitchell-Paden","BLT, NO","TE","7","2025","9","0.111","1.89","0.33","11.1","11.1","0.0","0.0","0.0","3","2","17","0","20","-0.8","","","","","0.0","2","0.000","7.00","0.50","0.0","1","0.000","","","0.0","6","0.167","0.50","0.33","16.7"
"404","Tim Jones","JAX, MIN","WR","4","2025","9","0.000","1.67","0.11","0.0","0.0","0.0","0.0","0.0","1","1","15","0","4","8.6","6","0.000","2.50","0.17","0.0","3","0.000","","","0.0","","","","","0.0","","","","","0.0"
"405","Trayveon Williams","LAC","RB","2","2025","9","0.000","","0.11","0.0","0.0","0.0","0.0","0.0","1","1","0","0","-1","-2.1","","","","","0.0","","","","","0.0","","","","","0.0","9","0.000","","0.11","0.0"
"406","James Proche","TEN","WR","2","2025","9","-0.111","","","0.0","0.0","0.0","0.0","11.1","0","0","0","0","0","10.7","3","-0.333","","","0.0","6","0.000","","","0.0","","","","","0.0","","","","","0.0"
"407","Connor Heyward","PIT","TE","10","2025","8","0.125","2.25","0.38","12.5","12.5","0.0","0.0","0.0","3","2","18","1","41","3.3","3","0.000","","","0.0","1","0.000","6.00","1.00","0.0","1","0.000","12.00","1.00","0.0","3","0.333","","0.33","33.3"
"408","Bryce Oliver","TEN","WR","2","2025","8","0.000","1.00","0.13","12.5","12.5","0.0","0.0","12.5","1","1","8","0","5","6.1","7","0.000","1.14","0.14","14.3","1","0.000","","","0.0","","","","","0.0","","","","","0.0"
"409","Kaleb Johnson","PIT","RB","7","2025","8","0.000","1.13","0.25","0.0","0.0","0.0","0.0","0.0","2","1","9","0","-8","-4.8","","","","","0.0","1","0.000","","","0.0","","","","","0.0","7","0.000","1.29","0.29","0.0"
"410","Tahj Brooks","CIN","RB","8","2025","8","0.000","","","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","-3.8","1","0.000","","","0.0","","","","","0.0","","","","","0.0","7","0.000","","","0.0"
"411","Dareke Young","SEA","WR","6","2025","8","0.000","5.33","0.22","12.5","12.5","0.0","0.0","12.5","2","2","48","0","47","12.0","8","0.000","5.33","0.22","12.5","","","","","0.0","","","","","0.0","","","","","0.0"
"412","DeeJay Dallas","CAR","RB","2","2025","8","0.000","","","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","-2.0","1","0.000","","","0.0","2","0.000","","","0.0","","","","","0.0","5","0.000","","","0.0"
"413","Devin Culp","TB","TE","7","2025","8","0.000","","","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","7.0","5","0.000","","","0.0","","","","","0.0","3","0.000","","","0.0","","","","","0.0"
"414","DJ Giddens","IND","RB","7","2025","8","0.000","","0.25","0.0","0.0","0.0","0.0","0.0","2","0","0","0","-5","-2.9","","","","","0.0","","","","","0.0","","","","","0.0","8","0.000","","0.25","0.0"
"415","Jaydon Blue","DAL","RB","4","2025","7","0.000","0.71","0.14","0.0","0.0","0.0","0.0","0.0","1","1","5","0","-5","-2.0","1","0.000","","","0.0","","","","","0.0","","","","","0.0","6","0.000","0.83","0.17","0.0"
"416","LaJohntay Wester","BLT","WR","9","2025","7","0.000","","","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","6.3","","","","","0.0","7","0.000","","","0.0","","","","","0.0","","","","","0.0"
"417","Brittain Brown","CHI","RB","1","2025","7","0.000","","0.11","0.0","0.0","0.0","0.0","0.0","1","0","0","0","4","2.3","1","0.000","","","0.0","","","","","0.0","1","0.000","","","0.0","5","0.000","","0.17","0.0"
