"Player Details","","","","","","Receiving","","","","","","","","","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","TGT","TGT %","REC","YDS","TM YDS %","YPR","YPT","RecYDS/G","CR %","TD","TM TD %","i10","i20 TGT","FUM","FP/G","FP","PPR","NON-PPR"
"105","Calvin Austin","PIT","WR","8","2025","36","14.8","22","242","14.9","11.00","6.72","30.3","61.1","2","14.3","0","3","0","7.3","58.2","58.2","36.2"
"106","Malik Washington","MIA","WR","11","2025","45","13.6","33","234","10.6","7.09","5.20","21.3","73.3","2","11.8","5","8","0","6.8","75.2","75.2","42.2"
"107","Marvin Mims","DEN","WR","9","2025","32","9.9","22","234","11.2","10.64","7.31","26.0","68.8","1","6.7","1","1","0","7.0","63.0","63.0","41.0"
"108","Christian Watson","GB","WR","4","2025","17","12.5","12","234","23.7","19.50","13.76","58.5","70.6","2","33.3","1","2","0","11.9","47.4","47.4","35.4"
"109","Pat Bryant","DEN","WR","11","2025","22","5.7","15","231","9.5","15.40","10.50","21.0","68.2","1","5.6","1","3","0","4.0","44.1","44.1","29.1"
"110","Jake Tonges","SF","TE","11","2025","35","9.0","26","226","7.7","8.69","6.46","20.5","74.3","4","20.0","3","5","0","6.6","72.6","72.6","46.6"
"111","Jaylin Lane","WAS","WR","11","2025","29","9.4","16","225","10.0","14.06","7.76","20.5","55.2","0","0.0","0","2","0","3.6","39.2","39.2","23.2"
"112","Darnell Mooney","ATL","WR","8","2025","40","15.7","16","224","13.3","14.00","5.60","28.0","40.0","0","0.0","1","3","1","4.8","38.4","38.4","22.4"
"113","Dyami Brown","JAX","WR","9","2025","36","11.7","19","219","11.1","11.53","6.08","24.3","52.8","1","10.0","3","8","0","5.5","49.5","49.5","30.5"
"114","DeAndre Hopkins","BLT","WR","10","2025","22","8.4","13","219","11.0","16.85","9.95","21.9","59.1","2","12.5","0","0","0","4.7","46.9","46.9","33.9"
"115","Gunnar Helm","TEN","TE","10","2025","29","8.7","24","216","11.1","9.00","7.45","21.6","82.8","1","16.7","2","4","0","5.2","51.6","51.6","27.6"
"116","Jaylin Noel","HST","WR","10","2025","25","6.9","19","209","8.6","11.00","8.36","20.9","76.0","1","7.1","1","3","0","4.6","46.3","46.3","27.3"
"117","Darnell Washington","PIT","TE","10","2025","26","8.5","18","209","9.9","11.61","8.04","20.9","69.2","1","5.0","3","7","1","4.7","46.9","46.9","28.9"
"118","Chimere Dike","TEN","WR","10","2025","34","10.2","23","208","10.6","9.04","6.12","20.8","67.6","1","16.7","1","7","0","5.2","51.5","51.5","28.5"
"119","Brenton Strange","JAX","TE","5","2025","24","14.2","20","204","19.1","10.20","8.50","40.8","83.3","0","0.0","0","0","0","8.1","40.4","40.4","20.4"
"120","Terry McLaurin","WAS","WR","4","2025","21","17.1","13","203","23.8","15.62","9.67","50.8","61.9","1","20.0","0","2","0","9.8","39.3","39.3","26.3"
"121","Luke McCaffrey","WAS","WR","9","2025","15","5.9","11","203","11.1","18.45","13.53","22.6","73.3","3","25.0","1","2","0","5.7","51.3","51.3","40.3"
"122","Daniel Bellinger","NYG","TE","10","2025","15","4.7","12","202","8.9","16.83","13.47","20.2","80.0","1","9.1","0","5","0","3.8","38.2","38.2","26.2"
"123","Ryan Flournoy","DAL","WR","9","2025","23","6.8","17","200","8.0","11.76","8.70","22.2","73.9","2","9.1","3","3","0","5.7","51.5","51.5","34.5"
"124","Rashod Bateman","BLT","WR","9","2025","29","12.2","16","194","10.7","12.13","6.69","21.6","55.2","2","12.5","2","5","0","5.5","49.4","49.4","33.4"
"125","Jahan Dotson","PHI","WR","10","2025","17","6.3","10","194","9.7","19.40","11.41","19.4","58.8","1","6.3","0","2","0","3.5","35.4","35.4","25.4"
"126","Cole Kmet","CHI","TE","9","2025","27","9.2","16","192","9.2","12.00","7.11","21.3","59.3","1","7.1","2","3","0","4.6","41.2","41.2","25.2"
"127","Chris Moore","WAS","WR","10","2025","20","7.5","10","192","9.4","19.20","9.60","19.2","50.0","1","7.7","0","1","0","3.6","36.1","36.1","26.1"
"128","Tyler Higbee","LA","TE","9","2025","30","10.3","20","190","8.8","9.50","6.33","21.1","66.7","2","8.3","4","7","0","5.7","51.0","51.0","31.0"
"129","Van Jefferson","TEN","WR","10","2025","32","9.6","17","189","9.7","11.12","5.91","18.9","53.1","1","16.7","1","3","0","4.2","41.9","41.9","24.9"
"130","Tyler Johnson","NYJ","WR","9","2025","14","5.6","10","187","13.2","18.70","13.36","20.8","71.4","1","10.0","0","1","0","3.9","34.7","34.7","24.7"
"131","Tommy Tremble","CAR","TE","11","2025","24","6.8","19","184","8.2","9.68","7.67","16.7","79.2","1","6.7","2","4","0","3.9","43.4","43.4","24.4"
"132","KaVontae Turpin","DAL","WR","8","2025","24","7.8","16","184","8.4","11.50","7.67","23.0","66.7","1","6.7","1","3","0","5.4","43.0","43.0","27.0"
"133","Zay Jones","ARZ","WR","8","2025","16","5.8","12","183","9.7","15.25","11.44","22.9","75.0","0","0.0","1","2","0","3.8","30.3","30.3","18.3"
"134","Dontayvion Wicks","GB","WR","8","2025","28","11.8","18","181","10.1","10.06","6.46","22.6","64.3","0","0.0","0","2","0","4.5","36.1","36.1","18.1"
"135","Dawson Knox","BUF","TE","10","2025","20","6.7","13","178","7.1","13.69","8.90","17.8","65.0","1","5.6","1","3","0","3.7","36.8","36.8","23.8"
"136","Elijah Arroyo","SEA","TE","10","2025","22","8.0","14","174","6.8","12.43","7.91","17.4","63.6","1","5.9","3","5","1","3.6","36.4","36.4","22.4"
"137","Austin Hooper","NE","TE","10","2025","15","5.2","13","174","6.8","13.38","11.60","17.4","86.7","1","5.3","1","2","0","3.6","36.4","36.4","23.4"
"138","Tyrell Shavers","BUF","WR","10","2025","17","5.7","11","172","6.9","15.64","10.12","17.2","64.7","1","5.6","0","0","0","3.4","34.2","34.2","23.2"
"139","Jalen Tolbert","DAL","WR","10","2025","25","6.7","14","172","6.4","12.29","6.88","17.2","56.0","1","4.5","1","3","0","3.9","39.2","39.2","25.2"
"140","Ja'Tavion Sanders","CAR","TE","8","2025","29","11.2","24","170","10.3","7.08","5.86","21.3","82.8","0","0.0","1","9","0","5.1","41.0","41.0","17.0"
"141","Cedric Tillman","CLV","WR","6","2025","26","11.7","16","169","15.1","10.56","6.50","28.2","61.5","2","40.0","2","4","0","7.5","44.9","44.9","28.9"
"142","Michael Mayer","LV","TE","8","2025","31","12.2","21","168","9.6","8.00","5.42","21.0","67.7","1","10.0","3","4","0","5.5","43.8","43.8","22.8"
"143","Roman Wilson","PIT","WR","10","2025","17","5.5","12","166","7.9","13.83","9.76","16.6","70.6","2","10.0","1","1","1","4.0","39.6","39.6","27.6"
"144","Brandin Cooks","NO","WR","10","2025","25","7.3","19","165","7.5","8.68","6.60","16.5","76.0","0","0.0","0","1","0","3.6","35.5","35.5","16.5"
"145","Tutu Atwell","LA","WR","6","2025","9","4.1","4","164","9.7","41.00","18.22","27.3","44.4","1","6.3","0","1","0","4.4","26.4","26.4","22.4"
"146","Jonnu Smith","PIT","TE","10","2025","36","11.7","26","163","7.7","6.27","4.53","16.3","72.2","2","10.0","2","4","1","5.5","55.3","55.3","29.3"
"147","Elijah Higgins","ARZ","TE","10","2025","19","5.1","16","162","6.4","10.13","8.53","16.2","84.2","0","0.0","1","3","1","3.1","31.2","31.2","15.2"
"148","Adonai Mitchell","IND, NYJ","WR","9","2025","21","7.1","10","162","7.0","16.20","7.71","18.0","47.6","0","0.0","0","1","1","2.8","25.2","25.2","15.2"
"149","Tory Horton","SEA","WR","8","2025","22","10.0","13","161","7.7","12.38","7.32","20.1","59.1","5","31.3","3","4","0","7.4","59.1","59.1","46.1"
"150","Demarcus Robinson","SF","WR","8","2025","23","8.4","12","155","7.4","12.92","6.74","19.4","52.2","0","0.0","1","2","0","3.7","29.5","29.5","17.5"
"151","Tyler Lockett","TEN, LV","WR","10","2025","28","8.1","18","147","7.3","8.17","5.25","14.7","64.3","0","0.0","1","1","0","3.3","32.7","32.7","14.7"
"152","Christian Kirk","HST","WR","6","2025","28","12.6","16","144","9.7","9.00","5.14","24.0","57.1","0","0.0","2","3","0","5.1","30.4","30.4","14.4"
"153","Mike Evans","TB","WR","4","2025","31","20.8","14","140","16.6","10.00","4.52","35.0","45.2","1","14.3","1","5","0","8.5","34.0","34.0","20.0"
"154","Greg Dortch","ARZ","WR","10","2025","22","5.9","21","139","5.5","6.62","6.32","13.9","95.5","2","12.5","0","7","0","5.5","54.9","54.9","33.9"
"155","Terrance Ferguson","LA","TE","7","2025","11","4.7","5","138","7.9","27.60","12.55","19.7","45.5","1","4.8","0","0","0","3.5","24.8","24.8","19.8"
"156","Tre Harris","LAC","WR","11","2025","19","4.9","16","137","4.9","8.56","7.21","12.5","84.2","1","5.3","1","3","0","3.2","35.7","35.7","19.7"
"157","Brycen Tremayne","CAR","WR","10","2025","14","4.3","12","133","6.2","11.08","9.50","13.3","85.7","0","0.0","0","1","1","2.5","25.3","25.3","13.3"
"158","Jordan Whittington","LA","WR","10","2025","18","5.3","13","130","5.1","10.00","7.22","13.0","72.2","0","0.0","0","1","0","2.7","27.2","27.2","14.2"
