"Player Details","","","","","","Rushing","","","","","","","Advanced","","","","","","","","","","","","","Zone Concept","","","","","","Man/Gap Concept","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %","FP/G","FP","XFP","XFP/G"
"49","Bhayshul Tuten","JAX","RB","10","2025","60","238","23.8","3.97","3","0","17","1.7","15","6.3","20.0","5.0","65.0","31.7","11","0.18","157","2.62","66.0","1.35","41","68.3","170","2","4.15","63.4","19","31.7","68","1","3.58","68.4","6.2","61.9","56.9","5.7"
"50","Bucky Irving","TB","RB","4","2025","71","237","59.3","3.34","0","1","7","2.8","31","13.1","0.0","","36.6","56.3","10","0.14","137","1.93","57.8","1.41","19","26.8","55","0","2.89","26.3","50","70.4","172","0","3.44","42.0","18.3","73.0","67.2","16.8"
"51","Sean Tucker","TB","RB","10","2025","51","235","23.5","4.61","4","1","14","5.9","76","32.3","33.3","7.8","45.1","51.0","7","0.14","94","1.84","40.0","2.76","18","35.3","60","0","3.33","27.8","33","64.7","175","4","5.30","54.5","6.4","63.5","52.5","5.2"
"52","Emanuel Wilson","GB","RB","10","2025","53","220","22.0","4.15","1","0","11","1.9","15","6.8","6.3","1.9","52.8","41.5","2","0.04","107","2.02","48.6","2.13","33","62.3","150","0","4.55","60.6","18","34.0","72","1","4.00","44.4","4.8","47.9","53.2","5.3"
"53","Samaje Perine","CIN","RB","9","2025","32","198","22.0","6.19","1","1","15","6.3","53","26.8","0.0","3.1","65.6","18.8","7","0.22","88","2.75","44.4","3.44","20","62.5","120","1","6.00","70.0","12","37.5","78","0","6.50","58.3","3.9","34.8","29.5","3.3"
"54","Kendre Miller","NO","RB","7","2025","47","193","27.6","4.11","1","0","9","2.1","18","9.3","0.0","2.1","44.7","53.2","14","0.30","102","2.17","52.8","1.94","29","61.7","127","0","4.38","55.2","16","34.0","62","1","3.88","25.0","4.8","33.3","33.2","4.7"
"55","Devin Singletary","NYG","RB","11","2025","60","191","17.4","3.18","2","0","13","","0","","27.3","3.3","43.3","45.0","6","0.10","121","2.02","63.4","1.17","37","61.7","110","1","2.97","40.5","23","38.3","81","1","3.52","47.8","4.5","49.3","59.1","5.4"
"56","Bam Knight","ARZ","RB","8","2025","53","181","22.6","3.42","3","0","15","1.9","17","9.4","38.5","5.7","54.7","47.2","5","0.09","90","1.70","49.7","1.72","13","24.5","50","0","3.85","69.2","40","75.5","131","3","3.28","50.0","7.1","56.7","73.1","9.1"
"57","Jeremy McNichols","WAS","RB","11","2025","26","181","16.5","6.96","1","0","10","7.7","79","43.6","6.7","3.8","53.8","34.6","6","0.23","118","4.54","65.2","2.42","16","61.5","128","1","8.00","50.0","10","38.5","53","0","5.30","60.0","4.9","54.0","43.8","4.0"
"58","Tank Bigsby","JAX, PHI","RB","9","2025","22","168","18.7","7.64","0","0","8","18.2","81","48.2","0.0","","54.5","27.3","8","0.36","83","3.77","49.4","3.86","8","36.4","26","0","3.25","25.0","14","63.6","142","0","10.14","71.4","2.0","17.7","12.3","1.4"
"59","Ollie Gordon","MIA","RB","11","2025","50","164","14.9","3.28","2","0","17","4.0","36","22.0","50.0","4.0","50.0","50.0","4","0.08","100","2.00","61.0","1.28","20","40.0","63","1","3.15","55.0","30","60.0","101","1","3.37","46.7","3.9","43.4","49.8","4.5"
"60","Trey Benson","ARZ","RB","4","2025","29","160","40.0","5.52","0","0","4","6.9","81","50.6","20.0","","34.5","58.6","8","0.28","94","3.24","58.8","2.28","10","34.5","21","0","2.10","30.0","19","65.5","139","0","7.32","36.8","8.9","35.4","36.7","9.2"
"61","Tyjae Spears","TEN","RB","6","2025","34","155","25.8","4.56","1","0","6","2.9","41","26.5","20.0","2.9","38.2","50.0","4","0.12","78","2.29","50.3","2.26","16","47.1","69","1","4.31","56.3","17","50.0","85","0","5.00","23.5","8.7","52.2","45.5","7.6"
"62","Isaiah Davis","NYJ","RB","10","2025","22","130","13.0","5.91","0","0","3","9.1","65","50.0","0.0","","27.3","40.9","6","0.27","98","4.45","75.4","1.45","13","59.1","81","0","6.23","23.1","9","40.9","49","0","5.44","33.3","4.2","41.8","43.8","4.4"
"63","Keaton Mitchell","BLT","RB","6","2025","21","124","20.7","5.90","0","1","6","9.5","47","37.9","0.0","","52.4","42.9","1","0.05","32","1.52","25.8","4.38","10","47.6","43","0","4.30","20.0","9","42.9","74","0","8.22","77.8","3.3","19.9","20.1","3.3"
"64","Miles Sanders","DAL","RB","4","2025","20","117","29.3","5.85","1","1","5","5.0","49","41.9","12.5","5.0","50.0","40.0","3","0.15","60","3.00","51.3","2.85","10","50.0","32","0","3.20","40.0","10","50.0","85","1","8.50","60.0","6.9","27.7","24.7","6.2"
"65","Michael Carter","ARZ","RB","6","2025","40","107","17.8","2.68","1","0","6","","0","","12.5","2.5","42.5","52.5","2","0.05","50","1.25","46.7","1.43","11","27.5","25","0","2.27","36.4","29","72.5","82","1","2.83","44.8","6.8","40.6","54.6","9.1"
"66","Antonio Gibson","NE","RB","5","2025","25","106","21.2","4.24","1","1","6","8.0","36","34.0","28.6","4.0","44.0","56.0","1","0.04","64","2.56","60.4","1.68","11","44.0","27","0","2.45","27.3","11","44.0","53","1","4.82","54.5","3.6","18.2","19.9","4.0"
"67","James Conner","ARZ","RB","3","2025","32","95","31.7","2.97","1","1","7","","0","","60.0","3.1","43.8","53.1","6","0.19","58","1.81","61.1","1.16","4","12.5","13","0","3.25","25.0","27","84.4","81","1","3.00","44.4","11.1","33.3","39.0","13.0"
"68","Trevor Etienne","CAR","RB","11","2025","20","94","8.5","4.70","0","0","6","5.0","22","23.4","9.1","","50.0","50.0","4","0.20","49","2.45","52.1","2.25","8","40.0","58","0","7.25","75.0","11","55.0","34","0","3.09","36.4","1.1","12.3","16.6","1.5"
"69","Justice Hill","BLT","RB","9","2025","18","93","10.3","5.17","2","1","4","5.6","71","76.3","5.9","11.1","33.3","55.6","1","0.06","26","1.44","28.0","3.72","10","55.6","83","1","8.30","20.0","8","44.4","10","1","1.25","50.0","7.2","65.2","53.1","5.9"
"70","Raheem Mostert","LV","RB","7","2025","19","90","12.9","4.74","0","0","5","5.3","37","41.1","0.0","","42.1","47.4","1","0.05","75","3.95","83.3","0.79","15","78.9","89","0","5.93","46.7","4","21.1","1","0","0.25","25.0","2.8","19.5","19.3","2.8"
"71","Ty Johnson","BUF","RB","10","2025","19","83","8.3","4.37","1","0","3","5.3","17","20.5","4.2","5.3","47.4","47.4","1","0.05","52","2.74","62.7","1.63","15","78.9","53","1","3.53","46.7","3","15.8","13","0","4.33","33.3","4.0","39.9","32.9","3.3"
"72","Brashard Smith","KC","RB","10","2025","28","82","8.2","2.93","0","1","2","","0","","7.1","","39.3","53.6","1","0.04","40","1.43","48.8","1.50","22","78.6","55","0","2.50","27.3","3","10.7","11","0","3.67","66.7","3.7","37.2","53.1","5.3"
"73","Braelon Allen","NYJ","RB","4","2025","18","76","19.0","4.22","1","1","4","5.6","15","19.7","0.0","5.6","50.0","44.4","0","","37","2.06","48.7","2.17","13","72.2","45","1","3.46","46.2","5","27.8","31","0","6.20","60.0","4.1","16.3","17.4","4.3"
"74","Jerome Ford","CLV","RB","10","2025","23","76","7.6","3.30","0","0","5","","0","","20.0","","47.8","60.9","1","0.04","49","2.13","64.5","1.17","11","47.8","29","0","2.64","36.4","12","52.2","47","0","3.92","58.3","3.6","36.2","55.8","5.6"
"75","Jaret Patterson","LAC","RB","3","2025","21","75","25.0","3.57","0","0","3","","0","","0.0","","52.4","47.6","2","0.10","42","2.00","56.0","1.57","10","47.6","29","0","2.90","50.0","11","52.4","46","0","4.18","54.5","2.5","7.5","11.6","3.9"
"76","George Holani","SEA","RB","10","2025","22","73","7.3","3.32","1","1","5","","0","","0.0","4.5","50.0","36.4","6","0.27","54","2.45","74.0","0.86","14","63.6","47","1","3.36","42.9","8","36.4","26","0","3.25","62.5","1.6","15.8","12.6","1.3"
"77","Terrell Jennings","NE","RB","4","2025","22","73","18.3","3.32","1","0","8","","0","","14.3","4.5","45.5","54.5","1","0.05","41","1.86","56.2","1.45","3","13.6","8","0","2.67","33.3","19","86.4","65","1","3.42","47.4","3.8","15.2","13.0","3.3"
"78","Zavier Scott","MIN","RB","6","2025","21","69","11.5","3.29","0","2","3","","0","","14.3","","47.6","47.6","1","0.05","40","1.90","58.0","1.38","15","71.4","32","0","2.13","33.3","4","19.0","25","0","6.25","100.0","4.9","29.2","33.6","5.6"
"79","LeQuint Allen","JAX","RB","10","2025","13","68","6.8","5.23","0","0","5","","0","","0.0","","53.8","30.8","2","0.15","22","1.69","32.4","3.54","9","69.2","51","0","5.67","66.7","4","30.8","17","0","4.25","25.0","1.8","17.9","22.3","2.2"
"80","DJ Giddens","IND","RB","7","2025","18","66","9.4","3.67","0","0","3","","0","","4.5","","38.9","55.6","0","","46","2.56","69.7","1.11","9","50.0","34","0","3.78","55.6","9","50.0","32","0","3.56","22.2","0.9","6.6","15.1","2.2"
"81","Dylan Sampson","CLV","RB","10","2025","31","66","6.6","2.13","0","0","6","3.2","19","28.8","0.0","","29.0","61.3","6","0.19","72","2.32","109.1","-0.19","17","54.8","53","0","3.12","41.2","13","41.9","20","0","1.54","15.4","4.7","47.2","50.7","5.1"
"82","Jaydon Blue","DAL","RB","4","2025","22","65","16.3","2.95","0","1","3","","0","","0.0","","36.4","68.2","3","0.14","42","1.91","64.6","1.05","15","68.2","52","0","3.47","33.3","7","31.8","13","0","1.86","42.9","2.0","8.0","12.7","3.2"
"83","Najee Harris","LAC","RB","3","2025","15","61","20.3","4.07","0","0","3","","0","","0.0","","86.7","13.3","1","0.07","50","3.33","82.0","0.73","7","46.7","25","0","3.57","85.7","8","53.3","36","0","4.50","87.5","3.9","11.6","13.7","4.6"
"84","Nate Carter","ATL","RB","3","2025","9","60","20.0","6.67","0","1","3","","0","","0.0","","55.6","33.3","1","0.11","21","2.33","35.0","4.33","7","77.8","44","0","6.29","57.1","2","22.2","16","0","8.00","50.0","1.7","5.0","3.9","1.3"
"85","AJ Dillon","PHI","RB","6","2025","12","60","10.0","5.00","0","0","4","","0","","0.0","","50.0","33.3","2","0.17","35","2.92","58.3","2.08","4","33.3","19","0","4.75","50.0","7","58.3","35","0","5.00","42.9","1.5","8.8","9.6","1.6"
"86","Kaleb Johnson","PIT","RB","7","2025","22","58","8.3","2.64","0","0","2","","0","","0.0","","27.3","63.6","2","0.09","44","2.00","75.9","0.64","15","68.2","41","0","2.73","33.3","7","31.8","17","0","2.43","14.3","1.1","7.7","14.3","2.0"
"87","Jaylen Wright","MIA","RB","4","2025","15","49","12.3","3.27","0","0","2","6.7","18","36.7","0.0","","46.7","46.7","3","0.20","50","3.33","102.0","-0.07","7","46.7","9","0","1.29","28.6","8","53.3","40","0","5.00","62.5","1.5","5.9","8.9","2.2"
"88","Will Shipley","PHI","RB","8","2025","11","45","5.6","4.09","0","0","4","9.1","20","44.4","0.0","","36.4","45.5","0","","18","1.64","40.0","2.45","6","54.5","25","0","4.17","50.0","4","36.4","0","0","","","1.4","11.3","11.9","1.5"
"89","Ray Davis","BUF","RB","10","2025","24","44","4.4","1.83","0","0","2","","0","","8.3","","33.3","58.3","0","","35","1.46","79.5","0.38","11","45.8","8","0","0.73","18.2","13","54.2","36","0","2.77","46.2","1.6","16.2","26.8","2.7"
"90","Austin Ekeler","WAS","RB","2","2025","14","43","21.5","3.07","0","0","3","","0","","0.0","","57.1","28.6","1","0.07","24","1.71","55.8","1.36","6","42.9","17","0","2.83","66.7","8","57.1","26","0","3.25","50.0","6.6","13.1","18.5","9.3"
"91","Devin Neal","NO","RB","5","2025","10","43","8.6","4.30","0","0","1","","0","","0.0","","60.0","30.0","0","","15","1.50","34.9","2.80","8","80.0","41","0","5.13","75.0","2","20.0","2","0","1.00","","2.7","13.4","18.7","3.7"
