"Player Details","","","","","","Overall","","","","","","Slant","","","","","","","Out","","","","","","","In/Dig","","","","","","","Hitch","","","","","","","Comeback","","","","","","","Corner","","","","","","","Post","","","","","","","Go","","","","","","Crossers","","","","","","","Screens","","","","","","","Flat","","","","","","","Backfield","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","TGT","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","WIN RATE","ADOR","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE"
"335","Jack Stoll","NO","TE","9","2025","25","-0.120","1.08","0.23","0.0","6","","0.0","","","","","0.0","2","8.0","0.000","4.00","0.50","4.5","0.0","1","4.0","0.000","","","11.0","0.0","4","16.0","0.000","","","7.3","0.0","","0.0","","","","0.0","","2","8.0","0.000","","","4.5","0.0","","0.0","","","","","0.0","","0.0","","","","0.0","4","16.0","-0.750","2.60","0.40","2.8","0.0","","0.0","","","","","0.0","5","20.0","0.000","1.40","0.40","","0.0","7","28.0","0.000","","0.14","-0.3","0.0"
"336","Malachi Corley","CLV","WR","6","2025","25","-0.080","1.04","0.20","4.0","5","","0.0","","","","","0.0","3","12.0","0.000","","","6.3","0.0","","0.0","","","","","0.0","4","16.0","-0.250","","","10.8","0.0","","0.0","","","","0.0","","2","8.0","0.000","","","6.5","0.0","1","4.0","0.000","","","10.0","0.0","1","4.0","-2.000","","","0.0","6","24.0","0.167","","0.33","-1.3","16.7","4","16.0","0.000","6.50","0.75","-2.8","0.0","4","16.0","0.000","","","","0.0","","0.0","","","","","0.0"
"337","Lucas Krull","DEN","TE","3","2025","25","0.000","0.58","0.15","0.0","4","2","8.0","0.000","","","0.5","0.0","2","8.0","0.000","","0.50","9.5","0.0","","0.0","","","","","0.0","6","24.0","0.000","2.14","0.43","5.2","0.0","","0.0","","","","0.0","","3","12.0","0.000","","","6.7","0.0","1","4.0","0.000","","","10.0","0.0","2","8.0","0.000","","","0.0","5","20.0","0.000","","","6.6","0.0","","0.0","","","","","0.0","4","16.0","0.000","","","","0.0","","0.0","","","","","0.0"
"338","Treylon Burks","WAS","WR","2","2025","25","0.000","2.77","0.15","12.0","4","","0.0","","","","","0.0","2","8.0","0.000","","","15.0","0.0","8","32.0","-0.125","","","12.0","0.0","4","16.0","0.500","4.20","0.40","9.5","50.0","","0.0","","","","0.0","","2","8.0","0.000","","","13.5","0.0","1","4.0","0.000","","","15.0","0.0","7","28.0","0.000","7.29","0.29","14.3","1","4.0","-1.000","","","4.0","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0"
"339","Kendre Miller","NO","RB","7","2025","24","0.000","1.25","0.21","0.0","5","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","0.0","","","0.0","","","","","0.0","","0.0","","","","","0.0","1","4.2","0.000","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","2","8.3","0.000","1.00","0.50","","0.0","21","87.5","0.000","1.33","0.19","-3.9","0.0"
"340","Austin Trammell","JAX","WR","3","2025","24","0.250","1.92","0.21","16.7","5","","0.0","","","","","0.0","5","20.8","0.200","","","13.4","20.0","","0.0","","","","","0.0","4","16.7","0.000","7.00","0.50","12.5","0.0","1","4.2","0.000","","","0.0","17.0","3","12.5","-0.333","","0.33","9.7","0.0","1","4.2","0.000","","","15.0","0.0","3","12.5","1.667","6.00","0.33","66.7","3","12.5","0.333","","0.33","9.0","33.3","","0.0","","","","","0.0","4","16.7","0.000","","","","0.0","","0.0","","","","","0.0"
"341","Quintin Morris","JAX","TE","6","2025","24","-0.042","0.44","0.08","0.0","2","2","8.3","0.000","","","1.0","0.0","","0.0","","","","","0.0","1","4.2","0.000","","","5.0","0.0","6","25.0","0.000","1.83","0.17","7.3","0.0","","0.0","","","","0.0","","3","12.5","-0.333","","","8.0","0.0","3","12.5","0.000","","","8.3","0.0","3","12.5","0.000","","0.25","0.0","3","12.5","0.000","","","3.0","0.0","","0.0","","","","","0.0","3","12.5","0.000","","","","0.0","","0.0","","","","","0.0"
"342","Cody White","SEA","WR","4","2025","24","0.083","2.31","0.08","8.3","2","10","41.7","0.100","","0.09","3.6","10.0","1","4.2","0.000","","","6.0","0.0","1","4.2","0.000","","","14.0","0.0","1","4.2","0.000","","","5.0","0.0","","0.0","","","","0.0","","3","12.5","0.000","15.00","0.25","12.7","0.0","4","16.7","0.250","","","11.3","25.0","1","4.2","0.000","","","0.0","2","8.3","0.000","","","5.0","0.0","","0.0","","","","","0.0","1","4.2","0.000","","","","0.0","","0.0","","","","","0.0"
"343","Anthony Gould","IND","WR","8","2025","24","-0.083","0.13","0.04","0.0","1","1","4.2","-1.000","","","3.0","0.0","3","12.5","0.000","","","4.0","0.0","3","12.5","0.000","","","10.0","0.0","5","20.8","-0.200","0.60","0.20","4.6","0.0","","0.0","","","","0.0","","1","4.2","0.000","","","15.0","0.0","","0.0","","","","","0.0","5","20.8","0.000","","","0.0","4","16.7","0.000","","","14.0","0.0","1","4.2","0.000","","","-4.0","0.0","1","4.2","0.000","","","","0.0","","0.0","","","","","0.0"
"344","Robert Tonyan","KC","TE","10","2025","23","-0.043","0.04","0.04","0.0","1","","0.0","","","","","0.0","2","8.7","0.000","","","8.0","0.0","2","8.7","0.000","","","9.0","0.0","4","17.4","0.000","","","6.5","0.0","","0.0","","","","0.0","","3","13.0","-0.333","","","6.3","0.0","1","4.3","0.000","","","8.0","0.0","1","4.3","0.000","","","0.0","4","17.4","0.000","0.25","0.25","6.0","0.0","1","4.3","0.000","","","-2.0","0.0","5","21.7","0.000","","","","0.0","","0.0","","","","","0.0"
"345","Miles Sanders","DAL","RB","4","2025","23","0.000","1.30","0.35","0.0","8","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","0.0","","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","23","100.0","0.000","1.30","0.35","-2.2","0.0"
"346","Albert Okwuegbunam","LV","TE","1","2025","22","0.045","1.57","0.26","9.1","6","1","4.5","0.000","","","3.0","0.0","1","4.5","0.000","5.00","1.00","9.0","0.0","1","4.5","0.000","","","12.0","0.0","6","27.3","0.000","2.67","0.17","6.0","0.0","","0.0","","","","0.0","","1","4.5","0.000","","","12.0","0.0","","0.0","","","","","0.0","4","18.2","-0.250","","","0.0","3","13.6","0.333","","0.33","7.7","33.3","1","4.5","0.000","5.00","1.00","-5.0","0.0","4","18.2","0.250","2.50","0.50","","25.0","","0.0","","","","","0.0"
"347","Zamir White","LV","RB","3","2025","22","0.000","0.86","0.23","0.0","5","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","0.0","","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","22","100.0","0.000","0.86","0.23","-4.0","0.0"
"348","Gunner Olszewski","NYG","WR","11","2025","22","0.091","1.09","0.14","18.2","3","2","9.1","0.000","","","3.0","0.0","2","9.1","-0.500","","","5.0","0.0","3","13.6","-0.333","","","7.7","0.0","3","13.6","-0.333","","0.33","12.7","0.0","","0.0","","","","0.0","","2","9.1","0.000","12.00","0.50","12.5","0.0","2","9.1","0.500","","","12.0","50.0","8","36.4","0.500","","0.13","37.5","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0"
"349","Isaiah Hodgins","NYG","WR","1","2025","22","0.045","2.38","0.25","9.1","6","5","22.7","0.000","1.60","0.20","4.4","0.0","1","4.5","0.000","4.00","1.00","5.0","0.0","8","36.4","0.125","5.00","0.33","11.1","25.0","3","13.6","0.000","","","7.3","0.0","","0.0","","","","0.0","","","0.0","","","","","0.0","3","13.6","0.000","","0.33","8.0","0.0","","0.0","","","","0.0","2","9.1","0.000","","","3.5","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0"
"350","Ray Davis","BUF","RB","10","2025","21","-0.048","0.82","0.32","0.0","7","","0.0","","","","","0.0","1","4.8","0.000","","","5.0","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","0.0","","1","4.8","0.000","","","11.0","0.0","","0.0","","","","","0.0","2","9.5","0.000","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","17","81.0","-0.059","1.00","0.39","-2.1","0.0"
"351","Ryan Miller","TB","WR","10","2025","20","0.100","1.62","0.19","15.0","4","2","10.0","0.000","","0.33","7.0","0.0","1","5.0","-1.000","","","14.0","0.0","","0.0","","","","","0.0","5","25.0","0.000","2.80","0.20","8.6","0.0","","0.0","","","","0.0","","2","10.0","0.500","","0.50","11.0","50.0","6","30.0","0.500","3.33","0.17","9.5","33.3","","0.0","","","","0.0","3","15.0","-0.333","","","15.0","0.0","","0.0","","","","","0.0","1","5.0","0.000","","","","0.0","","0.0","","","","","0.0"
"352","Simi Fehoko","ARZ","WR","7","2025","20","-0.100","","","0.0","0","","0.0","","","","","0.0","2","10.0","0.000","","","7.5","0.0","3","15.0","0.000","","","7.3","0.0","2","10.0","0.000","","","5.0","0.0","","0.0","","","","0.0","","","0.0","","","","","0.0","4","20.0","-0.250","","","10.5","0.0","7","35.0","-0.143","","","0.0","1","5.0","0.000","","","14.0","0.0","","0.0","","","","","0.0","1","5.0","0.000","","","","0.0","","0.0","","","","","0.0"
"353","Darius Cooper","PHI","WR","6","2025","20","0.000","","","5.0","0","","0.0","","","","","0.0","2","10.0","0.000","","","17.0","0.0","","0.0","","","","","0.0","5","25.0","0.400","","","11.0","20.0","","0.0","","","","0.0","","3","15.0","-0.333","","","15.0","0.0","3","15.0","0.000","","","11.7","0.0","4","20.0","-0.250","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","3","15.0","0.000","","","","0.0","","0.0","","","","","0.0"
"354","Ameer Abdullah","IND","RB","6","2025","19","0.000","1.58","0.26","0.0","5","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","0.0","","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","0.0","","0.0","","","","","0.0","2","10.5","0.000","1.50","0.50","-6.5","0.0","","0.0","","","","","0.0","17","89.5","0.000","1.59","0.24","-0.8","0.0"
"355","Devontez Walker","BLT","WR","5","2025","19","0.053","3.16","0.16","15.8","3","","0.0","","","","","0.0","","0.0","","","","","0.0","1","5.3","0.000","","","13.0","0.0","2","10.5","0.000","","","15.5","0.0","","0.0","","","","0.0","","5","26.3","0.400","11.60","0.40","18.6","40.0","4","21.1","-0.250","","","13.0","0.0","3","15.8","0.000","","","0.0","4","21.1","0.000","0.50","0.25","9.8","25.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0"
"356","Russell Gage","SF","WR","1","2025","19","0.053","","","10.5","0","1","5.3","0.000","","","9.0","0.0","1","5.3","0.000","","","8.0","0.0","1","5.3","0.000","","","12.0","0.0","","0.0","","","","","0.0","","0.0","","","","0.0","","2","10.5","0.000","","","11.5","0.0","2","10.5","0.500","","","7.5","50.0","7","36.8","-0.143","","","0.0","4","21.1","0.250","","","6.3","25.0","","0.0","","","","","0.0","1","5.3","0.000","","","","0.0","","0.0","","","","","0.0"
"357","Cade Stover","HST","TE","2","2025","19","-0.053","1.16","0.21","0.0","4","","0.0","","","","","0.0","4","21.1","0.000","1.75","0.50","4.5","0.0","2","10.5","0.000","","","6.0","0.0","6","31.6","-0.167","","","6.7","0.0","","0.0","","","","0.0","","1","5.3","0.000","5.00","1.00","14.0","0.0","","0.0","","","","","0.0","1","5.3","0.000","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","5","26.3","0.000","2.00","0.20","","0.0","","0.0","","","","","0.0"
"358","Taysom Hill","NO","TE","6","2025","19","-0.053","0.95","0.21","0.0","4","1","5.3","0.000","","","2.0","0.0","","0.0","","","","","0.0","2","10.5","0.000","","","4.5","0.0","8","42.1","-0.125","0.88","0.13","6.0","0.0","","0.0","","","","0.0","","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","0.0","1","5.3","0.000","5.00","1.00","3.0","0.0","","0.0","","","","","0.0","4","21.1","0.000","1.50","0.25","","0.0","3","15.8","0.000","","0.33","1.7","0.0"
"359","Eric Saubert","SEA","TE","7","2025","18","0.000","0.63","0.05","0.0","1","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","3","16.7","0.000","","","5.3","0.0","","0.0","","","","0.0","","3","16.7","0.000","","","7.3","0.0","1","5.6","0.000","","","13.0","0.0","3","16.7","0.000","","","0.0","5","27.8","0.000","","","-2.0","0.0","","0.0","","","","","0.0","2","11.1","0.000","4.00","0.33","","0.0","1","5.6","0.000","","","3.0","0.0"
"360","C.J. Ham","MIN","FB","4","2025","18","0.056","0.28","0.06","5.6","1","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","0.0","","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","0.0","1","5.6","0.000","","","-6.0","0.0","","0.0","","","","","0.0","1","5.6","0.000","","","","0.0","16","88.9","0.063","0.31","0.06","-1.9","6.3"
"361","Cedrick Wilson","MIA","WR","4","2025","17","-0.118","0.50","0.11","0.0","2","2","11.8","-0.500","3.50","0.50","1.0","0.0","1","5.9","0.000","","","10.0","0.0","4","23.5","0.000","","","12.3","0.0","3","17.6","0.000","","","12.0","0.0","","0.0","","","","0.0","","1","5.9","0.000","","","17.0","0.0","","0.0","","","","","0.0","2","11.8","-0.500","","","0.0","3","17.6","0.000","0.67","0.33","3.3","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","1","5.9","0.000","","","4.0","0.0"
"362","Derius Davis","LAC","WR","8","2025","17","-0.176","0.17","0.11","0.0","2","1","5.9","0.000","","","4.0","0.0","1","5.9","0.000","","","1.0","0.0","1","5.9","0.000","","","14.0","0.0","","0.0","","","","","0.0","","0.0","","","","0.0","","1","5.9","-1.000","","","17.0","0.0","","0.0","","","","","0.0","5","29.4","-0.200","","0.20","0.0","5","29.4","-0.200","0.60","0.20","-1.0","0.0","1","5.9","0.000","","","-9.0","0.0","1","5.9","0.000","","","","0.0","1","5.9","0.000","","","","0.0"
"363","Jake Bobo","SEA","WR","6","2025","16","-0.063","1.25","0.13","0.0","2","3","18.8","0.000","","","4.3","0.0","1","6.3","0.000","","","18.0","0.0","3","18.8","0.000","","","7.7","0.0","1","6.3","0.000","3.00","1.00","1.0","0.0","1","6.3","-1.000","","","0.0","15.0","1","6.3","0.000","","","16.0","0.0","2","12.5","0.000","8.50","0.50","12.5","0.0","3","18.8","0.000","","","0.0","1","6.3","0.000","","","8.0","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0"
"364","Mason Tipton","NO","WR","8","2025","16","0.125","","0.12","12.5","2","","0.0","","","","","0.0","1","6.3","0.000","","","16.0","0.0","","0.0","","","","","0.0","1","6.3","0.000","","","4.0","0.0","1","6.3","0.000","","","0.0","14.0","1","6.3","0.000","","","10.0","0.0","4","25.0","0.500","","0.25","12.5","50.0","7","43.8","0.000","","0.14","0.0","1","6.3","0.000","","","11.0","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0"
"365","Braelon Allen","NYJ","RB","4","2025","16","0.063","1.06","0.19","6.3","3","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","0.0","","","0.0","","","","","0.0","","0.0","","","","","0.0","1","6.3","0.000","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","15","93.8","0.067","1.13","0.20","-1.1","6.7"
"366","Tyler Goodson","IND","RB","5","2025","16","0.000","0.50","0.19","0.0","3","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","2","12.5","0.000","","","2.0","0.0","","0.0","","","","0.0","","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","0.0","","0.0","","","","","0.0","1","6.3","0.000","","","-6.0","0.0","","0.0","","","","","0.0","13","81.3","0.000","0.62","0.23","-3.0","0.0"
"367","Adam Prentice","DEN","FB","11","2025","16","0.000","1.82","0.24","0.0","4","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","3","18.8","0.000","","","5.0","0.0","","0.0","","","","0.0","","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","0.0","1","6.3","0.000","13.00","1.00","-3.0","0.0","","0.0","","","","","0.0","1","6.3","0.000","","1.00","","0.0","11","68.8","0.000","1.50","0.17","1.4","0.0"
"368","Bo Melton","GB","WR","2","2025","16","0.063","1.75","0.31","12.5","5","","0.0","","","","","0.0","1","6.3","1.000","","1.00","15.0","100.0","1","6.3","0.000","18.00","1.00","17.0","0.0","4","25.0","0.000","2.50","0.50","8.5","0.0","3","18.8","0.333","","","33.3","15.3","1","6.3","0.000","","","15.0","0.0","2","12.5","0.000","","","11.0","0.0","2","12.5","-0.500","","","0.0","2","12.5","0.000","","0.50","22.5","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0"
"369","AJ Dillon","PHI","RB","6","2025","15","0.000","1.20","0.13","0.0","2","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","0.0","","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","0.0","1","6.7","0.000","","","-3.0","0.0","1","6.7","0.000","","","-7.0","0.0","","0.0","","","","","0.0","13","86.7","0.000","1.38","0.15","-2.1","0.0"
"370","Najee Harris","LAC","RB","3","2025","15","0.000","1.67","0.20","0.0","3","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","0.0","","","0.0","","","","","0.0","","0.0","","","","","0.0","1","6.7","0.000","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","14","93.3","0.000","1.79","0.21","0.7","0.0"
"371","Robbie Ouzts","SEA","FB","6","2025","15","0.000","","","0.0","0","","0.0","","","","","0.0","","0.0","","","","","0.0","1","6.7","0.000","","","12.0","0.0","1","6.7","0.000","","","2.0","0.0","2","13.3","0.000","","","0.0","15.0","","0.0","","","","","0.0","","0.0","","","","","0.0","3","20.0","0.000","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","6","40.0","0.000","","","","0.0","2","13.3","0.000","","","1.5","0.0"
"372","Keaton Mitchell","BLT","RB","6","2025","15","0.000","2.33","0.33","0.0","5","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","0.0","","","0.0","","","","","0.0","","0.0","","","","","0.0","2","13.3","0.000","","","0.0","","0.0","","","","","0.0","1","6.7","0.000","","","-7.0","0.0","2","13.3","0.000","","","","0.0","10","66.7","0.000","3.50","0.50","-2.9","0.0"
"373","Jayden Reed","GB","WR","2","2025","14","-0.071","3.21","0.36","0.0","5","1","7.1","0.000","","","4.0","0.0","2","14.3","0.000","","","3.0","0.0","","0.0","","","","","0.0","1","7.1","0.000","","","4.0","0.0","","0.0","","","","0.0","","1","7.1","0.000","","","17.0","0.0","","0.0","","","","","0.0","6","42.9","-0.167","7.17","0.67","0.0","1","7.1","0.000","","","28.0","0.0","1","7.1","0.000","","","-5.0","0.0","","0.0","","","","","0.0","1","7.1","0.000","2.00","1.00","-7.0","0.0"
"374","Scott Matlock","LAC","FB","10","2025","14","0.071","0.21","0.14","7.1","2","2","14.3","0.000","","","1.0","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","1","7.1","0.000","","","2.0","0.0","","0.0","","","","0.0","","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","0.0","4","28.6","0.000","","","-18.0","0.0","","0.0","","","","","0.0","5","35.7","0.000","0.20","0.20","","0.0","2","14.3","0.500","1.00","0.50","1.0","50.0"
"375","Dylan Laube","LV","RB","10","2025","14","0.000","1.29","0.29","0.0","4","","0.0","","","","","0.0","1","7.1","0.000","","","4.0","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","0.0","","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","13","92.9","0.000","1.38","0.31","-1.0","0.0"
"376","Tahj Washington","MIA","WR","4","2025","14","-0.143","0.79","0.14","0.0","2","","0.0","","","","","0.0","1","7.1","-1.000","","","13.0","0.0","","0.0","","","","","0.0","1","7.1","0.000","11.00","1.00","5.0","0.0","1","7.1","0.000","","","0.0","14.0","","0.0","","","","","0.0","1","7.1","0.000","","","17.0","0.0","6","42.9","0.000","","0.17","0.0","4","28.6","-0.250","","","11.8","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0"
"377","Jared Wayne","HST","WR","1","2025","14","0.071","1.43","0.14","14.3","2","","0.0","","","","","0.0","1","7.1","0.000","3.00","1.00","4.0","0.0","5","35.7","0.400","","","13.8","40.0","","0.0","","","","","0.0","","0.0","","","","0.0","","1","7.1","0.000","","","16.0","0.0","1","7.1","0.000","17.00","1.00","10.0","0.0","4","28.6","-0.250","","","0.0","2","14.3","0.000","","","9.5","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0"
"378","Trevor Etienne","CAR","RB","11","2025","13","0.000","0.69","0.15","0.0","2","","0.0","","","","","0.0","","0.0","","","","","0.0","1","7.7","0.000","","","5.0","0.0","1","7.7","0.000","7.00","1.00","4.0","0.0","","0.0","","","","0.0","","","0.0","","","","","0.0","","0.0","","","","","0.0","1","7.7","0.000","","","0.0","2","15.4","0.000","","","2.5","0.0","4","30.8","0.000","0.50","0.25","-3.0","0.0","1","7.7","0.000","","","","0.0","3","23.1","0.000","","","-2.0","0.0"
"379","Tank Bigsby","PHI, JAX","RB","9","2025","13","0.000","-0.08","0.08","0.0","1","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","0.0","","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","13","100.0","0.000","-0.08","0.08","-5.2","0.0"
"380","Gabe Davis","BUF","WR","1","2025","13","0.077","2.86","0.29","15.4","4","2","15.4","0.000","3.50","1.00","1.5","50.0","","0.0","","","","","0.0","3","23.1","0.333","7.33","0.33","12.3","33.3","2","15.4","0.000","","","18.0","0.0","","0.0","","","","0.0","","","0.0","","","","","0.0","3","23.1","0.000","","","13.0","0.0","","0.0","","","","0.0","3","23.1","0.000","3.67","0.33","7.0","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0"
"381","Antonio Gibson","NE","RB","5","2025","13","0.000","0.43","0.21","0.0","3","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","1","7.7","0.000","","","6.0","0.0","","0.0","","","","0.0","","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","0.0","","0.0","","","","","0.0","1","7.7","0.000","","","-1.0","0.0","","0.0","","","","","0.0","11","84.6","0.000","0.50","0.25","-1.4","0.0"
"382","Josiah Deguara","ARZ","TE","5","2025","12","0.000","","","8.3","0","1","8.3","0.000","","","2.0","0.0","2","16.7","0.500","","","4.0","50.0","1","8.3","0.000","","","14.0","0.0","1","8.3","-1.000","","","6.0","0.0","","0.0","","","","0.0","","1","8.3","0.000","","","9.0","0.0","1","8.3","0.000","","","12.0","0.0","","0.0","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","5","41.7","0.000","","","","0.0","","0.0","","","","","0.0"
"383","Reggie Gilliam","BUF","FB","10","2025","12","0.000","","","0.0","0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","1","8.3","0.000","","","5.0","0.0","","0.0","","","","0.0","","","0.0","","","","","0.0","","0.0","","","","","0.0","5","41.7","0.000","","","0.0","4","33.3","0.000","","","-2.5","0.0","","0.0","","","","","0.0","1","8.3","0.000","","","","0.0","1","8.3","0.000","","","-5.0","0.0"
"384","Andre Baccellia","ARZ","WR","1","2025","12","0.000","0.42","0.08","8.3","1","","0.0","","","","","0.0","1","8.3","0.000","5.00","1.00","6.0","0.0","1","8.3","0.000","","","10.0","0.0","1","8.3","0.000","","","5.0","0.0","3","25.0","0.333","","","33.3","12.0","","0.0","","","","","0.0","3","25.0","0.000","","","15.7","0.0","2","16.7","-0.500","","","0.0","1","8.3","0.000","","","18.0","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0"
"385","Tay Martin","WAS","WR","3","2025","12","0.000","1.92","0.17","8.3","2","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","4","33.3","-0.250","2.25","0.25","7.5","0.0","1","8.3","1.000","14.00","1.00","100.0","15.0","","0.0","","","","","0.0","1","8.3","0.000","","","19.0","0.0","4","33.3","0.000","","","0.0","2","16.7","0.000","","","8.0","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0"
"386","Andrew Beck","NYJ","FB","10","2025","12","0.000","1.23","0.31","0.0","4","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","2","16.7","0.000","4.50","0.50","4.5","0.0","","0.0","","","","0.0","","","0.0","","","","","0.0","","0.0","","","","","0.0","2","16.7","0.000","","","0.0","2","16.7","0.000","3.00","1.00","-2.5","0.0","","0.0","","","","","0.0","1","8.3","0.000","","","","0.0","5","41.7","0.000","0.17","0.17","2.4","0.0"
"387","Thomas Fidone","NYG","TE","2","2025","11","-0.091","","","0.0","0","","0.0","","","","","0.0","1","9.1","0.000","","","10.0","0.0","1","9.1","0.000","","","10.0","0.0","1","9.1","0.000","","","10.0","0.0","","0.0","","","","0.0","","1","9.1","0.000","","","13.0","0.0","1","9.1","0.000","","","15.0","0.0","2","18.2","0.000","","","0.0","2","18.2","-0.500","","","7.0","0.0","1","9.1","0.000","","","-6.0","0.0","1","9.1","0.000","","","","0.0","","0.0","","","","","0.0"
"388","Ben Yurosek","MIN","TE","8","2025","11","0.000","0.42","0.17","0.0","2","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","5","45.5","0.000","","0.17","6.2","0.0","","0.0","","","","0.0","","1","9.1","0.000","","","5.0","0.0","","0.0","","","","","0.0","","0.0","","","","0.0","2","18.2","0.000","","","-1.5","0.0","","0.0","","","","","0.0","3","27.3","0.000","1.67","0.33","","0.0","","0.0","","","","","0.0"
