"Player Details","","","","","","Target Share","","","","","","","","","","","","","","","","","",""
"Rank","Name","Team","POS","G","Season","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18","TM TGT %"
"82","T.J. Hockenson","MIN","TE","10","2025","20.0","14.3","25.0","10.9","17.1","","21.4","9.7","12.0","4.8","18.8","","","","","","","","14.8"
"83","Xavier Legette","CAR","WR","9","2025","17.1","10.9","","","10.0","8.0","34.4","12.5","15.0","4.0","17.8","","","","","","","","14.8"
"84","Oronde Gadsden","LAC","TE","9","2025","","","14.9","7.3","3.0","21.1","14.5","20.0","17.2","18.2","19.2","","","","","","","","14.7"
"85","Michael Wilson","ARZ","WR","10","2025","13.8","8.0","5.7","12.2","12.5","11.4","11.1","","12.9","15.6","31.6","","","","","","","","14.7"
"86","Olamide Zaccheaus","CHI","WR","10","2025","20.0","12.1","14.3","13.5","","20.7","11.5","18.4","21.6","11.1","0.0","","","","","","","","14.5"
"87","Parker Washington","JAX","WR","10","2025","0.0","11.9","25.0","6.5","12.0","9.5","20.8","","26.5","17.4","9.1","","","","","","","","14.5"
"88","Josh Reynolds","NYJ","WR","5","2025","13.6","","","7.4","8.7","17.6","26.5","","","","","","","","","","","","14.4"
"89","Calvin Ridley","TEN","WR","7","2025","28.6","18.2","15.8","11.5","23.1","2.6","","","","","2.7","","","","","","","","14.2"
"90","Brenton Strange","JAX","TE","5","2025","12.9","11.9","17.5","22.6","4.0","","","","","","","","","","","","","","14.2"
"91","Malik Washington","MIA","WR","11","2025","16.1","6.3","11.8","12.0","13.9","15.2","22.6","18.5","7.5","14.3","15.0","","","","","","","","13.6"
"92","Gabe Davis","BUF","WR","1","2025","","","","","","","","","","","13.3","","","","","","","","13.3"
"93","Sterling Shepard","TB","WR","10","2025","18.8","10.5","17.2","10.0","15.2","13.0","14.0","8.3","","9.3","17.9","","","","","","","","13.2"
"94","Evan Engram","DEN","TE","10","2025","10.0","6.7","","16.7","12.8","20.0","14.0","13.8","8.1","17.9","13.2","","","","","","","","13.2"
"95","Christian Kirk","HST","WR","6","2025","","","18.4","14.3","12.9","","","","15.0","6.7","9.8","","","","","","","","12.6"
"96","Christian Watson","GB","WR","4","2025","","","","","","","","10.8","10.8","11.1","19.2","","","","","","","","12.5"
"97","Darius Slayton","NYG","WR","8","2025","2.7","4.9","12.5","19.0","15.0","","","20.8","21.2","11.1","","","","","","","","","12.5"
"98","Chig Okonkwo","TEN","TE","10","2025","14.3","18.2","15.8","11.5","10.3","15.8","5.9","13.2","9.5","","8.1","","","","","","","","12.3"
"99","AJ Barner","SEA","TE","10","2025","8.7","6.1","4.8","11.5","20.6","11.1","6.3","","16.7","0.0","22.7","","","","","","","","12.3"
"100","David Njoku","CLV","TE","9","2025","11.1","10.4","19.4","5.7","24.2","11.5","","14.3","","6.3","7.7","","","","","","","","12.3"
"101","Rashod Bateman","BLT","WR","9","2025","15.8","13.8","25.0","6.1","10.0","2.9","","18.2","17.4","6.9","","","","","","","","","12.2"
"102","Michael Mayer","LV","TE","8","2025","11.8","4.7","3.4","","","30.4","11.1","","17.9","14.8","9.5","","","","","","","","12.2"
"103","Josh Palmer","BUF","WR","7","2025","19.6","11.1","3.6","13.6","6.5","7.7","","","","","16.7","","","","","","","","11.9"
"104","Kendrick Bourne","SF","WR","10","2025","","7.7","14.6","10.5","22.4","23.1","7.7","12.5","8.3","2.6","0.0","","","","","","","","11.9"
"105","Mack Hollins","NE","WR","11","2025","4.3","8.7","10.8","5.6","0.0","11.5","8.3","29.2","6.9","32.3","14.7","","","","","","","","11.8"
"106","Dontayvion Wicks","GB","WR","8","2025","9.1","19.4","16.0","9.3","","7.7","6.9","","","16.7","7.7","","","","","","","","11.8"
"107","Jonnu Smith","PIT","TE","10","2025","20.0","11.4","13.0","9.1","","13.3","17.6","8.3","11.4","6.5","6.5","","","","","","","","11.7"
"108","Dyami Brown","JAX","WR","9","2025","12.9","16.7","7.5","","16.0","11.9","8.3","","20.6","4.3","4.5","","","","","","","","11.7"
"109","Cedric Tillman","CLV","WR","6","2025","17.8","12.5","8.3","2.9","","","","","","12.5","15.4","","","","","","","","11.7"
"110","Kayshon Boutte","NE","WR","9","2025","17.4","4.3","5.4","16.7","10.0","19.2","8.3","20.8","3.4","","","","","","","","","","11.7"
"111","Matthew Golden","GB","WR","9","2025","9.1","6.5","16.0","14.0","","19.2","13.8","8.1","8.1","","7.7","","","","","","","","11.2"
"112","Colston Loveland","CHI","TE","9","2025","5.7","3.0","10.7","","","10.3","15.4","13.2","18.9","11.1","12.5","","","","","","","","11.2"
"113","Hunter Renfrow","CAR","WR","6","2025","14.3","16.4","16.7","5.6","6.7","4.0","","","","","","","","","","","","","11.2"
"114","Ja'Tavion Sanders","CAR","TE","8","2025","8.6","16.4","8.3","","","","6.3","12.5","5.0","20.0","8.9","","","","","","","","11.2"
"115","Greg Dulcich","MIA","TE","4","2025","","","","","","","","0.0","12.5","14.3","20.0","","","","","","","","11.1"
"116","Jalen Nailor","MIN","WR","10","2025","5.0","23.8","20.8","8.7","11.4","","9.5","3.2","16.0","14.3","3.1","","","","","","","","11.0"
"117","Robbie Chosen","WAS","WR","3","2025","","","","","","","12.5","","","18.2","3.3","","","","","","","","10.7"
"118","Tyler Higbee","LA","TE","9","2025","0.0","12.1","5.9","12.2","","15.4","18.2","","12.5","8.3","7.1","","","","","","","","10.3"
"119","Tez Johnson","TB","WR","9","2025","3.1","","3.4","2.5","12.1","13.0","14.0","25.0","","11.6","10.7","","","","","","","","10.3"
"120","DeMario Douglas","NE","WR","11","2025","10.9","4.3","13.5","0.0","10.0","15.4","12.5","4.2","20.7","6.5","8.8","","","","","","","","10.2"
"121","Chimere Dike","TEN","WR","10","2025","3.6","15.2","10.5","0.0","12.8","5.3","11.8","21.1","9.5","","8.1","","","","","","","","10.2"
"122","Tory Horton","SEA","WR","8","2025","0.0","12.1","19.0","7.7","11.8","3.7","9.4","","16.7","","","","","","","","","","10.0"
"123","Jayden Higgins","HST","WR","10","2025","11.1","4.2","2.6","3.6","12.9","","6.1","20.5","2.5","15.6","17.1","","","","","","","","9.9"
"124","Marvin Mims","DEN","WR","9","2025","10.0","6.7","16.0","14.3","12.8","10.0","14.0","3.4","","","0.0","","","","","","","","9.9"
"125","Noah Brown","WAS","WR","2","2025","10.0","9.5","","","","","","","","","","","","","","","","","9.7"
"126","Van Jefferson","TEN","WR","10","2025","0.0","6.1","2.6","3.8","0.0","15.8","11.8","21.1","19.0","","16.2","","","","","","","","9.6"
"127","Darren Waller","MIA","TE","4","2025","","","","16.0","13.9","9.1","0.0","","","","","","","","","","","","9.6"
"128","Jalen Coker","CAR","WR","5","2025","","","","","","","6.3","16.7","5.0","12.0","8.9","","","","","","","","9.6"
"129","Noah Fant","CIN","TE","9","2025","21.7","8.9","18.5","","0.0","8.9","8.5","8.8","6.4","","12.5","","","","","","","","9.5"
"130","Jayden Reed","GB","WR","2","2025","22.7","0.0","","","","","","","","","","","","","","","","","9.4"
"131","Jaylin Lane","WAS","WR","11","2025","6.7","7.1","9.5","11.1","7.7","7.7","18.8","6.7","22.7","4.5","3.3","","","","","","","","9.4"
"132","Xavier Hutchinson","HST","WR","10","2025","7.4","12.5","7.9","10.7","9.7","","8.2","15.4","12.5","0.0","12.2","","","","","","","","9.4"
"133","Andrei Iosivas","CIN","WR","10","2025","0.0","11.1","0.0","4.0","17.5","8.9","8.5","8.8","14.9","","10.0","","","","","","","","9.4"
"134","Cole Kmet","CHI","TE","9","2025","11.4","6.1","3.6","21.6","","6.9","3.8","","5.4","5.6","15.6","","","","","","","","9.2"
"135","Pat Freiermuth","PIT","TE","10","2025","10.0","11.4","13.0","0.0","","3.3","17.6","11.1","8.6","9.7","3.2","","","","","","","","9.1"
"136","Treylon Burks","WAS","WR","2","2025","","","","","","","","","4.5","13.6","","","","","","","","","9.1"
