"Player Details","","","","","","Rushing","","","","","","","","","","","","","","","","","","","","","","Receiving","","","","","","","","","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","SCRM","YDS","TD","1+ %","3+ %","5+ %","10+ %","15+ %","20+ %","30+ %","i5","i5 %","i10","i10 %","i20","i20 %","TGT","TGT %","REC","YDS","TM YDS %","YPR","YPT","RecYDS/G","CR %","TD","TM TD %","i10","i20 TGT","FUM","WO","WO/G","FP/G","FP"
"76","Terrell Jennings","NE","RB","4","2025","22","73","18.3","3.32","1","0","0","0","0","86.4","45.5","18.2","9.1","","","","1","14.3","1","7.7","3","12.0","1","0.9","1","9","0.9","9.00","9.00","2.3","100.0","0","0.0","0","0","0","14.8","3.7","3.8","15.2"
"77","George Holani","SEA","RB","10","2025","22","73","7.3","3.32","1","1","0","0","0","81.8","59.1","36.4","","","","","0","0.0","1","3.2","5","7.7","2","0.7","2","15","0.6","7.50","7.50","1.5","100.0","0","0.0","0","0","0","18.0","1.8","1.6","15.8"
"78","Zavier Scott","MIN","RB","6","2025","21","69","11.5","3.29","0","2","0","0","0","76.2","52.4","33.3","9.5","","","","1","14.3","1","10.0","2","9.5","11","5.4","10","73","5.1","7.30","6.64","12.2","90.9","1","11.1","0","2","0","29.9","5.0","4.9","29.2"
"79","LeQuint Allen","JAX","RB","10","2025","13","68","6.8","5.23","0","0","0","0","0","100.0","69.2","38.5","15.4","","","","0","0.0","0","0.0","3","3.9","8","2.4","7","41","1.9","5.86","5.13","4.1","87.5","0","0.0","0","1","0","21.6","2.2","1.8","17.9"
"80","Dylan Sampson","CLV","RB","10","2025","31","66","6.6","2.13","0","0","0","0","0","71.0","45.2","12.9","3.2","3.2","","","0","0.0","1","4.3","3","7.7","24","6.7","21","136","7.6","6.48","5.67","13.6","87.5","1","11.1","1","5","0","57.3","5.7","4.7","47.2"
"81","DJ Giddens","IND","RB","7","2025","18","66","9.4","3.67","0","0","0","0","0","77.8","50.0","38.9","11.1","","","","1","4.5","1","2.8","2","3.6","2","0.9","0","0","0.0","","0.00","0.0","","0","0.0","1","1","0","14.3","2.0","0.9","6.6"
"82","Jaydon Blue","DAL","RB","4","2025","22","65","16.3","2.95","0","1","0","0","0","63.6","36.4","27.3","4.5","","","","0","0.0","0","0.0","1","5.0","1","0.8","1","5","0.5","5.00","5.00","1.3","100.0","0","0.0","0","0","0","13.1","3.3","2.0","8.0"
"83","Najee Harris","LAC","RB","3","2025","15","61","20.3","4.07","0","0","0","0","0","86.7","73.3","53.3","","","","","0","0.0","0","0.0","1","7.7","3","2.8","3","25","2.9","8.33","8.33","8.3","100.0","0","0.0","0","0","0","12.7","4.2","3.9","11.6"
"84","AJ Dillon","PHI","RB","6","2025","12","60","10.0","5.00","0","0","0","0","0","91.7","75.0","50.0","8.3","","","","0","0.0","0","0.0","2","5.9","2","1.2","2","18","1.5","9.00","9.00","3.0","100.0","0","0.0","0","0","1","10.6","1.8","1.5","8.8"
"85","Nate Carter","ATL","RB","3","2025","9","60","20.0","6.67","0","1","0","0","0","100.0","77.8","55.6","22.2","","","","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","4.4","1.5","1.7","5.0"
