"Player Details","","","","","","Rushing","","","","","","Receiving","","","","","","","","","","Total","","","","","Efficiency","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","TD","YACO","MTF","EXP","RTE","TGT","REC","YDS","TD","AY","YAC","YACO","MTF","EXP","TOUCH","YFS","TD","MTF","YACO","YPC","YACO/ATT","MTF/ATT","EXP RUN %","YPRR","YPT","YAC/REC","YACO/REC","MTF/REC","EXP REC %","YFS/TOUCH","MTF/TOUCH","YACO/TOUCH","EXP PLAY %","RuYDS/G","RecYDS/G","YFS/G","FP/G","FP","XFP","XFP/G","XFP %","XTD","XTD/G"
"67","Justin Jefferson","MIN","WR","10","2025","1","4","0","0","0","0","348","93","56","747","2","1073","301","126","6","11","57","751","2","6","126","4.00","","","","2.15","8.03","5.38","2.25","0.11","19.6","13.18","0.11","2.21","19.3","0.4","74.7","75.1","14.3","143.1","171.8","17.2","25.9","5.7","0.57"
"68","Keenan Allen","LAC","WR","11","2025","0","0","0","0","0","0","309","82","56","592","4","744","179","88","9","6","56","592","4","9","88","","","","","1.92","7.22","3.20","1.57","0.16","10.7","10.57","0.16","1.57","10.7","0.0","53.8","53.8","12.7","139.2","150.3","13.7","18.4","4.8","0.43"
"69","Ollie Gordon","MIA","RB","11","2025","50","164","2","100","4","2","41","8","6","30","1","-14","45","8","2","1","56","194","3","6","108","3.28","2.00","0.08","4.0","0.73","3.75","7.50","1.33","0.33","16.7","3.46","0.11","1.93","5.4","14.9","2.7","17.6","3.9","43.4","49.8","4.5","7.1","3.4","0.31"
"70","Michael Pittman","IND","WR","10","2025","0","0","0","0","0","0","306","68","54","580","6","617","202","77","5","4","54","580","6","5","77","","","","","1.90","8.53","3.74","1.43","0.09","7.4","10.74","0.09","1.43","7.4","0.0","58.0","58.0","15.0","150.0","111.8","11.2","15.3","2.5","0.25"
"71","Michael Carter","ARZ","RB","6","2025","40","107","1","50","2","0","80","18","14","99","0","48","94","33","6","0","54","206","1","8","83","2.68","1.25","0.05","","1.24","5.50","6.71","2.36","0.43","","3.81","0.15","1.54","","17.8","16.5","34.3","6.8","40.6","54.6","9.1","10.2","2.1","0.35"
"72","Ladd McConkey","LAC","WR","11","2025","0","0","0","0","0","0","381","83","54","644","4","761","262","53","10","6","54","644","4","10","53","","","","","1.69","7.76","4.85","0.98","0.19","11.1","11.93","0.19","0.98","11.1","0.0","58.5","58.5","12.9","142.4","148.1","13.5","18.1","3.8","0.34"
"73","Tetairoa McMillan","CAR","WR","11","2025","0","0","0","0","0","0","357","85","54","748","4","981","230","63","7","12","54","748","4","7","63","","","","","2.10","8.80","4.26","1.17","0.13","22.2","13.85","0.13","1.17","22.2","0.0","68.0","68.0","13.9","152.8","159.4","14.5","21.1","5.2","0.47"
"74","Tyler Warren","IND","TE","10","2025","4","6","1","3","0","0","289","64","50","617","3","370","386","105","6","10","54","623","4","6","108","1.50","0.75","","","2.13","9.64","7.72","2.10","0.12","20.0","11.54","0.11","2.00","18.5","0.6","61.7","62.3","13.6","136.3","116.6","11.7","15.9","3.5","0.35"
"75","Kendre Miller","NO","RB","7","2025","47","193","1","102","14","1","24","5","5","30","0","-6","36","18","3","0","52","223","1","17","120","4.11","2.17","0.30","2.1","1.25","6.00","7.20","3.60","0.60","","4.29","0.33","2.31","1.9","27.6","4.3","31.9","4.8","33.3","33.2","4.7","6.5","0.6","0.08"
"76","Dylan Sampson","CLV","RB","10","2025","31","66","0","72","6","1","83","24","21","136","1","-12","154","57","4","0","52","202","1","10","129","2.13","2.32","0.19","3.2","1.64","5.67","7.33","2.71","0.19","","3.88","0.19","2.48","1.9","6.6","13.6","20.2","4.7","47.2","50.7","5.1","7.0","0.9","0.09"
