"Player Details","","","","","","Rushing","","","","","","Receiving","","","","","","","","","","Total","","","","","Efficiency","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","TD","YACO","MTF","EXP","RTE","TGT","REC","YDS","TD","AY","YAC","YACO","MTF","EXP","TOUCH","YFS","TD","MTF","YACO","YPC","YACO/ATT","MTF/ATT","EXP RUN %","YPRR","YPT","YAC/REC","YACO/REC","MTF/REC","EXP REC %","YFS/TOUCH","MTF/TOUCH","YACO/TOUCH","EXP PLAY %","RuYDS/G","RecYDS/G","YFS/G","FP/G","FP","XFP","XFP/G","XFP %","XTD","XTD/G"
"348","Josh Williams","TB","RB","2","2025","4","11","0","5","0","0","0","0","0","0","0","0","0","","0","0","4","11","0","0","5","2.75","1.25","","","","0.00","","","","","2.75","","1.25","","5.5","0.0","5.5","0.6","1.1","2.4","1.2","1.7","0.0","0.01"
"349","Dee Eskridge","MIA","WR","9","2025","0","0","0","0","0","0","41","6","4","62","0","75","9","7","0","1","4","62","0","0","7","","","","","1.51","10.33","2.25","1.75","","25.0","15.50","","1.75","25.0","0.0","6.9","6.9","1.1","10.2","10.7","1.2","1.8","0.1","0.01"
"350","Trayveon Williams","LAC","RB","2","2025","3","-1","0","1","0","0","9","1","1","0","0","-1","1","","0","0","4","-1","0","0","1","-0.33","0.33","","","","0.00","1.00","","","","-0.25","","0.25","","-0.5","0.0","-0.5","0.5","0.9","2.6","1.3","2.2","0.0","0.02"
"351","Jayden Reed","GB","WR","2","2025","0","0","0","0","0","0","14","5","3","45","1","69","16","4","0","1","3","45","1","0","4","","","","","3.21","9.00","5.33","1.33","","33.3","15.00","","1.33","33.3","0.0","22.5","22.5","6.8","13.5","11.0","5.5","8.7","0.5","0.26"
"352","James Mitchell","CAR","TE","3","2025","0","0","0","0","0","0","10","3","3","28","0","6","22","10","0","0","3","28","0","0","10","","","","","2.80","9.33","7.33","3.33","","","9.33","","3.33","","0.0","9.3","9.3","1.9","5.8","4.1","1.4","2.1","0.0","0.00"
"353","Raheim Sanders","CLV","RB","1","2025","3","3","1","2","0","0","0","0","0","0","0","0","0","","0","0","3","3","1","0","2","1.00","0.67","","","","0.00","","","","","1.00","","0.67","","3.0","0.0","3.0","6.3","6.3","7.2","7.2","8.0","1.1","1.08"
"354","Austin Trammell","JAX","WR","3","2025","0","0","0","0","0","0","24","5","3","46","0","78","2","","0","0","3","46","0","0","0","","","","","1.92","9.20","0.67","","","","15.33","","","","0.0","15.3","15.3","2.5","7.6","10.2","3.4","4.2","0.3","0.11"
"355","Ben Sinnott","WAS","TE","10","2025","0","0","0","0","0","0","42","3","3","33","1","20","13","1","0","1","3","33","1","0","1","","","","","0.79","11.00","4.33","0.33","","33.3","11.00","","0.33","33.3","0.0","3.3","3.3","1.2","12.3","5.5","0.6","0.9","0.3","0.03"
"356","Trent Sherfield","DEN","WR","10","2025","0","0","0","0","0","0","47","4","3","21","0","35","15","10","1","0","3","21","0","1","10","","","","","0.45","5.25","5.00","3.33","0.33","","7.00","0.33","3.33","","0.0","2.1","2.1","0.5","5.1","7.1","0.7","0.9","0.3","0.03"
"357","Derius Davis","LAC","WR","8","2025","2","5","0","7","2","0","18","2","1","3","0","26","7","-1","0","0","3","8","0","2","6","2.50","3.50","1.00","","0.17","1.50","7.00","-1.00","","","2.67","0.67","2.00","","0.6","0.4","1.0","0.2","1.8","5.4","0.7","0.9","0.3","0.04"
"358","KhaDarel Hodge","ATL","WR","9","2025","0","0","0","0","0","0","35","10","3","31","0","150","8","4","1","0","3","31","0","1","4","","","","","0.89","3.10","2.67","1.33","0.33","","10.33","0.33","1.33","","0.0","3.4","3.4","0.7","6.1","17.6","2.0","2.8","0.4","0.04"
"359","Jack Stoll","NO","TE","9","2025","0","0","0","0","0","0","26","6","3","28","1","37","9","3","0","0","3","28","1","0","3","","","","","1.08","4.67","3.00","1.00","","","9.33","","1.00","","0.0","3.1","3.1","1.3","11.8","10.7","1.2","1.7","0.4","0.05"
"360","Devontez Walker","BLT","WR","5","2025","0","0","0","0","0","0","19","3","3","60","2","74","2","1","0","2","3","60","2","0","1","","","","","3.16","20.00","0.67","0.33","","66.7","20.00","","0.33","66.7","0.0","12.0","12.0","4.2","21.0","11.2","2.2","3.7","1.2","0.25"
"361","Justin Watson","HST","WR","2","2025","0","0","0","0","0","0","31","4","3","30","0","39","13","3","0","0","3","30","0","0","3","","","","","0.97","7.50","4.33","1.00","","","10.00","","1.00","","0.0","15.0","15.0","3.0","6.0","9.6","4.8","8.2","0.4","0.18"
"362","Mitchell Tinsley","CIN","WR","10","2025","0","0","0","0","0","0","37","6","3","49","1","89","8","8","1","1","3","49","1","1","8","","","","","1.32","8.17","2.67","2.67","0.33","33.3","16.33","0.33","2.67","33.3","0.0","4.9","4.9","1.4","13.9","11.8","1.2","1.6","0.6","0.06"
"363","Tip Reiman","ARZ","TE","4","2025","0","0","0","0","0","0","32","5","3","18","0","24","9","6","1","0","3","18","0","1","6","","","","","0.56","3.60","3.00","2.00","0.33","","6.00","0.33","2.00","","0.0","4.5","4.5","1.2","4.8","7.6","1.9","2.6","0.0","0.01"
"364","Gabe Davis","BUF","WR","1","2025","0","0","0","0","0","0","14","4","3","40","0","29","13","7","1","1","3","40","0","1","7","","","","","2.86","10.00","4.33","2.33","0.33","33.3","13.33","0.33","2.33","33.3","0.0","40.0","40.0","7.0","7.0","8.5","8.5","12.1","0.6","0.55"
"365","Andrew Beck","NYJ","FB","10","2025","0","0","0","0","0","0","13","4","3","16","1","10","9","2","0","0","3","16","1","0","2","","","","","1.23","4.00","3.00","0.67","","","5.33","","0.67","","0.0","1.6","1.6","1.1","10.6","8.9","0.9","1.5","0.6","0.06"
"366","Foster Moreau","NO","TE","6","2025","0","0","0","0","0","0","33","5","3","25","0","18","15","8","0","0","3","25","0","0","8","","","","","0.76","5.00","5.00","2.67","","","8.33","","2.67","","0.0","4.2","4.2","0.9","5.5","7.6","1.3","1.9","0.1","0.02"
"367","Kylen Granson","PHI","TE","10","2025","0","0","0","0","0","0","36","4","3","10","0","36","5","2","0","0","3","10","0","0","2","","","","","0.28","2.50","1.67","0.67","","","3.33","","0.67","","0.0","1.0","1.0","0.4","4.0","6.4","0.6","1.0","0.0","0.00"
"368","Noah Brown","WAS","WR","2","2025","0","0","0","0","0","0","37","7","3","36","0","104","9","3","0","0","3","36","0","0","3","","","","","0.97","5.14","3.00","1.00","","","12.00","","1.00","","0.0","18.0","18.0","3.3","6.6","13.5","6.8","9.5","0.4","0.19"
"369","Bo Melton","GB","WR","2","2025","1","17","0","2","0","1","16","5","2","28","0","70","2","2","0","0","3","45","0","0","4","17.00","2.00","","100.0","1.75","5.60","1.00","1.00","","","15.00","","1.33","33.3","8.5","14.0","22.5","3.3","6.5","8.5","4.3","6.4","0.0","0.01"
"370","Craig Reynolds","DET","RB","6","2025","3","4","0","1","0","0","0","0","0","0","0","0","0","","0","0","3","4","0","0","1","1.33","0.33","","","","0.00","","","","","1.33","","0.33","","0.7","0.0","0.7","0.1","0.4","2.1","0.4","0.5","0.0","0.00"
"371","Gage Larvadain","CLV","WR","6","2025","1","3","0","1","2","0","51","5","2","22","0","52","6","2","0","0","3","25","0","2","3","3.00","1.00","2.00","","0.43","4.40","3.00","1.00","","","8.33","0.67","1.00","","0.5","3.7","4.2","0.8","4.5","8.1","1.4","2.0","0.2","0.04"
"372","Blake Whiteheart","CLV","TE","9","2025","0","0","0","0","0","0","29","3","2","4","0","28","2","","0","0","2","4","0","0","0","","","","","0.14","1.33","1.00","","","","2.00","","","","0.0","0.4","0.4","0.3","2.4","5.3","0.6","0.8","0.0","0.01"
"373","Nyheim Hines","LAC","RB","3","2025","2","-2","0","1","0","0","3","0","0","0","0","0","0","","0","0","2","-2","0","0","1","-1.00","0.50","","","","0.00","","","","","-1.00","","0.50","","-0.7","0.0","-0.7","-0.1","-0.2","0.9","0.3","0.3","0.0","0.01"
"374","Ben Skowronek","PIT","WR","10","2025","0","0","0","0","0","0","36","3","2","35","1","30","20","3","0","1","2","35","1","0","3","","","","","0.97","11.67","10.00","1.50","","50.0","17.50","","1.50","50.0","0.0","3.5","3.5","1.2","11.5","5.5","0.6","0.9","0.4","0.04"
"375","Jake Bobo","SEA","WR","6","2025","0","0","0","0","0","0","16","2","2","20","0","12","8","2","0","0","2","20","0","0","2","","","","","1.25","10.00","4.00","1.00","","","10.00","","1.00","","0.0","3.3","3.3","0.7","4.0","3.0","0.5","0.7","0.0","0.00"
"376","Nikko Remigio","KC","WR","10","2025","1","11","0","5","0","0","5","1","1","21","0","18","3","1","0","1","2","32","0","0","6","11.00","5.00","","","4.20","21.00","3.00","1.00","","100.0","16.00","","3.00","50.0","1.1","2.1","3.2","0.4","4.2","2.3","0.2","0.3","0.0","0.00"
"377","Scott Matlock","LAC","FB","10","2025","0","0","0","0","0","0","14","2","2","3","1","-2","5","1","0","0","2","3","1","0","1","","","","","0.21","1.50","2.50","0.50","","","1.50","","0.50","","0.0","0.3","0.3","0.8","8.3","4.3","0.4","0.6","0.4","0.04"
"378","David Moore","CAR","WR","4","2025","1","12","0","5","0","0","36","1","1","5","0","5","0","","0","0","2","17","0","0","5","12.00","5.00","","","0.14","5.00","","","","","8.50","","2.50","","3.0","1.3","4.3","0.7","2.7","1.7","0.4","0.6","0.0","0.00"
"379","Cedrick Wilson","MIA","WR","4","2025","0","0","0","0","0","0","18","2","2","9","0","2","7","5","0","0","2","9","0","0","5","","","","","0.50","4.50","3.50","2.50","","","4.50","","2.50","","0.0","2.3","2.3","0.7","2.9","4.4","1.1","1.7","0.1","0.01"
"380","Ryan Miller","TB","WR","10","2025","0","0","0","0","0","0","21","4","2","34","1","70","0","","0","1","2","34","1","0","0","","","","","1.62","8.50","","","","50.0","17.00","","","50.0","0.0","3.4","3.4","1.1","11.4","8.3","0.8","1.1","0.4","0.04"
"381","Jordan Watkins","SF","WR","3","2025","0","0","0","0","0","0","12","3","2","26","0","43","1","","0","0","2","26","0","0","0","","","","","2.17","8.67","0.50","","","","13.00","","","","0.0","8.7","8.7","1.5","4.6","5.7","1.9","2.7","0.0","0.00"
"382","Harrison Bryant","HST","TE","8","2025","0","0","0","0","0","0","37","6","2","7","0","41","1","","0","0","2","7","0","0","0","","","","","0.19","1.17","0.50","","","","3.50","","","","0.0","0.9","0.9","0.3","2.7","13.1","1.6","2.1","0.6","0.08"
"383","Jacob Saylors","DET","RB","8","2025","2","11","0","6","1","0","0","0","0","0","0","0","0","","0","0","2","11","0","1","6","5.50","3.00","0.50","","","0.00","","","","","5.50","0.50","3.00","","1.4","0.0","1.4","0.1","1.1","0.9","0.1","0.2","0.0","0.00"
"384","Zaire Mitchell-Paden","BLT, NO","TE","7","2025","0","0","0","0","0","0","9","3","2","17","0","20","5","1","0","0","2","17","0","0","1","","","","","1.89","5.67","2.50","0.50","","","8.50","","0.50","","0.0","2.4","2.4","0.5","3.7","6.8","1.0","1.6","0.5","0.07"
"385","Jared Wayne","HST","WR","1","2025","0","0","0","0","0","0","14","2","2","20","0","16","4","3","0","0","2","20","0","0","3","","","","","1.43","10.00","2.00","1.50","","","10.00","","1.50","","0.0","20.0","20.0","4.0","4.0","3.3","3.3","4.2","0.0","0.00"
"386","Lucas Krull","DEN","TE","3","2025","0","0","0","0","0","0","26","4","2","15","0","20","3","2","0","0","2","15","0","0","2","","","","","0.58","3.75","1.50","1.00","","","7.50","","1.00","","0.0","5.0","5.0","1.2","3.5","8.9","3.0","4.3","0.4","0.13"
"387","Tay Martin","WAS","WR","3","2025","0","0","0","0","0","0","12","2","2","23","0","18","5","3","0","0","2","23","0","0","3","","","","","1.92","11.50","2.50","1.50","","","11.50","","1.50","","0.0","7.7","7.7","1.4","4.3","2.6","0.9","1.5","0.0","0.00"
"388","Konata Mumpfield","LA","WR","10","2025","0","0","0","0","0","0","45","4","2","12","1","40","8","3","0","0","2","12","1","0","3","","","","","0.27","3.00","4.00","1.50","","","6.00","","1.50","","0.0","1.2","1.2","0.9","9.2","13.2","1.3","1.7","0.7","0.07"
"389","Clyde Edwards-Helaire","KC","RB","1","2025","2","5","0","4","0","0","0","0","0","0","0","0","0","","0","0","2","5","0","0","4","2.50","2.00","","","","0.00","","","","","2.50","","2.00","","5.0","0.0","5.0","0.5","0.5","1.0","1.0","1.3","0.0","0.02"
"390","Brenden Bates","HST, CLV","TE","4","2025","0","0","0","0","0","0","4","2","2","23","0","23","0","1","0","0","2","23","0","0","1","","","","","5.75","11.50","","0.50","","","11.50","","0.50","","0.0","5.8","5.8","1.1","4.3","3.6","0.9","1.2","0.0","0.00"
"391","Roschon Johnson","CHI","RB","6","2025","2","17","0","5","0","0","1","0","0","0","0","0","0","","0","0","2","17","0","0","5","8.50","2.50","","","","0.00","","","","","8.50","","2.50","","2.8","0.0","2.8","0.3","1.7","1.1","0.2","0.3","0.0","0.00"
"392","Amar Johnson","LAC","RB","1","2025","2","8","0","4","0","0","1","0","0","0","0","0","0","","0","0","2","8","0","0","4","4.00","2.00","","","","0.00","","","","","4.00","","2.00","","8.0","0.0","8.0","0.8","0.8","1.0","1.0","2.1","0.0","0.02"
"393","Dareke Young","SEA","WR","6","2025","0","0","0","0","0","0","9","2","2","48","0","47","1","1","0","1","2","48","0","0","1","","","","","5.33","24.00","0.50","0.50","","50.0","24.00","","0.50","50.0","0.0","8.0","8.0","1.1","6.8","4.1","0.7","1.0","0.1","0.01"
"394","Charlie Woerner","ATL","TE","10","2025","0","0","0","0","0","0","63","2","2","9","0","-2","11","3","0","0","2","9","0","0","3","","","","","0.14","4.50","5.50","1.50","","","4.50","","1.50","","0.0","0.9","0.9","0.3","2.9","2.3","0.2","0.3","0.0","0.00"
"395","Xavier Weaver","ARZ","WR","4","2025","0","0","0","0","0","0","57","4","2","15","0","62","6","1","0","0","2","15","0","0","1","","","","","0.26","3.75","3.00","0.50","","","7.50","","0.50","","0.0","3.8","3.8","0.9","3.5","9.8","2.5","3.0","0.4","0.10"
"396","Rasheen Ali","BLT","RB","9","2025","1","5","0","3","0","0","11","1","1","15","0","1","14","15","1","0","2","20","0","1","18","5.00","3.00","","","1.36","15.00","14.00","15.00","1.00","","10.00","0.50","9.00","","0.6","1.7","2.2","0.3","3.0","2.0","0.2","0.4","0.0","0.00"
"397","Beaux Collins","NYG","WR","9","2025","0","0","0","0","0","0","42","6","2","25","0","76","7","1","0","0","2","25","0","0","1","","","","","0.60","4.17","3.50","0.50","","","12.50","","0.50","","0.0","2.8","2.8","0.5","4.5","14.2","1.6","2.2","0.9","0.10"
"398","Kendall Milton","CIN","RB","1","2025","2","2","0","2","0","0","0","0","0","0","0","0","0","","0","0","2","2","0","0","2","1.00","1.00","","","","0.00","","","","","1.00","","1.00","","2.0","0.0","2.0","0.2","0.2","1.7","1.7","2.5","0.0","0.01"
"399","Tucker Fisk","LAC","TE","9","2025","0","0","0","0","0","0","39","3","2","19","0","2","21","5","0","0","2","19","0","0","5","","","","","0.49","6.33","10.50","2.50","","","9.50","","2.50","","0.0","2.1","2.1","0.4","3.9","4.2","0.5","0.6","0.0","0.00"
"400","Durham Smythe","CHI","TE","10","2025","0","0","0","0","0","0","39","3","1","8","0","14","4","1","0","0","1","8","0","0","1","","","","","0.21","2.67","4.00","1.00","","","8.00","","1.00","","0.0","0.8","0.8","0.2","1.8","4.0","0.4","0.5","0.0","0.00"
"401","Josh Whyle","GB","TE","2","2025","0","0","0","0","0","0","10","1","1","2","1","5","0","","0","0","1","2","1","0","0","","","","","0.20","2.00","","","","","2.00","","","","0.0","1.0","1.0","3.6","7.2","3.6","1.8","2.7","0.5","0.25"
"402","Devin Duvernay","CHI","WR","10","2025","0","0","0","0","0","0","10","3","1","2","0","53","0","","0","0","1","2","0","0","0","","","","","0.20","0.67","","","","","2.00","","","","0.0","0.2","0.2","0.1","1.2","5.2","0.5","0.7","0.5","0.05"
"403","Feleipe Franks","ATL","TE","7","2025","1","2","0","1","0","0","0","0","0","0","0","0","0","","0","0","1","2","0","0","1","2.00","1.00","","","","0.00","","","","","2.00","","1.00","","0.3","0.0","0.3","0.0","0.2","0.3","0.0","0.1","0.0","0.00"
"404","KeAndre Lambert-Smith","LAC","WR","6","2025","0","0","0","0","0","0","32","4","1","1","0","92","3","1","0","0","1","1","0","0","1","","","","","0.03","0.25","3.00","1.00","","","1.00","","1.00","","0.0","0.2","0.2","0.2","1.1","10.5","1.8","2.5","0.4","0.07"
"405","Mason Kinsey","TEN","WR","4","2025","0","0","0","0","0","0","32","3","1","14","0","57","3","","0","0","1","14","0","0","0","","","","","0.44","4.67","3.00","","","","14.00","","","","0.0","3.5","3.5","0.6","2.4","4.8","1.2","1.9","0.1","0.03"
"406","Jacoby Jones","WAS","WR","1","2025","0","0","0","0","0","0","2","1","1","25","0","3","22","","0","1","1","25","0","0","0","","","","","12.50","25.00","22.00","","","100.0","25.00","","","100.0","0.0","25.0","25.0","3.5","3.5","1.3","1.3","1.7","0.0","0.00"
"407","Ben Yurosek","MIN","TE","8","2025","0","0","0","0","0","0","12","2","1","5","0","6","5","1","0","0","1","5","0","0","1","","","","","0.42","2.50","5.00","1.00","","","5.00","","1.00","","0.0","0.6","0.6","0.2","1.5","2.8","0.4","0.6","0.0","0.00"
"408","Colson Yankoff","WAS","TE","9","2025","0","0","0","0","0","0","11","1","1","4","0","0","4","2","0","0","1","4","0","0","2","","","","","0.36","4.00","4.00","2.00","","","4.00","","2.00","","0.0","0.4","0.4","0.2","1.4","1.3","0.1","0.2","0.0","0.00"
"409","Quintin Morris","JAX","TE","6","2025","0","0","0","0","0","0","25","2","1","11","0","30","0","","0","0","1","11","0","0","0","","","","","0.44","5.50","","","","","11.00","","","","0.0","1.8","1.8","0.4","2.1","3.7","0.6","0.9","0.0","0.00"
"410","Tahj Washington","MIA","WR","4","2025","0","0","0","0","0","0","14","2","1","11","0","49","6","1","0","0","1","11","0","0","1","","","","","0.79","5.50","6.00","1.00","","","11.00","","1.00","","0.0","2.8","2.8","0.3","1.1","2.8","0.7","1.1","0.0","0.01"
"411","Bryce Oliver","TEN","WR","2","2025","0","0","0","0","0","0","8","1","1","8","0","5","3","2","0","0","1","8","0","0","2","","","","","1.00","8.00","3.00","2.00","","","8.00","","2.00","","0.0","4.0","4.0","0.9","1.8","1.4","0.7","1.2","0.0","0.00"
"412","Robert Tonyan","KC","TE","10","2025","0","0","0","0","0","0","23","1","1","1","0","1","0","","0","0","1","1","0","0","0","","","","","0.04","1.00","","","","","1.00","","","","0.0","0.1","0.1","0.1","1.1","1.3","0.1","0.2","0.0","0.00"
"413","DeeJay Dallas","CAR","RB","2","2025","1","0","0","0","0","0","8","0","0","0","0","0","0","","0","0","1","0","0","0","0","","","","","","0.00","","","","","","","","","0.0","0.0","0.0","","0.0","0.6","0.3","0.5","0.1","0.03"
"414","Keleki Latu","BUF","TE","1","2025","0","0","0","0","0","0","4","1","1","4","0","4","0","","0","0","1","4","0","0","0","","","","","1.00","4.00","","","","","4.00","","","","0.0","4.0","4.0","1.4","1.4","1.4","1.4","2.0","0.0","0.00"
"415","Anthony Gould","IND","WR","8","2025","0","0","0","0","0","0","24","1","1","3","0","3","0","","0","0","1","3","0","0","0","","","","","0.13","3.00","","","","","3.00","","","","0.0","0.4","0.4","0.2","1.3","1.3","0.2","0.2","0.0","0.00"
"416","Cody White","SEA","WR","4","2025","0","0","0","0","0","0","26","2","1","60","1","24","43","39","1","1","1","60","1","1","39","","","","","2.31","30.00","43.00","39.00","1.00","100.0","60.00","1.00","39.00","100.0","0.0","15.0","15.0","3.3","13.0","3.5","0.9","1.3","0.0","0.00"
"417","Tim Jones","JAX, MIN","WR","4","2025","0","0","0","0","0","0","9","1","1","15","0","4","11","9","2","0","1","15","0","2","9","","","","","1.67","15.00","11.00","9.00","2.00","","15.00","2.00","9.00","","0.0","3.8","3.8","0.6","2.5","1.4","0.4","0.5","0.0","0.00"
"418","Carter Runyon","LV","TE","4","2025","0","0","0","0","0","0","3","1","1","3","0","-3","6","1","0","0","1","3","0","0","1","","","","","1.00","3.00","6.00","1.00","","","3.00","","1.00","","0.0","0.8","0.8","0.3","1.3","1.5","0.4","0.6","0.0","0.00"
"419","Alex Bachman","LV","WR","8","2025","0","0","0","0","0","0","9","2","1","9","0","11","3","2","0","0","1","9","0","0","2","","","","","1.00","4.50","3.00","2.00","","","9.00","","2.00","","0.0","1.1","1.1","0.2","1.9","2.8","0.4","0.5","0.0","0.00"
"420","Andre Baccellia","ARZ","WR","1","2025","0","0","0","0","0","0","12","1","1","5","0","6","-1","","0","0","1","5","0","0","0","","","","","0.42","5.00","-1.00","","","","5.00","","","","0.0","5.0","5.0","1.5","1.5","1.8","1.8","1.7","0.1","0.05"
"421","Travis Homer","CHI","RB","4","2025","1","-2","0","4","0","0","4","0","0","0","0","0","0","","0","0","1","-2","0","0","4","-2.00","4.00","","","","0.00","","","","","-2.00","","4.00","","-0.5","0.0","-0.5","-0.1","-0.2","0.6","0.1","0.2","0.0","0.00"
"422","Patrick Ricard","BLT","FB","4","2025","1","3","0","1","0","0","11","0","0","0","0","0","0","","0","0","1","3","0","0","1","3.00","1.00","","","","0.00","","","","","3.00","","1.00","","0.8","0.0","0.8","0.1","0.3","0.4","0.1","0.2","0.0","0.00"
"423","Xavier Gipson","NYJ, PHI","WR","5","2025","0","0","0","0","0","0","2","1","1","3","0","-5","8","","0","0","1","3","0","0","0","","","","","1.50","3.00","8.00","","","","3.00","","","","0.0","0.6","0.6","0.3","1.3","1.4","0.3","0.5","0.0","0.00"
"424","Ulysses Bentley","IND","RB","1","2025","1","0","0","1","0","0","0","0","0","0","0","0","0","","0","0","1","0","0","0","1","","1.00","","","","0.00","","","","","","","1.00","","0.0","0.0","0.0","","0.0","0.6","0.6","0.7","0.0","0.02"
"425","Chris Manhertz","NYG","TE","11","2025","0","0","0","0","0","0","9","1","1","7","0","1","6","3","0","0","1","7","0","0","3","","","","","0.78","7.00","6.00","3.00","","","7.00","","3.00","","0.0","0.6","0.6","0.2","1.7","1.4","0.1","0.2","0.0","0.00"
"426","Cam Grandy","CIN","TE","3","2025","0","0","0","0","0","0","4","1","1","6","0","-2","8","10","0","0","1","6","0","0","10","","","","","1.50","6.00","8.00","10.00","","","6.00","","10.00","","0.0","2.0","2.0","0.5","1.6","1.5","0.5","0.8","0.0","0.01"
"427","Eric Saubert","SEA","TE","7","2025","0","0","0","0","0","0","19","1","1","12","0","6","6","4","0","0","1","12","0","0","4","","","","","0.63","12.00","6.00","4.00","","","12.00","","4.00","","0.0","1.7","1.7","0.3","2.2","2.0","0.3","0.4","0.1","0.02"
"428","Scott Miller","PIT","WR","7","2025","0","0","0","0","0","0","35","2","1","9","0","6","10","6","1","0","1","9","0","1","6","","","","","0.26","4.50","10.00","6.00","1.00","","9.00","1.00","6.00","","0.0","1.3","1.3","0.3","1.9","3.3","0.5","0.7","0.1","0.01"
"429","Gunner Olszewski","NYG","WR","11","2025","0","0","0","0","0","0","22","3","1","24","1","66","0","","0","1","1","24","1","0","0","","","","","1.09","8.00","","","","100.0","24.00","","","100.0","0.0","2.2","2.2","0.9","9.4","8.0","0.7","1.0","0.9","0.08"
"430","Tai Felton","MIN","WR","8","2025","0","0","0","0","0","0","6","1","1","9","0","7","2","","0","0","1","9","0","0","0","","","","","1.50","9.00","2.00","","","","9.00","","","","0.0","1.1","1.1","0.2","1.9","1.5","0.2","0.3","0.0","0.00"
"431","Michael Bandy","DEN","WR","2","2025","0","0","0","0","0","0","7","1","1","16","0","5","11","1","0","0","1","16","0","0","1","","","","","2.29","16.00","11.00","1.00","","","16.00","","1.00","","0.0","8.0","8.0","1.3","2.6","1.3","0.7","1.0","0.0","0.00"
"432","Sione Vaki","DET","RB","3","2025","1","4","0","2","0","0","0","0","0","0","0","0","0","","0","0","1","4","0","0","2","4.00","2.00","","","","0.00","","","","","4.00","","2.00","","1.3","0.0","1.3","0.1","0.4","0.5","0.2","0.2","0.0","0.00"
"433","David Martin-Robinson","TEN","TE","8","2025","0","0","0","0","0","0","9","1","1","1","1","8","0","","0","0","1","1","1","0","0","","","","","0.11","1.00","","","","","1.00","","","","0.0","0.1","0.1","0.9","7.1","3.6","0.4","0.7","0.5","0.06"
"434","C.J. Ham","MIN","FB","4","2025","0","0","0","0","0","0","18","1","1","5","0","4","1","","0","0","1","5","0","0","0","","","","","0.28","5.00","1.00","","","","5.00","","","","0.0","1.3","1.3","0.4","1.5","1.4","0.3","0.5","0.0","0.00"

"Rank","Rank, Most to Least"
"Name","Full name of the player or team"
"Team","Team(s) played for"
"POS","Player Position"
"G","Games Played"
"ATT","Rushing Attempts"
"YDS","Rushing Yards"
"TD","Rushing Touchdowns"
"YACO","Yards After Contact on Carries"
"MTF","Missed Tackles Forced on Carries"
"EXP","Rushing attempts that result in 15 or more yards"
"RTE","Routes Run"
"TGT","Targets"
"REC","Receptions"
"YDS","Receiving Yards"
"TD","Receiving Touchdowns"
"AY","Receiving - Yards - Air - Total"
"YAC","Yards After the Catch"
"YACO","Yards After Contact on Receptions"
"MTF","Missed Tackles Forced on Receptions"
"EXP","Receptions that result in 20 or more yards"
"TOUCH","Total Carries + Receptions"
"YFS","Yards from Scrimmage"
"TD","Rushing + Receiving TDs"
"MTF","Missed Tackles Forced on Carries and Receptions"
"YACO","Yards After Contact on Carries and Receptions"
"YPC","Rushing Yards per Carry"
"YACO/ATT","Yards After Contact per Attempt"
"MTF/ATT","Missed Tackles Forced per Attempt"
"EXP RUN %","Percentage of Runs to go for 15+ Yards"
"YPRR","Yards per Route Run"
"YPT","Yards per Target"
"YAC/REC","Yards After the Catch per Reception"
"YACO/REC","Yards After Contact per Reception"
"MTF/REC","Missed Tackles Forced per Reception"
"EXP REC %","Percentage of Receptions to go for 20+ yards"
"YFS/TOUCH","Yards from Scrimmage per Touch"
"MTF/TOUCH","Total Missed Tackles Forced per Touch"
"YACO/TOUCH","Total Yards After Contact per Touch"
"EXP PLAY %","Percentage of touches that result in an explosive run or reception"
"RuYDS/G","Rushing Yards per Game"
"RecYDS/G","Receiving Yards per Game"
"YFS/G","Yards from Scrimmage per Game"
"FP/G","Fantasy Points per Game"
"FP","Fantasy Points"
"XFP","Expected Fantasy Points"
"XFP/G","Expected PPR Fantasy Points per Game"
"XFP %","Team XFP Share"
"XTD","Scrimmage - Touchdowns - Expected - Total"
"XTD/G","Scrimmage - Touchdowns - Expected - Per Game"
