"Player Details","","","","","","Overall","","","","","Wide","","","","","","","Slot","","","","","","","Inline","","","","","","","Backfield","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","TGT","TPRR","RTE %","YPRR","RTE","WIDE RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR","RTE","SLOT RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR","RTE","INLINE RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR","RTE","BACK RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR"
"206","Allen Lazard","NYJ","WR","6","2025","104","11","0.11","41.8","0.43","62","59.6","14.0","8","0.13","24.9","0.55","42","40.4","12.5","3","0.07","16.9","0.26","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"207","Jeremy McNichols","WAS","RB","11","2025","104","20","0.19","27.6","1.43","2","1.9","0.3","0","0.00","0.5","0.00","35","33.7","6.2","5","0.14","9.3","1.14","0","0.0","","0","0.00","","0.00","67","64.4","31.3","15","0.22","17.8","1.63"
"208","Luther Burden","CHI","WR","9","2025","102","23","0.23","30.8","2.44","59","57.8","10.3","13","0.22","17.8","2.47","42","41.2","9.8","10","0.24","12.7","2.45","0","0.0","","0","0.00","","0.00","1","1.0","0.5","0","0.00","0.3","0.00"
"209","Isaiah Davis","NYJ","RB","10","2025","102","20","0.20","29.0","1.16","5","4.9","0.8","1","0.20","1.4","5.20","9","8.8","1.9","1","0.11","2.6","1.33","0","0.0","","0","0.00","","0.00","88","86.3","38.4","18","0.20","25.0","0.91"
"210","Mike Evans","TB","WR","4","2025","101","31","0.31","59.8","1.39","72","71.3","23.8","26","0.36","42.6","1.54","29","28.7","11.2","5","0.17","17.2","1.00","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"211","Jaylen Warren","PIT","RB","9","2025","100","28","0.28","32.5","2.19","5","5.0","0.9","1","0.20","1.6","1.40","3","3.0","0.8","1","0.33","1.0","1.67","4","4.0","2.2","0","0.00","1.3","0.00","88","88.0","46.1","25","0.28","28.6","2.28"
"212","Samaje Perine","CIN","RB","9","2025","97","9","0.09","26.8","0.31","3","3.1","0.5","0","0.00","0.8","0.00","3","3.1","0.6","0","0.00","0.8","0.00","4","4.1","2.5","1","0.25","1.1","1.25","87","89.7","32.1","8","0.09","24.0","0.29"
"213","Luke McCaffrey","WAS","WR","9","2025","96","15","0.16","30.1","2.11","58","60.4","10.4","9","0.16","18.2","2.55","38","39.6","7.7","6","0.16","11.9","1.45","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"214","Tanner Conner","MIA","TE","9","2025","96","15","0.16","30.2","0.95","14","14.6","2.6","0","0.00","4.4","0.00","38","39.6","8.9","6","0.16","11.9","0.92","44","45.8","31.0","9","0.20","13.8","1.27","0","0.0","","0","0.00","","0.00"
"215","Casey Washington","ATL","WR","7","2025","95","14","0.15","38.6","0.99","62","65.3","13.9","9","0.15","25.2","0.39","33","34.7","9.9","5","0.15","13.4","2.12","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"216","Tyrell Shavers","BUF","WR","10","2025","94","17","0.18","26.9","1.83","70","74.5","11.6","13","0.19","20.1","1.30","20","21.3","4.0","3","0.15","5.7","3.20","4","4.3","2.8","1","0.25","1.1","4.25","0","0.0","","0","0.00","","0.00"
"217","Tyreek Hill","MIA","WR","4","2025","94","29","0.31","69.6","2.82","55","58.5","23.9","17","0.31","40.7","4.02","38","40.4","20.2","11","0.29","28.1","0.97","0","0.0","","0","0.00","","0.00","1","1.1","1.0","1","1.00","0.7","7.00"
"218","Luke Farrell","SF","TE","11","2025","94","10","0.11","22.4","0.87","6","6.4","0.8","0","0.00","1.4","0.00","13","13.8","2.6","1","0.08","3.1","0.62","75","79.8","22.9","9","0.12","17.9","0.99","0","0.0","","0","0.00","","0.00"
"219","Zach Charbonnet","SEA","RB","9","2025","94","10","0.11","34.8","0.71","4","4.3","0.8","0","0.00","1.5","0.00","6","6.4","2.3","1","0.17","2.2","1.50","4","4.3","1.6","2","0.50","1.5","2.50","80","85.1","51.3","7","0.09","29.6","0.60"
"220","Drew Sample","CIN","TE","10","2025","94","6","0.06","23.3","0.26","5","5.3","0.7","0","0.00","1.2","0.00","9","9.6","1.7","0","0.00","2.2","0.00","57","60.6","31.7","4","0.07","14.1","0.23","23","24.5","7.5","2","0.09","5.7","0.48"
"221","Jalin Hyatt","NYG","WR","7","2025","93","13","0.14","36.6","0.38","77","82.8","17.5","12","0.16","30.3","0.40","16","17.2","4.2","1","0.06","6.3","0.25","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"222","Tyjae Spears","TEN","RB","6","2025","93","19","0.20","39.2","1.37","1","1.1","0.2","0","0.00","0.4","0.00","4","4.3","1.2","1","0.25","1.7","0.50","5","5.4","4.1","1","0.20","2.1","2.20","83","89.2","50.9","17","0.20","35.0","1.37"
"223","Isaac TeSlaa","DET","WR","10","2025","93","8","0.09","27.6","0.70","71","76.3","12.1","7","0.10","21.1","0.92","22","23.7","5.1","1","0.05","6.5","0.00","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"224","Aaron Jones","MIN","RB","6","2025","93","21","0.23","46.5","1.20","4","4.3","1.1","1","0.25","2.0","3.50","1","1.1","0.4","1","1.00","0.5","0.00","2","2.2","1.9","0","0.00","1.0","0.00","86","92.5","61.9","19","0.22","43.0","1.14"
"225","Brycen Tremayne","CAR","WR","10","2025","92","14","0.15","25.1","1.45","58","63.0","8.7","8","0.14","15.8","1.59","33","35.9","5.5","6","0.18","9.0","1.24","0","0.0","","0","0.00","","0.00","1","1.1","0.5","0","0.00","0.3","0.00"
"226","LeQuint Allen","JAX","RB","10","2025","92","8","0.09","23.7","0.45","4","4.3","0.6","0","0.00","1.0","0.00","11","12.0","2.1","3","0.27","2.8","1.55","0","0.0","","0","0.00","","0.00","77","83.7","30.3","5","0.06","19.8","0.31"
"227","Kenneth Walker","SEA","RB","10","2025","91","15","0.16","31.3","1.40","7","7.7","1.4","1","0.14","2.4","4.14","7","7.7","2.5","1","0.14","2.4","0.00","3","3.3","1.1","2","0.67","1.0","6.00","74","81.3","43.3","11","0.15","25.4","1.08"
"228","Jacory Croskey-Merritt","WAS","RB","11","2025","89","12","0.13","23.6","0.76","2","2.2","0.3","0","0.00","0.5","0.00","9","10.1","1.6","1","0.11","2.4","0.67","0","0.0","","0","0.00","","0.00","78","87.6","36.4","11","0.14","20.7","0.79"
"229","Jeremy Ruckert","NYJ","TE","10","2025","88","16","0.18","25.0","1.35","14","15.9","2.2","2","0.14","4.0","1.14","10","11.4","2.2","4","0.40","2.8","2.60","63","71.6","33.5","10","0.16","17.9","1.05","1","1.1","0.4","0","0.00","0.3","0.00"
"230","Mike Gesicki","CIN","TE","6","2025","86","16","0.19","37.9","0.71","21","24.4","5.1","4","0.19","9.3","0.81","64","74.4","21.4","12","0.19","28.2","0.69","1","1.2","1.0","0","0.00","0.4","0.00","0","0.0","","0","0.00","","0.00"
"231","Quinshon Judkins","CLV","RB","9","2025","85","18","0.21","23.7","0.82","4","4.7","0.6","0","0.00","1.1","0.00","1","1.2","0.2","0","0.00","0.3","0.00","4","4.7","1.8","0","0.00","1.1","0.00","76","89.4","34.1","18","0.24","21.2","0.92"
"232","Luke Schoonmaker","DAL","TE","10","2025","84","15","0.18","20.8","0.75","5","6.0","0.7","0","0.00","1.2","0.00","18","21.4","3.2","4","0.22","4.5","1.06","61","72.6","31.9","11","0.18","15.1","0.72","0","0.0","","0","0.00","","0.00"
"233","David Montgomery","DET","RB","10","2025","84","18","0.21","24.9","1.38","2","2.4","0.3","0","0.00","0.6","0.00","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00","82","97.6","34.7","18","0.22","24.3","1.41"
"234","Emanuel Wilson","GB","RB","10","2025","84","13","0.15","24.3","0.82","7","8.3","1.2","0","0.00","2.0","0.00","4","4.8","1.0","1","0.25","1.2","-0.50","2","2.4","0.9","0","0.00","0.6","0.00","71","84.5","31.0","12","0.17","20.6","1.00"
"235","Adam Trautman","DEN","TE","11","2025","83","12","0.14","19.8","1.12","9","10.8","1.3","1","0.11","2.1","0.22","16","19.3","3.0","3","0.19","3.8","1.88","57","68.7","29.5","7","0.12","13.6","0.93","1","1.2","0.4","1","1.00","0.2","8.00"
"236","Dylan Sampson","CLV","RB","10","2025","83","24","0.29","20.4","1.64","12","14.5","1.7","4","0.33","3.0","2.42","7","8.4","1.4","2","0.29","1.7","2.57","5","6.0","1.9","0","0.00","1.2","0.00","59","71.1","23.0","18","0.31","14.5","1.51"
"237","Brock Wright","DET","TE","10","2025","83","14","0.17","24.6","0.95","10","12.0","1.7","0","0.00","3.0","0.00","15","18.1","3.5","4","0.27","4.5","1.73","56","67.5","37.6","9","0.16","16.6","0.95","2","2.4","0.8","0","0.00","0.6","0.00"
"238","Johnny Mundt","JAX","TE","10","2025","83","14","0.17","21.4","1.00","10","12.0","1.5","2","0.20","2.6","0.90","11","13.3","2.1","0","0.00","2.8","0.00","62","74.7","34.3","12","0.19","16.0","1.19","0","0.0","","0","0.00","","0.00"
"239","Tyler Badie","DEN","RB","10","2025","82","19","0.23","21.2","1.06","1","1.2","0.2","0","0.00","0.3","0.00","1","1.2","0.2","0","0.00","0.3","0.00","4","4.9","2.2","0","0.00","1.0","0.00","76","92.7","33.0","19","0.25","19.7","1.14"
"240","Lil'Jordan Humphrey","NYG, DEN","WR","4","2025","82","8","0.10","57.7","0.67","65","79.3","26.4","8","0.12","45.8","0.85","17","20.7","8.3","0","0.00","12.0","0.00","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"241","Derrick Henry","BLT","RB","10","2025","82","14","0.17","26.5","0.90","1","1.2","0.2","0","0.00","0.3","0.00","1","1.2","0.2","0","0.00","0.3","0.00","0","0.0","","0","0.00","","0.00","80","97.6","37.6","14","0.18","25.8","0.93"
"242","Mitchell Evans","CAR","TE","11","2025","81","11","0.14","20.6","1.46","7","8.6","1.0","0","0.00","1.8","0.00","17","21.0","2.7","1","0.06","4.3","0.53","57","70.4","32.2","10","0.18","14.5","1.91","0","0.0","","0","0.00","","0.00"
"243","Bucky Irving","TB","RB","4","2025","81","19","0.23","50.9","2.38","12","14.8","4.3","0","0.00","7.5","0.00","5","6.2","2.0","1","0.20","3.1","0.20","0","0.0","","0","0.00","","0.00","64","79.0","68.1","18","0.28","40.3","3.00"
"244","Adonai Mitchell","IND, NYJ","WR","9","2025","81","21","0.26","24.9","2.00","68","84.0","11.9","16","0.24","20.9","2.09","13","16.0","3.0","5","0.38","4.0","1.54","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"245","Marquez Valdes-Scantling","SF","WR","5","2025","81","8","0.10","36.7","0.49","39","48.1","10.1","4","0.10","17.6","0.72","42","51.9","15.7","4","0.10","19.0","0.29","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"246","Michael Carter","ARZ","RB","6","2025","80","18","0.23","27.4","1.24","5","6.3","1.0","1","0.20","1.7","0.00","2","2.5","0.4","1","0.50","0.7","0.50","0","0.0","","0","0.00","","0.00","73","91.3","36.7","16","0.22","25.0","1.34"
"247","Elijah Moore","BUF","WR","8","2025","79","14","0.18","28.4","1.46","46","58.2","9.5","9","0.20","16.5","0.91","32","40.5","8.1","5","0.16","11.5","2.28","0","0.0","","0","0.00","","0.00","1","1.3","0.5","0","0.00","0.4","0.00"
"248","Nick Chubb","HST","RB","10","2025","79","18","0.23","19.1","0.75","4","5.1","0.5","1","0.25","1.0","1.75","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00","75","94.9","30.7","17","0.23","18.2","0.69"
"249","Davis Allen","LA","TE","10","2025","78","16","0.21","21.9","1.33","17","21.8","2.8","1","0.06","4.8","0.24","11","14.1","2.4","0","0.00","3.1","0.00","49","62.8","24.1","15","0.31","13.8","2.04","1","1.3","0.5","0","0.00","0.3","0.00"
"250","Bam Knight","ARZ","RB","8","2025","77","17","0.22","21.5","1.12","6","7.8","1.0","1","0.17","1.7","0.17","5","6.5","0.9","0","0.00","1.4","0.00","0","0.0","","0","0.00","","0.00","66","85.7","26.9","16","0.24","18.4","1.29"
"251","Malik Heath","GB","WR","9","2025","77","6","0.08","24.4","1.12","44","57.1","8.4","4","0.09","13.9","1.55","30","39.0","7.8","2","0.07","9.5","0.60","3","3.9","1.4","0","0.00","0.9","0.00","0","0.0","","0","0.00","","0.00"
"252","Mo Alie-Cox","IND","TE","10","2025","77","8","0.10","21.2","0.65","0","0.0","","0","0.00","","0.00","10","13.0","2.1","0","0.00","2.7","0.00","67","87.0","32.4","8","0.12","18.4","0.75","0","0.0","","0","0.00","","0.00"
"253","Curtis Samuel","BUF","WR","6","2025","76","8","0.11","38.0","1.07","46","60.5","13.4","7","0.15","23.0","1.63","30","39.5","10.7","1","0.03","15.0","0.20","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"254","Jack Bech","LV","WR","10","2025","75","10","0.13","21.0","1.23","50","66.7","8.2","6","0.12","14.0","0.92","25","33.3","5.3","4","0.16","7.0","1.84","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"255","Trey Benson","ARZ","RB","4","2025","71","13","0.18","45.2","0.90","7","9.9","2.6","0","0.00","4.5","0.00","4","5.6","1.7","1","0.25","2.5","1.50","0","0.0","","0","0.00","","0.00","60","84.5","51.3","12","0.20","38.2","0.97"
"256","Tylan Wallace","BLT","WR","10","2025","71","7","0.10","22.9","0.63","40","56.3","7.2","6","0.15","12.9","0.88","31","43.7","7.2","1","0.03","10.0","0.32","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"257","J.K. Dobbins","DEN","RB","10","2025","71","14","0.20","18.8","0.52","0","0.0","","0","0.00","","0.00","2","2.8","0.4","1","0.50","0.5","2.50","0","0.0","","0","0.00","","0.00","69","97.2","31.2","13","0.19","18.3","0.46"
"258","Devin Singletary","NYG","RB","11","2025","71","10","0.14","17.0","1.30","11","15.5","1.5","1","0.09","2.6","0.00","4","5.6","0.6","0","0.00","1.0","0.00","0","0.0","","0","0.00","","0.00","56","78.9","18.4","9","0.16","13.4","1.64"
"259","Tim Patrick","JAX","WR","9","2025","70","10","0.14","20.1","1.19","43","61.4","7.0","7","0.16","12.3","1.35","27","38.6","5.8","3","0.11","7.7","0.93","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"260","Colby Parkinson","LA","TE","8","2025","69","17","0.25","23.5","1.78","13","18.8","2.6","0","0.00","4.4","0.00","7","10.1","1.9","0","0.00","2.4","0.00","49","71.0","28.7","17","0.35","16.7","2.51","0","0.0","","0","0.00","","0.00"
"261","Charlie Kolar","BLT","TE","10","2025","69","9","0.13","22.3","1.28","3","4.3","0.5","0","0.00","1.0","0.00","6","8.7","1.4","0","0.00","1.9","0.00","60","87.0","50.4","9","0.15","19.4","1.47","0","0.0","","0","0.00","","0.00"
"262","Darren Waller","MIA","TE","4","2025","69","12","0.17","49.6","1.70","26","37.7","11.3","5","0.19","18.7","1.77","28","40.6","15.1","2","0.07","20.1","1.21","15","21.7","21.1","5","0.33","10.8","2.47","0","0.0","","0","0.00","","0.00"
"263","John Bates","WAS","TE","9","2025","69","9","0.13","21.3","0.90","3","4.3","0.5","0","0.00","0.9","0.00","10","14.5","2.1","0","0.00","3.1","0.00","56","81.2","40.9","9","0.16","17.3","1.11","0","0.0","","0","0.00","","0.00"
"264","Julian Hill","MIA","TE","8","2025","66","14","0.21","24.4","1.38","3","4.5","0.7","0","0.00","1.1","0.00","13","19.7","3.5","4","0.31","4.8","0.31","49","74.2","39.5","10","0.20","18.1","1.78","1","1.5","0.6","0","0.00","0.4","0.00"
"265","Emari Demercado","ARZ","RB","9","2025","65","11","0.17","16.7","0.98","5","7.7","0.7","1","0.20","1.3","0.80","2","3.1","0.3","0","0.00","0.5","0.00","0","0.0","","0","0.00","","0.00","58","89.2","20.9","10","0.17","14.9","1.03"
"266","Alec Ingold","MIA","FB","11","2025","64","7","0.11","17.7","0.56","6","9.4","1.0","1","0.17","1.7","0.00","17","26.6","3.5","1","0.06","4.7","0.00","20","31.3","12.4","2","0.10","5.5","0.65","21","32.8","9.3","3","0.14","5.8","1.10"
"267","Chris Godwin","TB","WR","2","2025","64","13","0.20","78.0","0.81","37","57.8","25.9","4","0.11","45.1","0.05","27","42.2","22.7","9","0.33","32.9","1.85","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"268","Charlie Woerner","ATL","TE","10","2025","63","2","0.03","17.7","0.14","2","3.2","0.3","0","0.00","0.6","0.00","6","9.5","1.2","0","0.00","1.7","0.00","23","36.5","13.8","1","0.04","6.5","0.61","32","50.8","13.0","1","0.03","9.0","-0.16"
"269","Tyler Conklin","LAC","TE","8","2025","61","9","0.15","18.9","1.56","10","16.4","1.7","1","0.10","3.1","0.00","23","37.7","5.2","3","0.13","7.1","1.83","27","44.3","18.5","4","0.15","8.4","1.33","1","1.6","0.5","1","1.00","0.3","17.00"
"270","Grant Calcaterra","PHI","TE","8","2025","59","7","0.12","22.9","0.68","6","10.2","1.3","1","0.17","2.3","2.67","31","52.5","8.1","2","0.06","12.0","0.19","22","37.3","21.0","4","0.18","8.5","0.82","0","0.0","","0","0.00","","0.00"
"271","Xavier Weaver","ARZ","WR","4","2025","57","4","0.07","29.8","0.26","49","86.0","14.8","3","0.06","25.7","0.31","8","14.0","2.6","1","0.13","4.2","0.00","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"272","Greg Dulcich","MIA","TE","4","2025","56","12","0.21","48.7","1.59","12","21.4","6.6","1","0.08","10.4","0.00","18","32.1","12.8","5","0.28","15.7","2.50","26","46.4","56.5","6","0.23","22.6","1.69","0","0.0","","0","0.00","","0.00"
"273","Bhayshul Tuten","JAX","RB","10","2025","56","11","0.20","14.4","1.09","6","10.7","0.9","0","0.00","1.5","0.00","5","8.9","1.0","2","0.40","1.3","0.40","0","0.0","","0","0.00","","0.00","45","80.4","17.7","9","0.20","11.6","1.31"
"274","John FitzPatrick","GB","TE","10","2025","54","6","0.11","15.7","0.54","4","7.4","0.7","1","0.25","1.2","1.50","6","11.1","1.4","0","0.00","1.7","0.00","40","74.1","17.3","4","0.10","11.6","0.35","4","7.4","1.7","1","0.25","1.2","2.25"
"275","Terrance Ferguson","LA","TE","7","2025","53","11","0.21","21.7","2.60","14","26.4","3.4","2","0.14","5.7","2.57","25","47.2","8.1","5","0.20","10.2","1.56","14","26.4","10.1","4","0.29","5.7","4.50","0","0.0","","0","0.00","","0.00"
"276","Tanner Hudson","CIN","TE","6","2025","52","12","0.23","21.1","1.60","11","21.2","2.4","1","0.09","4.5","-0.27","28","53.8","8.1","8","0.29","11.3","2.64","13","25.0","13.3","3","0.23","5.3","0.92","0","0.0","","0","0.00","","0.00"
"277","Skyy Moore","SF","WR","11","2025","52","6","0.12","12.4","1.23","35","67.3","4.7","4","0.11","8.4","1.11","17","32.7","3.4","2","0.12","4.1","1.47","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"278","Brashard Smith","KC","RB","10","2025","52","22","0.42","12.5","2.50","11","21.2","1.6","7","0.64","2.6","4.64","20","38.5","3.3","8","0.40","4.8","2.15","0","0.0","","0","0.00","","0.00","21","40.4","8.9","7","0.33","5.0","1.71"
"279","Gage Larvadain","CLV","WR","6","2025","51","5","0.10","22.1","0.43","36","70.6","8.7","4","0.11","15.6","0.22","15","29.4","5.0","1","0.07","6.5","0.93","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"280","Ashton Dulin","IND","WR","9","2025","51","7","0.14","15.5","1.14","39","76.5","6.8","7","0.18","11.9","1.49","12","23.5","2.7","0","0.00","3.7","0.00","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"281","Tyler Allgeier","ATL","RB","10","2025","51","8","0.16","14.4","0.51","5","9.8","0.8","1","0.20","1.4","0.80","1","2.0","0.2","0","0.00","0.3","0.00","0","0.0","","0","0.00","","0.00","45","88.2","18.2","7","0.16","12.7","0.49"
"282","Blake Corum","LA","RB","10","2025","51","10","0.20","14.3","0.20","2","3.9","0.3","0","0.00","0.6","0.00","8","15.7","1.8","1","0.13","2.2","0.00","0","0.0","","0","0.00","","0.00","41","80.4","20.4","9","0.22","11.5","0.24"
"283","Jackson Hawes","BUF","TE","10","2025","50","11","0.22","14.3","2.26","5","10.0","0.8","1","0.20","1.4","0.00","12","24.0","2.4","3","0.25","3.4","3.00","33","66.0","23.1","7","0.21","9.5","2.33","0","0.0","","0","0.00","","0.00"
"284","Xavier Smith","LA","WR","10","2025","50","9","0.18","14.0","1.70","9","18.0","1.5","2","0.22","2.5","1.44","41","82.0","9.0","7","0.17","11.5","1.76","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"285","Isaiah Williams","NYJ","WR","8","2025","48","7","0.15","17.6","0.77","17","35.4","3.5","1","0.06","6.2","0.29","30","62.5","8.3","5","0.17","11.0","1.00","0","0.0","","0","0.00","","0.00","1","2.1","0.6","1","1.00","0.4","2.00"
"286","Trent Sherfield","DEN","WR","10","2025","47","4","0.09","12.4","0.45","22","46.8","3.5","1","0.05","5.8","0.68","24","51.1","5.0","3","0.13","6.3","0.25","1","2.1","0.6","0","0.00","0.3","0.00","0","0.0","","0","0.00","","0.00"
"287","Devin Neal","NO","RB","5","2025","45","7","0.16","22.1","0.47","6","13.3","1.7","0","0.00","2.9","0.00","1","2.2","0.3","0","0.00","0.5","0.00","0","0.0","","0","0.00","","0.00","38","84.4","29.2","7","0.18","18.6","0.55"
"288","Konata Mumpfield","LA","WR","10","2025","45","4","0.09","12.6","0.27","34","75.6","5.6","3","0.09","9.6","0.35","11","24.4","2.4","1","0.09","3.1","0.00","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"289","Chris Rodriguez","WAS","RB","9","2025","43","1","0.02","14.9","0.14","3","7.0","0.6","0","0.00","1.0","0.00","5","11.6","1.2","0","0.00","1.7","0.00","0","0.0","","0","0.00","","0.00","35","81.4","21.0","1","0.03","12.2","0.17"
"290","Raheem Mostert","LV","RB","7","2025","42","6","0.14","17.8","1.07","0","0.0","","0","0.00","","0.00","1","2.4","0.3","0","0.00","0.4","0.00","0","0.0","","0","0.00","","0.00","41","97.6","25.3","6","0.15","17.4","1.10"
"291","Beaux Collins","NYG","WR","9","2025","42","6","0.14","12.2","0.60","29","69.0","4.8","4","0.14","8.4","0.24","13","31.0","2.5","2","0.15","3.8","1.38","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"292","Jimmy Horn","CAR","WR","7","2025","42","9","0.21","18.3","1.57","10","23.8","2.5","3","0.30","4.4","1.20","30","71.4","8.6","6","0.20","13.1","1.80","0","0.0","","0","0.00","","0.00","2","4.8","1.5","0","0.00","0.9","0.00"
"293","Ben Sinnott","WAS","TE","10","2025","42","3","0.07","12.2","0.79","5","11.9","0.8","0","0.00","1.4","0.00","10","23.8","1.9","0","0.00","2.9","0.00","25","59.5","16.7","2","0.08","7.2","1.16","2","4.8","1.0","1","0.50","0.6","2.00"
"294","Ollie Gordon","MIA","RB","11","2025","41","8","0.20","11.3","0.73","2","4.9","0.3","0","0.00","0.6","0.00","3","7.3","0.6","2","0.67","0.8","1.00","0","0.0","","0","0.00","","0.00","36","87.8","15.9","6","0.17","9.9","0.75"
"295","Dee Eskridge","MIA","WR","9","2025","41","6","0.15","12.9","1.51","31","75.6","5.8","3","0.10","9.7","1.45","10","24.4","2.3","3","0.30","3.1","1.70","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"296","Braxton Berrios","HST","WR","4","2025","40","8","0.20","20.8","0.93","14","35.0","4.0","3","0.21","7.3","0.86","25","62.5","11.1","4","0.16","13.0","1.04","0","0.0","","0","0.00","","0.00","1","2.5","0.9","1","1.00","0.5","-1.00"
"297","Zavier Scott","MIN","RB","6","2025","40","11","0.28","16.9","1.83","7","17.5","1.7","1","0.14","3.0","0.43","7","17.5","2.2","3","0.43","3.0","3.57","2","5.0","1.6","0","0.00","0.8","0.00","24","60.0","17.9","7","0.29","10.1","1.88"
"298","Hassan Haskins","LAC","RB","7","2025","40","4","0.10","12.9","0.33","2","5.0","0.4","0","0.00","0.6","0.00","2","5.0","0.4","0","0.00","0.6","0.00","0","0.0","","0","0.00","","0.00","36","90.0","17.3","4","0.11","11.6","0.36"
"299","Tucker Fisk","LAC","TE","9","2025","39","3","0.08","10.2","0.49","3","7.7","0.4","0","0.00","0.8","0.00","4","10.3","0.7","1","0.25","1.0","0.00","32","82.1","20.5","2","0.06","8.4","0.59","0","0.0","","0","0.00","","0.00"
"300","Durham Smythe","CHI","TE","10","2025","39","3","0.08","10.4","0.21","4","10.3","0.6","2","0.50","1.1","0.00","8","20.5","1.7","0","0.00","2.1","0.00","25","64.1","12.5","1","0.04","6.7","0.32","2","5.1","0.8","0","0.00","0.5","0.00"
"301","Will Dissly","LAC","TE","4","2025","39","5","0.13","22.5","1.10","8","20.5","2.5","1","0.13","4.6","0.00","4","10.3","1.6","0","0.00","2.3","0.00","27","69.2","34.6","4","0.15","15.6","1.59","0","0.0","","0","0.00","","0.00"
"302","Robbie Chosen","WAS","WR","3","2025","39","9","0.23","39.8","1.36","35","89.7","20.3","8","0.23","35.7","1.37","4","10.3","3.0","1","0.25","4.1","1.25","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"303","Savion Williams","GB","WR","10","2025","38","10","0.26","11.0","2.05","12","31.6","2.1","1","0.08","3.5","1.33","21","55.3","5.1","8","0.38","6.1","2.86","0","0.0","","0","0.00","","0.00","5","13.2","2.2","1","0.20","1.4","0.40"
"304","Brian Robinson","SF","RB","11","2025","38","8","0.21","9.1","0.39","1","2.6","0.1","0","0.00","0.2","0.00","2","5.3","0.4","0","0.00","0.5","0.00","0","0.0","","0","0.00","","0.00","35","92.1","11.7","8","0.23","8.4","0.43"
"305","Nate Adkins","DEN","TE","6","2025","37","9","0.24","15.8","1.30","4","10.8","1.0","2","0.50","1.7","3.75","6","16.2","2.0","4","0.67","2.6","4.67","26","70.3","21.5","3","0.12","11.1","0.19","1","2.7","0.8","0","0.00","0.4","0.00"
"306","Andrew Ogletree","IND","TE","10","2025","37","1","0.03","10.2","","8","21.6","1.3","0","0.00","2.2","0.00","8","21.6","1.6","1","0.13","2.2","0.00","21","56.8","10.1","0","0.00","5.8","0.00","0","0.0","","0","0.00","","0.00"
"307","Noah Brown","WAS","WR","2","2025","37","7","0.19","41.6","0.97","33","89.2","20.2","7","0.21","37.1","1.09","4","10.8","2.6","0","0.00","4.5","0.00","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"308","John Metchie","NYJ, PHI","WR","9","2025","37","8","0.22","13.0","1.78","16","43.2","3.2","0","0.00","5.6","0.00","19","51.4","4.3","7","0.37","6.7","3.11","0","0.0","","0","0.00","","0.00","2","5.4","1.3","1","0.50","0.7","3.50"
"309","Austin Ekeler","WAS","RB","2","2025","37","7","0.19","41.6","1.03","1","2.7","0.6","0","0.00","1.1","0.00","12","32.4","7.7","0","0.00","13.5","0.00","0","0.0","","0","0.00","","0.00","24","64.9","51.1","7","0.29","27.0","1.58"
"310","Mitchell Tinsley","CIN","WR","10","2025","37","6","0.16","9.2","1.32","29","78.4","3.9","5","0.17","7.2","1.69","7","18.9","1.3","0","0.00","1.7","0.00","1","2.7","0.6","1","1.00","0.2","0.00","0","0.0","","0","0.00","","0.00"
