"Player Details","","","","","","Overall","","","","","Wide","","","","","","","Slot","","","","","","","Inline","","","","","","","Backfield","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","TGT","TPRR","RTE %","YPRR","RTE","WIDE RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR","RTE","SLOT RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR","RTE","INLINE RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR","RTE","BACK RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR"
"28","Juwan Johnson","NO","TE","10","2025","298","59","0.20","77.2","1.65","51","17.1","7.6","9","0.18","13.2","0.69","161","54.0","26.1","30","0.19","41.7","1.94","77","25.8","60.2","17","0.22","19.9","1.68","9","3.0","3.7","3","0.33","2.3","1.67"
"29","Jameson Williams","DET","WR","10","2025","297","49","0.16","88.1","1.89","217","73.1","37.0","36","0.17","64.4","2.12","80","26.9","18.6","13","0.16","23.7","1.29","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"30","Elic Ayomanor","TEN","WR","10","2025","297","56","0.19","76.7","1.12","244","82.2","35.8","42","0.17","63.0","0.98","53","17.8","9.7","14","0.26","13.7","1.79","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"31","Jake Ferguson","DAL","TE","10","2025","297","71","0.24","73.5","1.35","23","7.7","3.1","5","0.22","5.7","1.70","166","55.9","29.9","36","0.22","41.1","0.99","108","36.4","56.5","30","0.28","26.7","1.82","0","0.0","","0","0.00","","0.00"
"32","DJ Moore","CHI","WR","10","2025","297","49","0.16","79.2","1.42","188","63.3","29.1","30","0.16","50.1","1.49","99","33.3","20.5","14","0.14","26.4","0.94","0","0.0","","0","0.00","","0.00","10","3.4","4.0","5","0.50","2.7","3.60"
"33","Amon-Ra St. Brown","DET","WR","10","2025","295","91","0.31","87.5","2.49","141","47.8","24.1","45","0.32","41.8","2.65","152","51.5","35.4","46","0.30","45.1","2.38","0","0.0","","0","0.00","","0.00","2","0.7","0.8","0","0.00","0.6","0.00"
"34","Cade Otton","TB","TE","10","2025","293","52","0.18","76.9","1.30","55","18.8","8.1","9","0.16","14.4","0.85","149","50.9","25.6","28","0.19","39.1","1.58","88","30.0","80.0","15","0.17","23.1","1.11","1","0.3","0.4","0","0.00","0.3","0.00"
"35","Nico Collins","HST","WR","9","2025","292","81","0.28","78.7","2.20","234","80.1","34.6","67","0.29","63.1","2.39","58","19.9","12.7","14","0.24","15.6","1.43","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"36","Dalton Schultz","HST","TE","10","2025","292","67","0.23","70.7","1.67","20","6.8","2.6","3","0.15","4.8","2.80","97","33.2","19.5","20","0.21","23.5","1.42","171","58.6","75.0","42","0.25","41.4","1.65","4","1.4","1.6","2","0.50","1.0","3.25"
"37","Hunter Henry","NE","TE","11","2025","290","50","0.17","72.1","1.46","49","16.9","6.7","4","0.08","12.2","0.61","126","43.4","25.9","22","0.17","31.3","1.58","99","34.1","47.6","21","0.21","24.6","1.66","16","5.5","5.0","3","0.19","4.0","1.81"
"38","DK Metcalf","PIT","WR","10","2025","289","63","0.22","86.8","1.91","229","79.2","40.2","55","0.24","68.8","2.19","59","20.4","13.9","8","0.14","17.7","0.85","0","0.0","","0","0.00","","0.00","1","0.3","0.5","0","0.00","0.3","0.00"
"39","Tyler Warren","IND","TE","10","2025","289","64","0.22","79.4","2.13","35","12.1","5.5","8","0.23","9.6","0.91","131","45.3","26.9","15","0.11","36.0","0.92","114","39.4","55.1","37","0.32","31.3","3.68","9","3.1","3.7","4","0.44","2.5","5.00"
"40","Davante Adams","LA","WR","10","2025","288","84","0.29","80.9","1.98","248","86.1","41.2","70","0.28","69.7","2.00","40","13.9","8.8","14","0.35","11.2","1.83","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"41","Zay Flowers","BLT","WR","10","2025","284","70","0.25","91.6","2.48","176","62.0","31.5","39","0.22","56.8","2.27","107","37.7","24.9","31","0.29","34.5","2.83","0","0.0","","0","0.00","","0.00","1","0.4","0.5","0","0.00","0.3","0.00"
"42","T.J. Hockenson","MIN","TE","10","2025","280","47","0.17","75.7","1.00","42","15.0","6.3","5","0.12","11.4","0.60","110","39.3","22.5","19","0.17","29.7","1.00","127","45.4","67.6","22","0.17","34.3","1.14","1","0.4","0.4","1","1.00","0.3","0.00"
"43","Drake London","ATL","WR","9","2025","279","90","0.32","86.4","2.90","195","69.9","33.3","60","0.31","60.4","2.90","84","30.1","19.0","30","0.36","26.0","2.92","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"44","Jaylen Waddle","MIA","WR","11","2025","276","71","0.26","76.2","2.62","212","76.8","35.3","60","0.28","58.6","2.88","62","22.5","12.9","10","0.16","17.1","1.68","0","0.0","","0","0.00","","0.00","2","0.7","0.9","1","0.50","0.6","3.50"
"45","Zach Ertz","WAS","TE","11","2025","271","56","0.21","71.9","1.43","37","13.7","5.7","10","0.27","9.8","1.24","155","57.2","27.6","28","0.18","41.1","1.18","79","29.2","48.2","18","0.23","21.0","2.00","0","0.0","","0","0.00","","0.00"
"46","Deebo Samuel","WAS","WR","10","2025","268","68","0.25","79.5","1.75","98","36.6","16.9","24","0.24","29.1","2.03","163","60.8","32.8","42","0.26","48.4","1.58","0","0.0","","0","0.00","","0.00","7","2.6","3.7","2","0.29","2.1","2.00"
