"Player Details","","","","","","Overall","","","","","Horizontally Breaking","","","","","","Vertically Breaking","","","","","","Static","","","","","","Shallow/Underneath","","","","","","Backfield","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","RTE %","SEP SCORE","TPRR","YPRR","WIN RATE","RTE","RTE %","SEP SCORE","TPRR","YPRR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","WIN RATE"
"40","Zay Flowers","BLT","WR","10","2025","281","0.110","2.48","0.25","14.2","101","35.9","0.119","1.76","0.23","16.8","91","32.4","0.154","0.16","3.04","17.6","55","19.6","0.091","0.25","2.04","10.9","33","11.7","0.000","3.85","0.53","3.0","1","0.4","0.000","","","0.0"
"41","DK Metcalf","PIT","WR","10","2025","279","0.000","1.91","0.22","11.8","97","34.8","-0.052","1.42","0.18","12.4","118","42.3","0.008","0.19","1.68","11.9","34","12.2","0.000","0.27","2.16","5.9","29","10.4","0.138","4.28","0.41","17.2","1","0.4","0.000","","","0.0"
"42","T.J. Hockenson","MIN","TE","10","2025","275","0.029","1.00","0.17","5.8","76","27.6","0.132","1.54","0.21","15.8","59","21.5","-0.034","0.12","0.57","3.4","74","26.9","-0.027","0.14","1.00","0.0","64","23.3","0.031","0.80","0.18","3.1","2","0.7","0.000","","0.50","0.0"
"43","Drake London","ATL","WR","9","2025","272","0.029","2.90","0.32","14.3","99","36.4","0.081","3.16","0.35","22.2","84","30.9","0.012","0.22","2.64","11.9","75","27.6","-0.027","0.39","3.20","6.7","14","5.1","0.071","1.07","0.43","14.3","","0.0","","","","0.0"
"44","Jaylen Waddle","MIA","WR","11","2025","269","0.100","2.62","0.26","15.6","100","37.2","0.190","2.51","0.30","24.0","120","44.6","0.067","0.21","3.27","11.7","31","11.5","0.000","0.22","1.06","9.7","16","5.9","0.000","1.41","0.41","6.3","2","0.7","0.000","3.50","0.50","0.0"
"45","Zach Ertz","WAS","TE","11","2025","267","0.041","1.43","0.21","9.0","116","43.4","0.026","0.97","0.21","12.9","39","14.6","0.051","0.27","1.93","7.7","78","29.2","0.077","0.19","1.68","7.7","33","12.4","0.000","1.09","0.15","0.0","1","0.4","0.000","25.00","1.00","0.0"
"46","Deebo Samuel","WAS","WR","10","2025","264","0.004","1.75","0.25","8.3","89","33.7","0.090","2.10","0.23","21.3","57","21.6","-0.123","0.17","1.36","3.5","43","16.3","0.000","0.18","1.58","2.3","69","26.1","0.000","1.70","0.39","0.0","6","2.3","0.000","2.33","0.33","0.0"
"47","Xavier Hutchinson","HST","WR","10","2025","263","-0.030","1.00","0.13","6.5","91","34.6","-0.033","1.33","0.15","11.0","116","44.1","-0.034","0.08","0.77","3.4","35","13.3","0.000","0.17","0.89","8.6","21","8.0","-0.048","1.00","0.19","0.0","","0.0","","","","0.0"
"48","Jakobi Meyers","LV, JAX","WR","9","2025","262","0.011","1.71","0.21","7.3","104","39.7","0.067","1.71","0.19","11.5","78","29.8","-0.077","0.14","1.18","1.3","54","20.6","0.037","0.26","2.35","9.3","26","9.9","0.000","2.08","0.38","3.8","","0.0","","","","0.0"
"49","A.J. Brown","PHI","WR","9","2025","261","0.050","1.71","0.24","13.4","91","34.9","0.066","1.51","0.28","20.9","97","37.2","0.021","0.18","1.85","7.2","61","23.4","0.066","0.23","2.08","13.1","12","4.6","0.083","0.38","0.46","8.3","","0.0","","","","0.0"
"50","Stefon Diggs","NE","WR","11","2025","261","0.050","2.47","0.27","10.0","123","47.1","0.106","2.96","0.33","15.4","66","25.3","0.015","0.21","2.32","7.6","48","18.4","-0.063","0.25","2.13","2.1","23","8.8","0.087","1.08","0.17","4.3","1","0.4","0.000","","","0.0"
"51","Sterling Shepard","TB","WR","10","2025","260","0.088","1.32","0.17","14.2","106","40.8","0.142","1.28","0.12","21.7","75","28.8","0.067","0.15","0.92","10.7","45","17.3","0.044","0.17","1.04","11.1","34","13.1","0.029","2.71","0.38","2.9","","0.0","","","","0.0"
